Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
안우진,2018,05-25,롯데,W 13:2,0,0,4,3,1,0,0,0,1,0,0,1,17,0.333,0.500,0.833,0.00,0.56,0.000,,7+일,0,2.00,1.0
안우진,2018,05-27,롯데,L 4:6,0,0,12,11,0,0,0,0,1,0,0,3,38,0.071,0.083,0.083,0.00,1.96,0.101,,2일,0,0.64,3.2
안우진,2018,06-02,@LG,L 6:10,6,6,18,15,6,0,0,2,1,0,2,4,79,0.241,0.500,1.300,7.04,-4.34,-0.378,L,6일,1,1.30,3.0
안우진,2018,06-09,@KT,L 2:5,5,5,20,15,6,1,0,0,4,0,0,3,78,0.295,0.526,0.993,8.74,-3.03,-0.293,L,7일,1,1.76,3.2
안우진,2018,06-14,한화,L 8:9,3,3,10,7,1,0,0,1,3,0,0,4,42,0.275,0.400,0.971,9.45,-1.89,-0.005,,5일,0,1.80,2.0
안우진,2018,06-17,삼성,W 12:8,3,3,9,6,3,0,0,0,2,0,0,0,35,0.298,0.556,1.056,10.43,-2.86,-0.048,,3일,0,1.98,1.1
안우진,2018,06-22,KIA,L 5:8,1,1,5,4,1,0,0,0,1,0,0,2,20,0.295,0.400,0.650,10.34,-0.45,-0.015,,5일,0,1.98,1.0
안우진,2018,06-26,@롯데,W 9:3,0,0,3,2,0,0,0,0,1,0,0,0,10,0.286,0.333,0.333,9.72,0.56,0.003,,4일,0,1.92,1.0
안우진,2018,06-27,@롯데,L 8:9,1,1,2,1,1,1,0,0,0,0,0,0,4,0.297,0.500,2.500,10.06,-0.74,-0.363,L,1일,0,1.94,0.1
안우진,2018,07-26,KT,L 4:7,0,0,6,6,0,0,0,0,0,0,0,3,21,0.271,0.000,0.000,9.00,1.11,0.012,,7+일,0,1.74,2.0
안우진,2018,07-27,롯데,L 2:9,1,1,7,6,3,0,0,0,1,0,0,2,26,0.289,0.571,1.071,9.00,-0.45,-0.018,,1일,0,1.85,1.0
안우진,2018,08-01,@SK,L 8:14,1,1,8,8,3,0,0,0,0,0,0,1,29,0.298,0.375,0.750,8.72,0.28,0.000,,5일,0,1.85,1.2
안우진,2018,08-05,@KT,W 20:2,0,0,4,2,0,0,0,0,2,0,0,2,17,0.291,0.500,0.500,8.46,-0.03,0.000,,4일,0,1.88,0.2
안우진,2018,09-07,@KIA,L 5:7,3,1,10,7,1,0,0,0,2,0,0,3,47,0.280,0.333,0.476,8.14,-1.89,-0.168,,7+일,0,1.85,2.0
안우진,2018,09-14,@NC,L 3:7,0,0,16,14,3,0,0,0,1,0,1,3,61,0.271,0.313,0.527,7.07,0.32,-0.046,,7일,0,1.75,3.2
안우진,2018,09-20,삼성,W 3:2,0,0,22,20,5,0,0,0,2,0,0,7,85,0.268,0.318,0.568,6.00,2.78,0.265,W,6일,1,1.70,5.0
안우진,2018,09-26,@두산,L 8:9,8,8,22,18,7,1,0,2,4,0,0,4,85,0.283,0.500,1.278,7.30,-5.78,-0.448,,6일,1,1.81,4.0
안우진,2018,09-30,NC,W 8:2,0,0,8,8,1,1,0,0,0,0,0,3,36,0.275,0.125,0.375,6.86,1.36,0.070,W,4일,0,1.73,2.1
안우진,2018,10-06,@NC,L 5:6,0,0,4,3,0,0,0,0,1,0,0,1,11,0.269,0.250,0.250,6.69,0.16,0.030,,6일,0,1.71,1.0
안우진,2018,10-13,@삼성,L 5:12,3,3,8,7,4,1,0,1,1,0,0,0,29,0.282,0.625,1.768,7.19,-2.45,-0.234,L,7일,1,1.79,1.0
안우진,2018,10-20,@한화,W 7:5,0,0,12,12,2,0,0,0,0,0,0,5,51,0.167,0.167,0.333,0.00,1.92,0.217,W,7일,0,0.60,3.1
안우진,2018,10-23,한화,W 5:2,0,0,22,21,5,1,0,0,1,0,0,5,72,0.212,0.273,0.558,0.00,3.02,0.405,W,3일,0,0.89,5.2
안우진,2018,10-27,@SK,L 8:10,1,1,4,4,2,0,0,1,0,0,0,1,24,0.500,0.500,1.750,9.00,-1.43,-0.085,,4일,0,2.00,1.0
안우진,2018,10-30,SK,W 3:2,0,0,4,4,1,0,0,0,0,0,0,2,13,0.375,0.250,0.500,4.50,0.56,0.096,,3일,0,1.50,1.0
안우진,2018,10-31,SK,W 4:2,0,0,14,12,1,0,0,0,2,0,0,4,50,0.200,0.214,0.298,1.50,2.62,0.225,W,1일,0,1.00,4.0
안우진,2018,11-02,@SK,L 10:11,1,1,5,3,1,1,0,0,1,0,1,1,19,0.217,0.600,1.267,2.70,-2.87,-0.310,,2일,0,1.20,0.2
