Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
양기현,2020,08-14,@롯데,L 1:5,0,0,3,3,1,0,0,0,0,0,0,0,15,0.333,0.333,0.667,0.00,0.56,0.010,,7+일,0,1.00,1.0
양기현,2020,08-18,@NC,L 1:5,0,0,3,3,0,0,0,0,0,0,0,1,11,0.167,0.000,0.000,0.00,0.56,0.006,,4일,0,0.50,1.0
양기현,2020,08-21,LG,L 3:7,0,0,3,3,0,0,0,0,0,0,0,1,10,0.111,0.000,0.000,0.00,0.56,0.020,,3일,0,0.33,1.0
양기현,2020,08-23,KIA,L 7:8,0,0,2,2,1,0,0,0,0,0,0,0,8,0.182,0.500,1.000,0.00,0.47,0.021,,2일,0,0.60,0.1
양기현,2020,08-26,@KT,L 5:6,0,0,3,3,2,1,0,0,0,0,0,0,15,0.286,0.667,1.667,0.00,-0.91,-0.117,,3일,0,1.09,0.1
양기현,2020,08-27,@롯데,W 11:6,0,0,6,6,1,0,0,0,0,0,0,1,19,0.250,0.167,0.333,0.00,1.11,0.010,,1일,0,0.88,2.0
양기현,2020,09-01,NC,L 2:5,1,1,4,3,2,0,0,0,1,0,0,1,15,0.304,0.750,1.417,1.50,-1.10,-0.029,,5일,0,1.33,0.1
양기현,2020,09-04,@한화,L 1:7,0,0,4,1,0,0,0,0,2,0,0,0,17,0.292,0.667,0.667,1.35,0.02,0.000,,3일,0,1.50,0.2
양기현,2020,09-09,@SK,W 13:4,0,0,4,4,1,0,0,0,0,0,0,0,12,0.286,0.250,0.500,1.17,0.56,0.002,,5일,0,1.43,1.0
양기현,2020,09-11,@LG,W 8:2,0,0,4,4,1,0,0,0,0,0,0,1,15,0.281,0.250,0.500,1.04,0.56,0.011,,2일,0,1.38,1.0
양기현,2020,09-13,두산,D 6:6,0,0,4,4,0,0,0,0,0,0,0,1,17,0.250,0.000,0.000,0.87,1.80,0.460,,2일,0,1.16,1.2
양기현,2020,09-15,롯데,L 5:8,0,0,6,6,0,0,0,0,0,0,0,1,25,0.214,0.000,0.000,0.73,1.11,0.031,,2일,0,0.97,2.0
양기현,2020,09-18,한화,L 0:2,0,0,1,1,0,0,0,0,0,0,0,0,3,0.209,0.000,0.000,0.71,0.82,0.047,,3일,0,0.95,0.1
양기현,2020,09-20,@삼성,L 6:14,1,1,4,2,2,0,0,0,1,0,0,0,19,0.244,1.000,2.000,1.38,-1.69,-0.039,,2일,0,1.15,0.1
양기현,2020,09-25,SK,L 6:8,4,4,6,3,2,0,0,1,2,1,0,1,25,0.271,0.800,2.467,3.95,-1.26,-0.350,L,5일,0,1.39,0.2
양기현,2020,09-27,@두산,L 1:6,0,0,3,2,1,0,0,0,1,0,0,0,11,0.280,0.667,1.167,3.68,0.95,0.057,,2일,0,1.43,1.0
양기현,2020,10-01,KIA,L 1:3,0,0,4,4,1,0,0,0,0,0,0,0,20,0.278,0.250,0.500,3.45,0.56,0.017,,4일,0,1.40,1.0
양기현,2020,10-02,@SK,W 12:5,0,0,4,4,1,0,0,0,0,0,0,2,18,0.276,0.250,0.500,3.24,0.56,0.004,,1일,0,1.38,1.0
양기현,2020,10-04,@SK,L 0:6,0,0,4,3,1,0,0,0,1,0,0,0,10,0.279,0.500,0.833,3.06,0.56,0.002,,2일,0,1.42,1.0
양기현,2020,10-07,NC,L 3:4,0,0,3,2,0,0,0,0,1,0,0,0,14,0.270,0.333,0.333,2.89,0.56,0.039,,3일,0,1.39,1.0
양기현,2020,10-08,NC,W 10:7,0,0,4,4,2,0,0,0,0,0,0,0,16,0.284,0.500,1.000,2.79,0.09,0.003,,1일,0,1.45,0.2
양기현,2020,10-11,@한화,L 3:9,4,4,7,7,4,1,0,2,0,0,0,0,23,0.311,0.571,2.143,4.43,-3.45,-0.099,,3일,0,1.57,1.0
양기현,2020,10-13,@KT,L 3:7,0,0,4,3,0,0,0,0,0,0,1,0,12,0.299,0.250,0.250,4.22,0.56,0.003,,2일,0,1.50,1.0
양기현,2020,10-18,두산,L 2:8,0,0,9,8,1,1,0,0,1,0,0,2,33,0.282,0.222,0.472,3.86,1.11,0.007,,5일,0,1.46,2.0
