Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
양현,2020,05-05,@KIA,W 11:2,0,0,6,5,0,0,0,0,0,0,1,2,21,0.000,0.167,0.167,0.00,1.13,0.048,W,7+일,0,0.00,1.2
양현,2020,05-07,@KIA,L 5:8,0,0,4,3,0,0,0,0,1,0,0,1,13,0.000,0.250,0.250,0.00,0.56,0.074,,2일,0,0.38,1.0
양현,2020,05-09,한화,W 5:3,0,0,3,3,1,0,0,0,0,0,0,0,6,0.091,0.333,0.667,0.00,0.56,0.074,,2일,0,0.55,1.0
양현,2020,05-10,한화,W 6:3,0,0,4,4,2,0,0,0,0,0,0,1,14,0.200,0.500,1.000,0.00,0.56,0.033,SV,1일,0,0.86,1.0
양현,2020,05-16,@LG,L 3:5,2,2,2,1,1,0,0,1,1,0,0,0,8,0.250,1.000,5.000,3.86,-1.40,-0.367,L,6일,0,1.29,0.0
양현,2020,05-17,@LG,W 9:4,1,1,5,5,3,0,0,0,0,0,0,1,18,0.333,0.600,1.200,5.06,-0.98,-0.001,,1일,0,1.69,0.2
양현,2020,05-20,SK,L 3:5,0,0,4,4,1,0,0,0,0,0,0,0,15,0.320,0.250,0.500,4.26,0.57,0.023,,3일,0,1.58,1.0
양현,2020,05-21,SK,W 9:8,2,2,6,4,2,0,1,0,1,0,0,0,18,0.345,0.500,1.500,6.14,-1.45,-0.445,,1일,0,1.77,1.0
양현,2020,06-02,@한화,W 15:3,0,0,3,3,0,0,0,0,0,0,0,1,8,0.313,0.000,0.000,5.40,0.56,0.000,,7+일,0,1.56,1.0
양현,2020,06-04,@한화,W 7:3,0,0,3,3,0,0,0,0,0,0,0,0,7,0.286,0.000,0.000,4.82,0.56,0.018,,2일,0,1.39,1.0
양현,2020,06-06,LG,W 5:4,0,0,3,3,0,0,0,0,0,0,0,2,10,0.263,0.000,0.000,4.35,0.56,0.024,,2일,0,1.26,1.0
양현,2020,06-09,@삼성,W 5:3,0,0,8,8,2,1,0,0,0,0,0,2,27,0.261,0.250,0.625,3.65,1.51,0.169,W,3일,0,1.22,2.0
양현,2020,06-11,@삼성,L 3:6,0,0,4,4,1,0,0,0,0,0,0,1,17,0.260,0.250,0.500,3.38,0.56,0.017,,2일,0,1.20,1.0
양현,2020,06-14,@NC,L 5:9,1,1,5,4,2,0,0,0,1,0,0,0,18,0.278,0.600,1.100,3.86,-0.75,-0.097,L,3일,0,1.36,0.2
양현,2020,06-16,롯데,L 5:7,0,0,3,3,0,0,0,0,0,0,0,0,13,0.263,0.000,0.000,3.60,0.56,0.055,,2일,0,1.27,1.0
양현,2020,06-17,롯데,W 4:3,0,0,3,3,0,0,0,0,0,0,0,0,14,0.250,0.000,0.000,3.38,0.56,0.137,W,1일,0,1.19,1.0
양현,2020,06-20,SK,W 9:3,0,0,2,2,0,0,0,0,0,0,0,1,7,0.242,0.000,0.000,3.18,0.95,0.090,,3일,0,1.12,1.0
양현,2020,06-25,@LG,W 8:5,0,0,4,3,1,0,0,0,0,0,0,1,13,0.246,0.333,0.667,3.00,0.56,0.031,W,5일,0,1.11,1.0
양현,2020,07-01,두산,L 5:14,0,0,3,3,0,0,0,0,0,0,0,1,12,0.235,0.000,0.000,2.84,0.56,0.000,,6일,0,1.05,1.0
양현,2020,07-02,두산,W 10:7,0,0,8,7,1,0,0,0,0,0,1,1,25,0.227,0.250,0.393,2.57,1.11,0.114,,1일,0,1.00,2.0
양현,2020,07-07,삼성,L 2:13,0,0,6,5,2,0,0,0,0,0,0,1,25,0.238,0.333,0.733,2.35,1.13,0.014,,5일,0,1.00,2.0
양현,2020,07-10,@KIA,L 8:9,0,0,7,7,1,0,0,0,0,0,0,0,22,0.230,0.143,0.286,2.16,1.11,0.244,,3일,0,0.96,2.0
양현,2020,07-14,NC,W 5:1,0,0,3,3,0,0,0,0,0,0,0,2,16,0.222,0.000,0.000,2.08,0.56,0.032,,4일,0,0.92,1.0
양현,2020,07-17,@SK,L 9:12,2,2,7,5,2,0,0,0,1,0,0,1,31,0.232,0.429,0.829,2.63,0.06,0.000,,3일,0,0.99,1.1
양현,2020,07-19,@SK,L 3:4,0,0,1,1,0,0,0,0,0,0,0,0,3,0.229,0.000,0.000,2.60,0.47,0.050,,2일,0,0.98,0.1
양현,2020,07-24,롯데,L 2:4,0,0,5,5,2,0,0,0,0,0,0,1,22,0.238,0.400,0.800,2.51,-0.58,-0.105,,5일,0,1.01,1.0
양현,2020,07-26,롯데,W 8:1,0,0,7,6,2,0,0,0,1,0,0,0,33,0.243,0.429,0.762,2.37,1.28,0.059,W,2일,0,1.05,1.2
양현,2020,07-30,@두산,W 8:5,0,0,4,3,0,0,0,0,1,0,0,0,18,0.236,0.250,0.250,2.30,0.56,0.074,,4일,0,1.05,1.0
양현,2020,08-01,@삼성,W 22:7,2,2,7,7,4,4,0,0,0,0,0,0,27,0.256,0.571,1.714,2.76,-3.63,-0.408,W,2일,0,1.13,1.1
양현,2020,08-05,KT,W 12:3,0,0,1,1,0,0,0,0,0,0,0,0,5,0.254,0.000,0.000,2.70,1.65,0.054,,4일,0,1.11,0.2
양현,2020,08-09,LG,W 2:1,0,0,2,2,1,0,0,0,0,0,0,0,9,0.258,0.500,1.000,2.67,-0.02,-0.007,,4일,0,1.13,0.1
