Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
오현택,2018,04-04,@한화,L 6:7,0,0,6,6,1,0,0,0,0,0,0,3,17,0.167,0.167,0.333,0.00,1.51,0.027,,7+일,0,0.50,2.0
오현택,2018,04-07,LG,W 7:2,0,0,4,4,1,0,0,0,0,0,0,3,18,0.200,0.250,0.500,0.00,0.56,0.020,,3일,0,0.67,1.0
오현택,2018,04-08,LG,L 2:4,0,0,1,1,0,0,0,0,0,0,0,0,2,0.182,0.000,0.000,0.00,0.47,0.090,,1일,0,0.60,0.1
오현택,2018,04-10,넥센,W 4:3,1,1,6,5,1,1,0,0,0,0,0,3,25,0.188,0.200,0.600,1.80,0.72,0.103,,2일,0,0.60,1.2
오현택,2018,04-11,넥센,W 12:0,0,0,3,3,0,0,0,0,0,0,0,0,6,0.158,0.000,0.000,1.50,0.56,0.020,,1일,0,0.50,1.0
오현택,2018,04-17,삼성,L 6:11,2,2,5,4,2,1,0,0,1,0,0,0,19,0.217,0.600,1.350,4.05,-1.79,-0.040,,6일,0,0.90,0.2
오현택,2018,04-18,삼성,W 9:7,0,0,5,5,1,0,0,0,0,0,0,2,19,0.214,0.200,0.400,3.24,0.85,0.026,,1일,0,0.84,1.2
오현택,2018,04-20,SK,W 10:5,0,0,4,4,1,0,0,0,0,0,0,1,15,0.219,0.250,0.500,2.89,0.65,0.067,,2일,0,0.86,1.0
오현택,2018,04-21,SK,W 4:3,0,0,6,6,0,0,0,0,0,0,0,2,25,0.184,0.000,0.000,2.38,1.11,0.094,,1일,0,0.71,2.0
오현택,2018,04-25,@KT,W 5:4,1,1,3,3,1,1,0,0,0,0,0,0,9,0.195,0.333,1.000,3.00,0.17,0.022,,4일,0,0.75,0.2
오현택,2018,04-27,한화,W 5:3,0,0,3,3,0,0,0,0,0,0,0,3,19,0.182,0.000,0.000,2.77,0.56,0.096,,2일,0,0.69,1.0
오현택,2018,04-29,한화,W 4:3,1,1,7,7,2,0,0,1,0,0,0,0,28,0.196,0.286,1.000,3.07,-0.21,-0.024,,2일,0,0.75,1.2
오현택,2018,05-01,KIA,W 4:0,0,0,3,3,1,0,0,0,0,0,0,0,10,0.204,0.333,0.667,2.87,0.56,0.014,,2일,0,0.77,1.0
오현택,2018,05-03,KIA,W 5:4,0,0,3,3,0,0,0,0,0,0,0,0,11,0.193,0.000,0.000,2.70,0.95,0.175,,2일,0,0.72,1.0
오현택,2018,05-05,@SK,W 8:1,0,0,2,2,0,0,0,0,0,0,0,2,9,0.186,0.000,0.000,2.60,0.30,0.061,W,2일,0,0.69,0.2
오현택,2018,05-08,@LG,W 4:2,0,0,3,3,0,0,0,0,0,0,0,2,11,0.177,0.000,0.000,2.45,0.56,0.081,,3일,0,0.65,1.0
오현택,2018,05-11,KT,W 6:2,0,0,3,3,0,0,0,0,0,0,0,1,10,0.169,0.000,0.000,2.33,0.56,0.009,,3일,0,0.62,1.0
오현택,2018,05-13,KT,W 3:1,0,0,4,3,0,0,0,0,1,0,0,1,19,0.162,0.250,0.250,2.18,0.67,0.088,,2일,0,0.63,1.1
오현택,2018,05-17,@NC,W 7:0,0,0,4,3,0,0,0,0,1,0,0,2,20,0.155,0.250,0.250,2.08,0.46,0.016,,4일,0,0.65,1.0
오현택,2018,05-20,두산,L 6:7,0,0,6,6,2,0,0,0,0,0,0,2,17,0.169,0.333,0.667,1.93,0.54,0.074,,3일,0,0.69,1.2
오현택,2018,05-22,@삼성,L 4:10,2,2,3,3,2,0,0,1,0,0,0,0,6,0.188,0.667,2.333,2.66,-2.66,-0.564,L,2일,0,0.76,0.1
오현택,2018,05-26,@넥센,L 2:3,0,0,5,5,1,0,0,0,0,0,0,2,20,0.188,0.200,0.400,2.55,0.42,0.026,,4일,0,0.77,1.0
오현택,2018,05-27,@넥센,W 6:4,0,0,4,4,2,0,0,0,0,0,0,0,17,0.202,0.500,1.000,2.49,0.09,0.005,,1일,0,0.83,0.2
오현택,2018,05-29,LG,L 3:5,0,0,2,2,2,0,0,0,0,0,0,0,5,0.220,1.000,2.000,2.49,-0.35,-0.063,,2일,0,0.91,0.0
오현택,2018,05-31,LG,L 10:11,0,0,4,3,0,0,0,0,1,0,0,1,26,0.213,0.250,0.250,2.39,0.56,0.042,,2일,0,0.91,1.0
오현택,2018,06-01,한화,L 6:13,1,1,2,2,1,0,0,1,0,0,0,1,10,0.219,0.500,2.500,2.70,-3.19,-0.609,,1일,0,0.94,0.1
오현택,2018,06-03,한화,W 6:0,0,0,4,4,1,1,0,0,0,0,0,0,11,0.220,0.250,0.750,2.60,0.56,0.006,,2일,0,0.94,1.0
오현택,2018,06-08,KIA,W 9:6,1,1,2,2,1,0,0,1,0,0,0,0,7,0.225,0.500,2.500,2.89,-0.88,0.000,,5일,0,0.96,0.1
오현택,2018,06-13,삼성,W 10:9,0,0,6,5,2,0,0,0,1,0,0,2,29,0.234,0.500,0.900,2.76,-0.10,0.065,,5일,0,1.02,1.1
오현택,2018,06-14,삼성,L 9:11,2,2,3,1,1,0,0,0,1,0,0,0,12,0.241,1.000,2.000,3.34,-0.91,-0.171,L,1일,0,1.08,0.1
오현택,2018,06-16,@SK,W 9:3,0,0,4,3,0,0,0,0,1,0,0,1,22,0.234,0.250,0.250,3.23,0.83,0.006,,2일,0,1.08,1.0
