Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¿ì±Ô¹Î,2018,05-02,SK,L 4:7,0,0,4,4,1,0,0,0,0,0,0,1,17,0.250,0.250,0.500,0.00,0.56,0.052,,7+ÀÏ,0,1.00,1.0
¿ì±Ô¹Î,2018,05-05,ÇÑÈ­,W 8:3,0,0,4,4,1,1,0,0,0,0,0,2,13,0.250,0.250,0.750,0.00,0.56,0.006,,3ÀÏ,0,1.00,1.0
¿ì±Ô¹Î,2018,05-10,@KT,L 4:5,0,0,4,2,1,0,0,0,0,0,2,0,19,0.300,0.750,1.250,0.00,-0.28,-0.141,,5ÀÏ,0,1.13,0.2
¿ì±Ô¹Î,2018,05-13,KIA,L 7:8,1,1,6,4,1,0,0,0,2,0,0,1,32,0.286,0.500,0.750,2.45,-0.45,-0.040,,3ÀÏ,0,1.64,1.0
¿ì±Ô¹Î,2018,05-15,LG,W 4:2,1,1,5,4,3,1,0,0,1,0,0,0,17,0.389,0.800,1.800,4.15,-0.91,-0.111,,2ÀÏ,0,2.31,0.2
¿ì±Ô¹Î,2018,05-17,LG,L 5:8,1,1,5,4,1,0,0,0,0,0,0,0,13,0.364,0.250,0.500,4.76,0.39,0.036,,2ÀÏ,0,1.94,1.1
¿ì±Ô¹Î,2018,05-19,@³Ø¼¾,L 3:6,1,1,4,4,2,1,0,0,0,0,0,0,26,0.385,0.500,1.250,5.40,-0.45,-0.075,,2ÀÏ,0,1.95,1.0
¿ì±Ô¹Î,2018,05-22,·Ôµ¥,W 10:4,0,0,2,2,1,0,0,0,0,0,0,1,11,0.393,0.500,1.000,5.14,-0.02,-0.007,,3ÀÏ,0,2.00,0.1
¿ì±Ô¹Î,2018,05-25,@µÎ»ê,W 6:1,1,1,5,4,1,1,0,0,1,0,0,0,22,0.375,0.400,0.900,5.63,-0.45,0.003,,3ÀÏ,0,2.00,1.0
¿ì±Ô¹Î,2018,05-29,KT,L 4:14,1,1,10,10,4,1,0,0,0,0,0,1,28,0.381,0.400,0.900,5.40,0.11,-0.001,,4ÀÏ,0,2.00,2.0
¿ì±Ô¹Î,2018,06-02,@NC,W 6:4,0,0,2,2,0,0,0,0,0,0,0,1,10,0.364,0.000,0.000,5.06,1.65,0.236,,4ÀÏ,0,1.88,0.2
¿ì±Ô¹Î,2018,06-03,@NC,W 8:7,1,1,6,5,2,0,0,0,0,0,1,2,22,0.367,0.500,0.900,5.40,-0.45,0.010,,1ÀÏ,0,1.89,1.0
¿ì±Ô¹Î,2018,06-08,LG,L 5:9,0,0,6,5,2,0,0,0,0,0,1,2,19,0.370,0.500,0.900,4.85,0.81,0.010,,5ÀÏ,0,1.85,1.1
¿ì±Ô¹Î,2018,06-10,LG,W 12:3,0,0,3,3,1,0,0,0,0,0,0,0,10,0.368,0.333,0.667,4.50,0.56,0.000,,2ÀÏ,0,1.79,1.0
¿ì±Ô¹Î,2018,06-13,@·Ôµ¥,L 9:10,0,0,3,3,0,0,0,0,0,0,0,1,12,0.350,0.000,0.000,4.20,0.56,0.043,,3ÀÏ,0,1.67,1.0
¿ì±Ô¹Î,2018,06-14,@·Ôµ¥,W 11:9,0,0,3,3,0,0,0,0,0,0,0,1,10,0.333,0.000,0.000,3.94,0.56,0.089,,1ÀÏ,0,1.56,1.0
¿ì±Ô¹Î,2018,06-17,@³Ø¼¾,L 8:12,1,1,11,10,3,0,0,0,0,0,0,1,28,0.329,0.273,0.573,3.79,0.67,0.000,,3ÀÏ,0,1.47,3.0
¿ì±Ô¹Î,2018,06-20,SK,W 6:4,0,0,4,4,1,0,0,0,0,0,0,0,8,0.325,0.250,0.500,3.60,0.56,0.020,,3ÀÏ,0,1.45,1.0
¿ì±Ô¹Î,2018,06-21,SK,L 1:5,0,0,3,3,0,0,0,0,0,0,0,2,9,0.313,0.000,0.000,3.43,0.56,0.015,,1ÀÏ,0,1.38,1.0
¿ì±Ô¹Î,2018,06-23,µÎ»ê,L 4:11,1,1,4,4,1,0,0,1,0,0,0,0,12,0.310,0.250,1.250,3.68,-0.45,-0.027,,2ÀÏ,0,1.36,1.0
¿ì±Ô¹Î,2018,06-26,@ÇÑÈ­,W 13:2,0,0,4,4,1,1,0,0,0,0,0,2,20,0.307,0.250,0.750,3.52,0.56,0.000,,3ÀÏ,0,1.35,1.0
¿ì±Ô¹Î,2018,06-29,³Ø¼¾,L 7:8,1,1,8,8,2,0,0,1,0,0,0,1,35,0.302,0.250,0.875,3.60,0.11,-0.012,,3ÀÏ,0,1.32,2.0
¿ì±Ô¹Î,2018,07-04,@KT,L 5:6,0,0,6,6,1,0,0,0,0,0,0,2,21,0.294,0.167,0.333,3.33,1.11,0.079,,5ÀÏ,0,1.26,2.0
¿ì±Ô¹Î,2018,07-06,@µÎ»ê,L 6:13,2,2,7,7,4,1,0,0,0,0,0,2,20,0.312,0.571,1.286,3.86,-1.45,-0.095,,2ÀÏ,0,1.36,1.0
¿ì±Ô¹Î,2018,07-08,@µÎ»ê,W 11:1,0,0,5,5,1,0,0,0,0,0,0,2,26,0.307,0.200,0.400,3.68,0.54,0.009,,2ÀÏ,0,1.33,1.1
¿ì±Ô¹Î,2018,07-12,·Ôµ¥,W 8:4,0,0,6,6,0,0,0,0,0,0,0,3,17,0.292,0.000,0.000,3.45,1.11,0.135,,4ÀÏ,0,1.24,2.0
¿ì±Ô¹Î,2018,07-18,@KIA,W 7:1,0,0,5,4,1,0,0,0,1,0,0,1,24,0.290,0.400,0.650,3.31,0.81,0.015,,6ÀÏ,0,1.26,1.1
¿ì±Ô¹Î,2018,07-20,ÇÑÈ­,L 0:1,0,0,8,7,2,1,0,0,1,0,0,1,29,0.290,0.375,0.804,3.12,1.11,0.090,,2ÀÏ,0,1.27,2.0
¿ì±Ô¹Î,2018,07-26,@LG,L 5:7,0,0,3,3,0,0,0,0,0,0,0,0,17,0.284,0.000,0.000,3.03,0.56,0.088,,6ÀÏ,0,1.23,1.0
¿ì±Ô¹Î,2018,07-27,KIA,W 11:10,2,2,7,7,4,0,0,0,0,0,0,1,29,0.298,0.571,1.143,3.44,-1.45,-0.409,W,1ÀÏ,0,1.31,1.0
¿ì±Ô¹Î,2018,07-31,NC,D 4:4,0,0,7,6,2,0,0,0,1,0,0,1,38,0.299,0.429,0.762,3.26,1.11,0.275,,4ÀÏ,0,1.32,2.0
¿ì±Ô¹Î,2018,08-04,@·Ôµ¥,L 4:5,2,2,3,3,2,0,0,0,0,0,0,1,12,0.307,0.667,1.333,3.69,-0.67,-0.129,L,4ÀÏ,0,1.36,0.1
¿ì±Ô¹Î,2018,08-07,@SK,W 10:8,0,0,7,7,1,1,0,0,0,0,0,2,27,0.299,0.143,0.429,3.51,1.11,0.140,,3ÀÏ,0,1.32,2.0
¿ì±Ô¹Î,2018,08-09,@LG,W 9:6,0,0,6,6,1,0,0,0,0,0,0,1,17,0.294,0.167,0.333,3.35,1.11,0.123,,2ÀÏ,0,1.28,2.0
¿ì±Ô¹Î,2018,08-12,NC,W 9:2,0,0,9,9,3,1,0,0,0,0,0,1,27,0.297,0.333,0.778,3.20,1.11,0.008,,3ÀÏ,0,1.29,2.0
¿ì±Ô¹Î,2018,09-04,@NC,W 5:3,0,0,5,5,1,0,0,0,0,0,0,0,19,0.294,0.200,0.400,3.09,1.13,0.027,W,7+ÀÏ,0,1.26,1.2
¿ì±Ô¹Î,2018,09-06,µÎ»ê,L 2:6,3,3,5,4,4,0,0,0,1,0,0,0,20,0.309,1.000,2.000,3.66,-3.86,-0.150,,2ÀÏ,0,1.37,0.0
¿ì±Ô¹Î,2018,09-09,@KIA,W 6:5,0,0,6,4,0,0,0,0,1,0,1,3,30,0.303,0.333,0.333,3.59,0.56,0.067,,3ÀÏ,0,1.36,1.0
¿ì±Ô¹Î,2018,09-11,ÇÑÈ­,L 7:8,0,0,3,3,0,0,0,0,0,0,0,3,16,0.298,0.000,0.000,3.51,0.56,0.137,,2ÀÏ,0,1.34,1.0
¿ì±Ô¹Î,2018,09-13,LG,L 5:6,0,0,3,3,1,0,0,0,0,0,0,0,15,0.298,0.333,0.667,3.44,0.56,0.038,,2ÀÏ,0,1.33,1.0
¿ì±Ô¹Î,2018,09-14,LG,W 6:1,0,0,4,3,0,0,0,0,1,0,0,1,11,0.294,0.250,0.250,3.38,0.56,0.012,,1ÀÏ,0,1.32,1.0
¿ì±Ô¹Î,2018,09-16,@KT,L 2:4,1,1,8,8,3,1,0,0,0,0,0,1,29,0.297,0.375,0.875,3.42,0.11,-0.015,,2ÀÏ,0,1.33,2.0
¿ì±Ô¹Î,2018,09-19,KIA,W 9:8,2,2,3,3,2,1,0,1,0,0,0,0,12,0.302,0.667,2.667,3.74,-1.88,-0.513,W,3ÀÏ,0,1.36,0.1
¿ì±Ô¹Î,2018,09-23,·Ôµ¥,W 5:2,0,0,6,5,0,0,0,0,1,0,0,0,19,0.295,0.167,0.167,3.60,1.11,0.194,W,4ÀÏ,0,1.33,2.0
¿ì±Ô¹Î,2018,09-27,KT,W 7:6,3,3,7,6,4,0,0,1,1,1,0,0,19,0.306,0.714,1.881,4.02,-2.45,-0.376,,4ÀÏ,0,1.39,1.0
¿ì±Ô¹Î,2018,09-28,KT,D 5:5,0,0,3,3,1,0,0,0,0,0,0,1,12,0.306,0.333,0.667,3.95,0.56,0.137,,1ÀÏ,0,1.39,1.0
¿ì±Ô¹Î,2018,09-29,SK,W 9:3,0,0,3,3,0,0,0,0,0,0,0,1,13,0.302,0.000,0.000,3.88,0.56,0.012,,1ÀÏ,0,1.36,1.0
¿ì±Ô¹Î,2018,10-09,@SK,W 8:4,3,3,5,5,3,0,0,2,0,0,0,1,18,0.308,0.600,2.400,4.30,-2.70,-0.232,,7+ÀÏ,0,1.40,0.2
