Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
원종현,2020,05-05,@삼성,W 4:0,0,0,2,2,0,0,0,0,0,0,0,1,7,0.000,0.000,0.000,0.00,1.24,0.047,SV,7+일,0,0.00,0.2
원종현,2020,05-06,@삼성,W 4:3,0,0,3,3,0,0,0,0,0,0,0,0,12,0.000,0.000,0.000,0.00,0.56,0.200,SV,1일,0,0.00,1.0
원종현,2020,05-12,KT,W 7:6,0,0,4,3,0,0,0,0,1,0,0,1,15,0.000,0.250,0.250,0.00,0.56,0.137,W,6일,0,0.38,1.0
원종현,2020,05-13,KT,W 5:4,1,1,4,4,1,0,0,1,0,0,0,1,15,0.083,0.250,1.250,2.45,-0.45,-0.200,,1일,0,0.55,1.0
원종현,2020,05-14,KT,W 1:0,0,0,3,3,2,0,0,0,0,0,0,1,8,0.200,0.667,1.333,2.25,0.12,0.036,SV,1일,0,1.00,0.1
원종현,2020,05-16,@SK,W 2:1,0,0,4,3,0,0,0,0,1,0,0,1,13,0.167,0.250,0.250,1.80,0.56,0.200,SV,2일,0,1.00,1.0
원종현,2020,05-19,@두산,W 5:4,0,0,5,5,1,0,0,0,0,0,0,2,19,0.174,0.200,0.400,1.42,1.02,0.322,SV,3일,0,0.95,1.1
원종현,2020,05-23,한화,W 3:0,0,0,4,4,2,0,0,0,0,0,0,0,13,0.222,0.500,1.000,1.23,0.56,0.033,SV,4일,0,1.09,1.0
원종현,2020,05-26,키움,W 7:2,0,0,4,4,0,0,0,0,0,0,0,0,15,0.194,0.000,0.000,1.04,1.37,0.137,SV,3일,0,0.92,1.1
원종현,2020,05-28,키움,W 9:6,0,0,2,2,0,0,0,0,0,0,0,0,3,0.182,0.000,0.000,0.96,0.73,0.040,SV,2일,0,0.86,0.2
원종현,2020,05-29,@삼성,L 4:5,2,2,5,4,3,0,0,0,0,0,0,0,8,0.243,0.750,1.500,2.70,-1.70,-0.800,L,1일,0,1.10,0.2
원종현,2020,06-03,SK,W 8:6,2,2,5,5,2,0,0,1,0,0,0,0,20,0.262,0.400,1.400,4.09,-1.45,0.014,,5일,0,1.18,1.0
원종현,2020,06-07,@한화,W 8:2,0,0,3,3,0,0,0,0,0,0,0,2,10,0.244,0.000,0.000,3.75,0.56,0.003,,4일,0,1.08,1.0
원종현,2020,06-11,두산,W 7:5,0,0,3,3,0,0,0,0,0,0,0,0,12,0.229,0.000,0.000,3.46,0.56,0.074,SV,4일,0,1.00,1.0
원종현,2020,06-12,키움,L 2:3,0,0,4,4,1,0,0,0,0,0,0,1,16,0.231,0.250,0.500,3.21,0.56,0.137,,1일,0,1.00,1.0
원종현,2020,06-14,키움,W 9:5,0,0,3,2,1,0,0,0,0,0,0,0,13,0.241,0.333,0.833,3.00,-0.05,0.013,,2일,0,1.00,1.0
원종현,2020,06-19,한화,W 3:1,0,0,5,4,1,1,0,0,1,0,0,2,18,0.241,0.400,0.900,2.81,0.56,0.074,SV,5일,0,1.06,1.0
원종현,2020,06-21,한화,W 9:7,0,0,4,4,0,0,0,0,0,0,0,1,12,0.226,0.000,0.000,2.60,1.19,0.177,W,2일,0,0.98,1.1
원종현,2020,06-23,@KT,W 4:3,0,0,4,3,0,0,0,0,1,0,0,0,14,0.215,0.250,0.250,2.45,0.56,0.200,SV,2일,0,0.98,1.0
원종현,2020,06-25,@KT,W 3:1,0,0,3,3,0,0,0,0,0,0,0,1,12,0.206,0.000,0.000,2.33,0.56,0.091,SV,2일,0,0.93,1.0
원종현,2020,06-28,@두산,W 5:0,0,0,3,3,0,0,0,0,0,0,0,0,10,0.197,0.000,0.000,2.21,0.56,0.008,,3일,0,0.89,1.0
원종현,2020,06-30,롯데,L 8:10,0,0,7,3,0,0,0,0,3,1,0,0,18,0.189,0.500,0.500,2.01,1.11,0.275,,2일,0,0.94,2.0
원종현,2020,07-02,롯데,W 9:7,0,0,6,5,0,0,0,0,0,0,1,1,28,0.177,0.167,0.167,1.88,1.21,0.214,SV,2일,0,0.88,1.2
원종현,2020,07-05,KIA,W 7:6,3,3,6,6,4,0,0,1,0,0,0,0,17,0.212,0.667,1.833,2.92,-3.30,-0.131,,3일,0,1.01,0.2
원종현,2020,07-07,@SK,W 5:4,3,3,9,8,3,0,0,0,1,0,0,2,31,0.226,0.444,0.819,3.81,-1.63,0.216,SV,2일,0,1.12,1.1
원종현,2020,07-11,@LG,D 6:6,0,0,3,3,0,0,0,0,0,0,0,2,13,0.219,0.000,0.000,3.67,0.56,0.137,,4일,0,1.07,1.0
원종현,2020,07-17,KT,D 3:3,0,0,5,4,1,0,0,0,1,0,0,0,25,0.220,0.400,0.650,3.54,0.56,0.137,,6일,0,1.11,1.0
원종현,2020,07-21,삼성,W 6:5,0,0,3,3,1,0,0,0,0,0,0,2,13,0.223,0.333,0.667,3.45,0.30,0.078,W,4일,0,1.12,0.2
원종현,2020,07-24,@KT,W 3:2,0,0,5,4,0,0,0,0,1,0,0,1,21,0.215,0.200,0.200,3.30,1.37,0.398,SV,3일,0,1.10,1.1
원종현,2020,07-28,@롯데,L 9:11,3,3,5,4,2,0,0,1,1,0,0,2,23,0.225,0.600,1.850,4.11,-2.56,-0.800,L,4일,0,1.17,0.2
원종현,2020,07-31,두산,W 10:7,0,0,5,5,2,0,0,0,0,0,0,1,19,0.233,0.400,0.800,3.98,0.56,0.033,SV,3일,0,1.20,1.0
원종현,2020,08-01,두산,L 10:12,4,4,7,4,4,1,0,0,1,0,0,0,13,0.258,0.833,2.083,5.01,-2.91,-0.466,L,1일,0,1.33,0.2
원종현,2020,08-06,@한화,W 4:1,0,0,3,3,0,0,0,0,0,0,0,1,10,0.252,0.000,0.000,4.86,0.56,0.041,SV,5일,0,1.29,1.0
원종현,2020,08-15,LG,L 4:13,0,0,3,3,1,0,0,0,0,0,0,1,9,0.254,0.333,0.667,4.76,0.57,0.000,,7+일,0,1.29,0.2
원종현,2020,08-18,키움,W 5:1,0,0,3,3,0,0,0,0,0,0,0,0,16,0.248,0.000,0.000,4.63,0.56,0.014,,3일,0,1.26,1.0
원종현,2020,08-25,한화,W 11:3,0,0,4,4,1,0,0,0,0,0,0,2,11,0.248,0.250,0.500,4.50,0.56,0.000,,7일,0,1.25,1.0
원종현,2020,08-29,SK,W 9:5,0,0,2,2,0,0,0,0,0,0,0,0,5,0.244,0.000,0.000,4.42,0.97,0.034,SV,4일,0,1.23,0.2
원종현,2020,08-30,SK,W 7:4,0,0,4,4,1,0,0,0,0,0,0,1,13,0.245,0.250,0.500,4.30,0.56,0.033,SV,1일,0,1.22,1.0
