Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
Àª·£µå,2019,03-27,ÇÑÈ­,W 9:4,3,2,28,24,7,3,0,1,4,0,0,3,97,0.292,0.393,0.935,3.00,0.33,0.084,W,7+ÀÏ,1,1.83,6.0
Àª·£µå,2019,04-02,@»ï¼º,W 4:1,1,1,27,25,5,1,0,0,2,0,0,7,109,0.245,0.259,0.499,2.19,2.91,0.221,W,6ÀÏ,1,1.46,6.1
Àª·£µå,2019,04-10,NC,W 2:1,1,1,26,23,5,2,0,0,3,0,0,5,115,0.236,0.308,0.612,1.86,2.89,0.302,,7+ÀÏ,1,1.34,7.0
Àª·£µå,2019,04-16,@·Ôµ¥,L 9:10,9,9,29,26,13,3,0,0,2,0,0,4,110,0.306,0.517,1.133,4.88,-4.76,-0.539,L,6ÀÏ,1,1.71,4.2
Àª·£µå,2019,04-21,µÎ»ê,L 2:9,7,7,29,24,7,1,0,2,3,0,2,4,96,0.303,0.414,0.997,5.93,-3.41,-0.224,L,5ÀÏ,1,1.68,6.1
Àª·£µå,2019,04-27,@Å°¿ò,W 6:4,4,4,28,28,7,2,0,2,0,0,0,5,91,0.293,0.250,0.786,5.79,-0.12,-0.119,,6ÀÏ,1,1.55,7.0
Àª·£µå,2019,05-03,@NC,W 8:4,4,4,24,20,7,1,0,3,4,0,0,6,90,0.300,0.458,1.308,5.95,-1.23,-0.003,W,6ÀÏ,1,1.63,5.0
Àª·£µå,2019,05-09,@µÎ»ê,W 5:3,3,1,26,25,8,1,0,0,0,0,0,2,97,0.303,0.308,0.668,5.40,0.33,-0.074,,6ÀÏ,1,1.59,6.0
Àª·£µå,2019,05-15,KT,L 4:7,3,3,25,21,7,1,1,0,3,0,1,7,108,0.306,0.440,0.916,5.40,-0.23,-0.027,,6ÀÏ,1,1.63,5.0
Àª·£µå,2019,05-21,·Ôµ¥,W 10:6,6,6,22,20,10,2,0,1,1,0,1,3,94,0.322,0.546,1.296,5.97,-4.28,-0.245,,6ÀÏ,1,1.71,4.0
Àª·£µå,2019,05-26,KT,W 17:5,1,1,25,23,7,1,0,0,2,0,0,5,98,0.320,0.360,0.708,5.54,2.33,0.157,W,5ÀÏ,1,1.69,6.0
Àª·£µå,2019,06-01,Å°¿ò,L 0:4,2,2,30,26,9,2,0,0,3,0,0,4,105,0.323,0.414,0.837,5.25,1.89,0.075,L,6ÀÏ,1,1.69,7.0
Àª·£µå,2019,06-07,@NC,L 1:2,1,0,28,24,5,2,0,0,2,1,0,9,108,0.314,0.259,0.551,4.77,2.89,0.203,,6ÀÏ,1,1.63,7.0
Àª·£µå,2019,06-13,»ï¼º,W 3:2,2,2,28,23,5,0,0,1,2,0,0,2,101,0.307,0.280,0.628,4.57,1.72,0.118,,6ÀÏ,1,1.57,7.1
Àª·£µå,2019,06-19,SK,L 1:7,5,5,28,24,8,0,0,1,2,0,1,3,99,0.309,0.393,0.851,4.76,-1.67,-0.265,L,6ÀÏ,1,1.58,6.0
Àª·£µå,2019,06-25,@Å°¿ò,L 3:7,7,6,24,22,11,2,0,1,2,0,0,5,84,0.320,0.542,1.269,5.17,-5.51,-0.447,L,6ÀÏ,1,1.66,3.1
Àª·£µå,2019,06-30,@KT,L 3:4,3,2,25,25,9,1,0,1,0,0,0,7,101,0.323,0.360,0.880,5.04,0.33,-0.019,,5ÀÏ,1,1.65,6.0
Àª·£µå,2019,07-06,LG,W 7:0,0,0,24,23,2,0,0,0,1,0,0,6,92,0.310,0.125,0.212,4.71,3.89,0.243,W,6ÀÏ,1,1.57,7.0
Àª·£µå,2019,07-11,@»ï¼º,L 2:4,4,4,30,28,7,3,0,1,1,0,0,10,115,0.306,0.276,0.740,4.71,0.32,-0.173,L,5ÀÏ,1,1.53,7.2
Àª·£µå,2019,07-17,·Ôµ¥,W 3:1,1,1,22,21,3,1,0,1,1,0,0,6,89,0.299,0.182,0.515,4.55,2.33,0.238,W,6ÀÏ,1,1.49,6.0
Àª·£µå,2019,07-31,@SK,W 6:2,2,2,21,17,2,1,0,0,4,0,0,4,91,0.293,0.286,0.462,4.51,0.78,0.122,W,7+ÀÏ,1,1.48,5.0
Àª·£µå,2019,08-06,LG,L 4:17,9,9,18,14,8,1,0,0,4,0,0,3,67,0.300,0.667,1.310,5.08,-6.75,-0.498,L,6ÀÏ,1,1.55,2.0
Àª·£µå,2019,08-11,@»ï¼º,L 4:5,2,2,26,21,7,0,0,0,4,0,0,4,105,0.302,0.423,0.756,5.02,0.78,0.035,,5ÀÏ,1,1.58,5.0
Àª·£µå,2019,08-17,KT,L 3:4,2,2,27,25,6,0,0,1,2,0,0,7,101,0.299,0.296,0.656,4.92,1.59,0.147,,6ÀÏ,1,1.56,6.1
Àª·£µå,2019,08-23,@Å°¿ò,L 0:6,4,4,27,24,8,3,0,0,3,0,0,3,105,0.300,0.407,0.866,4.97,-0.67,-0.183,L,6ÀÏ,1,1.57,6.0
Àª·£µå,2019,08-29,@NC,L 3:4,4,4,26,22,8,4,0,1,2,0,0,4,98,0.303,0.400,1.082,5.01,-0.67,-0.170,L,6ÀÏ,1,1.58,6.0
Àª·£µå,2019,09-04,@ÇÑÈ­,W 1:0,0,0,24,23,3,0,0,0,1,0,0,9,103,0.296,0.167,0.297,4.78,3.89,0.501,W,6ÀÏ,1,1.53,7.0
Àª·£µå,2019,09-13,@µÎ»ê,L 2:6,5,3,29,27,7,3,0,0,1,0,0,0,95,0.295,0.276,0.646,4.75,-1.12,-0.235,L,7+ÀÏ,1,1.52,7.0
