Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
蜡锐包,2017,04-01,茄拳,L 5:6,4,4,26,23,8,1,0,1,2,0,0,5,101,0.348,0.400,0.922,6.75,0.36,-0.025,,7+老,1,1.88,5.1
蜡锐包,2017,04-08,池季,L 10:13,5,5,26,25,9,1,0,1,1,0,0,3,111,0.354,0.385,0.905,7.36,-1.79,-0.135,,7老,1,1.82,5.2
蜡锐包,2017,04-14,@NC,W 10:6,3,2,32,29,6,1,1,0,1,0,1,8,111,0.299,0.250,0.560,5.21,0.44,0.056,W,6老,1,1.42,8.0
蜡锐包,2017,04-20,伙己,W 4:2,2,2,31,27,4,1,0,0,3,0,0,4,115,0.260,0.233,0.419,4.33,2.44,0.306,W,6老,1,1.26,8.0
蜡锐包,2017,04-26,@池季,W 4:3,2,2,26,26,4,0,0,0,0,0,0,2,100,0.238,0.154,0.308,3.93,3.47,0.308,,6老,1,1.11,7.1
蜡锐包,2017,05-02,@伙己,L 5:6,2,2,31,29,5,0,0,2,2,0,0,8,119,0.226,0.226,0.605,3.61,2.44,0.289,,6老,1,1.06,8.0
蜡锐包,2017,05-07,LG,L 4:10,6,6,28,25,11,1,1,0,1,0,1,1,100,0.255,0.482,1.042,4.34,-3.24,-0.371,L,5老,1,1.20,5.1
蜡锐包,2017,05-14,@吩单,W 15:1,0,0,29,26,5,2,0,0,2,0,1,5,100,0.248,0.276,0.545,3.79,3.89,0.085,W,7老,1,1.17,7.0
蜡锐包,2017,05-20,@KIA,W 6:0,0,0,33,32,8,0,0,0,1,0,0,2,122,0.248,0.273,0.523,3.25,5.00,0.249,W SHO,6老,1,1.15,9.0
蜡锐包,2017,05-26,kt,L 3:5,3,3,40,35,16,1,0,0,2,1,0,9,128,0.274,0.474,0.959,3.22,2.00,0.242,,6老,1,1.25,9.0
蜡锐包,2017,06-01,@茄拳,W 8:6,6,5,33,31,11,2,0,2,0,0,0,2,102,0.282,0.344,0.957,3.47,-1.68,0.075,W,6老,1,1.27,7.2
蜡锐包,2017,06-07,伙己,W 9:7,7,7,26,25,7,2,0,1,1,0,0,5,98,0.282,0.308,0.788,3.96,-3.67,-0.334,W,6老,1,1.27,6.0
蜡锐包,2017,06-13,LG,W 7:4,4,4,28,26,11,0,0,1,2,0,0,3,109,0.292,0.464,1.003,4.09,-0.67,-0.210,,6老,1,1.33,6.0
蜡锐包,2017,06-18,NC,W 13:11,8,7,27,25,12,3,0,1,1,0,0,2,93,0.305,0.500,1.220,4.55,-5.86,-0.682,,5老,1,1.40,4.2
蜡锐包,2017,06-24,吩单,L 4:8,1,1,24,21,4,2,0,0,2,0,1,5,115,0.299,0.292,0.577,4.37,2.33,0.220,,6老,1,1.38,6.0
蜡锐包,2017,06-30,@茄拳,L 8:13,7,7,29,23,9,2,1,3,0,0,2,5,93,0.304,0.393,1.349,4.71,-3.67,-0.530,,6老,1,1.39,6.0
蜡锐包,2017,07-09,@NC,L 4:9,4,4,28,21,9,4,0,0,4,0,2,2,108,0.310,0.536,1.155,4.82,-0.86,-0.164,L,7+老,1,1.44,5.0
蜡锐包,2017,07-22,茄拳,W 17:1,1,1,28,26,7,0,0,0,0,0,0,2,88,0.307,0.269,0.539,4.61,2.89,0.208,W,7+老,1,1.41,7.0
蜡锐包,2017,07-28,KIA,D 3:3,3,3,33,30,7,2,0,0,3,0,0,4,116,0.303,0.303,0.603,4.53,1.44,0.019,,6老,1,1.40,8.0
蜡锐包,2017,08-03,@伙己,W 14:4,4,4,32,31,11,1,0,1,1,0,0,5,109,0.306,0.375,0.859,4.57,-0.12,0.078,W,6老,1,1.42,7.0
蜡锐包,2017,08-09,茄拳,L 6:12,7,7,26,24,11,5,0,1,1,0,0,1,98,0.313,0.480,1.272,4.85,-4.23,-0.469,L,6老,1,1.45,5.0
蜡锐包,2017,08-15,@吩单,L 6:8,7,5,25,23,8,2,0,0,0,0,1,4,89,0.314,0.375,0.810,4.99,-4.23,-0.323,L,6老,1,1.46,5.0
蜡锐包,2017,08-20,@kt,L 1:2,2,2,20,19,5,1,0,1,0,0,0,2,80,0.312,0.263,0.737,4.95,0.78,0.030,L CG,5老,1,1.44,5.0
蜡锐包,2017,08-26,LG,W 5:4,2,2,28,25,8,2,0,0,2,0,1,2,90,0.313,0.393,0.793,4.87,1.33,0.117,,6老,1,1.45,6.0
蜡锐包,2017,09-01,@KIA,L 3:5,5,3,28,28,10,1,0,2,0,0,0,1,101,0.315,0.357,0.964,4.85,-2.09,-0.258,L,6老,1,1.46,6.1
蜡锐包,2017,09-07,kt,L 3:7,3,2,27,25,5,0,0,1,2,0,0,5,106,0.310,0.259,0.579,4.76,1.49,0.088,,6老,1,1.44,7.0
蜡锐包,2017,09-13,@NC,W 13:3,1,1,26,25,8,0,0,0,1,0,0,2,106,0.311,0.346,0.666,4.64,2.33,0.104,W,6老,1,1.44,6.0
蜡锐包,2017,09-19,@吩单,W 8:3,1,1,27,24,3,0,0,1,3,0,0,4,106,0.305,0.222,0.472,4.52,2.89,0.115,W,6老,1,1.42,7.0
蜡锐包,2017,09-24,kt,W 6:4,3,2,23,20,5,0,0,1,3,0,0,3,86,0.303,0.348,0.748,4.49,-0.23,-0.113,W,5老,1,1.42,5.0
蜡锐包,2017,10-03,SK,L 2:3,1,1,2,2,1,0,0,0,0,0,0,0,10,0.304,0.500,1.000,4.53,-0.02,-0.006,,7+老,0,1.43,0.1
蜡锐包,2017,10-21,@NC,W 14:5,4,4,25,22,10,1,0,0,2,0,0,0,81,0.455,0.480,0.980,7.71,-1.69,-0.277,,7+老,1,2.57,4.2
蜡锐包,2017,10-29,KIA,L 1:5,3,2,26,25,7,2,1,0,0,0,0,4,93,0.280,0.280,0.720,2.84,1.16,0.027,L,7+老,1,1.11,6.1
