Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¿±±‘¡¯,2017,04-01,@µŒªÍ,W 6:5,1,1,9,8,2,0,0,0,1,0,0,0,38,0.250,0.333,0.583,4.50,0.11,0.228,W,7+¿œ,0,1.50,2.0
¿±±‘¡¯,2017,04-08,@KIA,W 4:3,0,0,2,1,0,0,0,0,0,0,0,0,3,0.222,0.000,0.000,3.38,0.65,-0.063,W,7¿œ,0,1.13,0.2
¿±±‘¡¯,2017,04-11,@ªÔº∫,W 11:8,0,0,6,6,1,0,1,0,0,0,0,1,20,0.200,0.167,0.667,2.08,0.99,0.209,,3¿œ,0,0.92,1.2
¿±±‘¡¯,2017,04-12,@ªÔº∫,W 5:3,1,1,3,2,1,0,0,0,1,0,0,0,12,0.235,0.667,1.167,3.86,-0.42,-0.017,,1¿œ,0,1.29,0.1
¿±±‘¡¯,2017,04-15,SK,L 4:12,2,2,6,6,3,0,0,2,0,0,0,2,19,0.304,0.500,2.000,6.35,-1.45,-0.001,,3¿œ,0,1.59,1.0
¿±±‘¡¯,2017,04-20,LG,L 3:4,0,0,6,6,0,0,0,0,0,0,0,4,24,0.241,0.000,0.000,4.70,1.11,0.089,,5¿œ,0,1.17,2.0
¿±±‘¡¯,2017,04-21,@kt,W 7:2,0,0,5,5,0,0,0,0,0,0,0,2,15,0.206,0.000,0.000,3.86,0.85,0.014,,1¿œ,0,0.96,1.2
¿±±‘¡¯,2017,04-25,@∑‘µ•,L 2:4,0,0,2,1,0,0,0,0,1,0,0,1,11,0.200,0.500,0.500,3.72,0.25,0.020,,4¿œ,0,1.03,0.1
¿±±‘¡¯,2017,04-27,@∑‘µ•,W 6:1,0,0,1,1,0,0,0,0,0,0,0,1,6,0.194,0.000,0.000,3.60,0.26,0.005,,2¿œ,0,1.00,0.1
¿±±‘¡¯,2017,04-29,≥ÿºæ,L 3:7,0,0,1,0,0,0,0,0,0,0,0,0,8,0.194,0.000,0.000,3.48,0.33,0.001,,2¿œ,0,0.97,0.1
¿±±‘¡¯,2017,04-30,≥ÿºæ,L 4:5,0,0,9,6,2,0,0,0,3,0,0,1,36,0.214,0.556,0.889,3.00,0.13,-0.026,,1¿œ,0,1.25,1.2
¿±±‘¡¯,2017,05-02,@SK,W 6:5,1,1,4,4,1,0,0,1,0,0,0,1,18,0.217,0.250,1.250,3.46,-1.02,-0.229,,2¿œ,0,1.23,1.0
¿±±‘¡¯,2017,05-03,@SK,W 9:8,0,0,1,1,0,0,0,0,0,0,0,0,3,0.213,0.000,0.000,3.38,0.39,0.112,,1¿œ,0,1.20,0.1
¿±±‘¡¯,2017,05-04,@SK,L 2:6,3,3,4,3,2,0,0,2,1,0,0,1,17,0.240,0.750,3.417,5.27,-3.66,-0.204,,1¿œ,0,1.39,0.1
¿±±‘¡¯,2017,05-14,@LG,L 1:4,2,2,21,20,6,1,1,0,1,0,0,3,78,0.257,0.333,0.783,4.82,0.78,-0.023,L,7+¿œ,1,1.39,5.0
¿±±‘¡¯,2017,05-20,ªÔº∫,L 8:9,3,3,22,21,7,1,0,1,1,0,0,4,87,0.275,0.364,0.887,4.94,0.76,0.091,,6¿œ,1,1.44,5.0
¿±±‘¡¯,2017,05-26,@NC,L 3:5,1,1,26,21,6,2,0,0,5,0,0,4,111,0.277,0.423,0.804,4.40,1.78,0.167,,6¿œ,1,1.57,5.0
¿±±‘¡¯,2017,06-01,µŒªÍ,L 6:8,6,6,21,19,8,1,0,2,2,0,0,2,70,0.298,0.476,1.266,5.51,-3.13,-0.288,L,6¿œ,1,1.68,4.0
