Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
À±±Ù¿µ,2018,06-14,@µÎ»ê,L 8:9,0,0,9,8,1,0,0,0,1,0,0,2,28,0.125,0.222,0.347,0.00,1.23,0.073,,7+ÀÏ,0,0.86,2.1
À±±Ù¿µ,2018,06-16,@NC,L 1:5,0,0,3,3,1,1,0,0,0,0,0,0,7,0.182,0.333,1.000,0.00,-1.03,-0.111,,2ÀÏ,0,1.00,0.2
À±±Ù¿µ,2018,06-19,·Ôµ¥,L 7:9,0,0,3,3,0,0,0,0,0,0,0,1,12,0.143,0.000,0.000,0.00,0.56,0.055,,3ÀÏ,0,0.75,1.0
À±±Ù¿µ,2018,06-21,·Ôµ¥,D 5:5,0,0,1,1,0,0,0,0,0,0,0,0,6,0.133,0.000,0.000,0.00,0.26,0.047,,2ÀÏ,0,0.69,0.1
À±±Ù¿µ,2018,06-22,SK,L 9:13,1,0,8,7,1,0,0,0,1,0,0,3,35,0.136,0.250,0.393,0.00,0.86,0.121,,1ÀÏ,0,0.83,1.2
À±±Ù¿µ,2018,06-24,SK,W 4:0,0,0,4,3,0,0,0,0,1,0,0,1,14,0.120,0.250,0.250,0.00,0.56,0.023,,2ÀÏ,0,0.86,1.0
À±±Ù¿µ,2018,06-29,NC,W 7:3,1,1,5,4,2,0,0,0,1,0,0,1,19,0.172,0.600,1.100,1.17,-0.91,-0.060,,5ÀÏ,0,1.17,0.2
À±±Ù¿µ,2018,07-04,»ï¼º,W 6:5,0,0,1,1,1,0,0,0,0,0,0,0,1,0.200,1.000,2.000,1.17,-0.40,-0.115,,5ÀÏ,0,1.30,0.0
À±±Ù¿µ,2018,07-05,»ï¼º,D 2:2,0,0,3,2,0,0,0,0,1,1,0,1,16,0.188,0.333,0.333,1.08,0.73,0.123,,1ÀÏ,0,1.32,0.2
À±±Ù¿µ,2018,07-11,µÎ»ê,L 0:6,3,3,8,6,4,2,0,0,1,0,0,0,27,0.263,0.714,1.714,3.86,-2.45,-0.030,,6ÀÏ,0,1.71,1.0
À±±Ù¿µ,2018,07-18,ÇÑÈ­,W 4:2,0,0,3,3,1,0,0,0,0,0,0,2,14,0.268,0.333,0.667,3.60,0.30,0.056,,7ÀÏ,0,1.70,0.2
À±±Ù¿µ,2018,07-19,ÇÑÈ­,W 8:7,1,1,7,7,3,0,0,0,0,0,0,2,29,0.292,0.429,0.857,4.09,-0.79,-0.128,W,1ÀÏ,0,1.82,1.0
À±±Ù¿µ,2018,07-21,@KIA,L 2:8,2,2,5,5,2,0,0,0,0,0,0,0,14,0.302,0.400,0.800,5.25,-0.46,-0.004,,2ÀÏ,0,1.83,1.0
À±±Ù¿µ,2018,07-24,@³Ø¼¾,W 9:6,4,4,6,4,2,0,0,1,2,0,0,2,25,0.316,0.667,1.917,7.82,-1.98,-0.237,,3ÀÏ,0,2.05,0.2
À±±Ù¿µ,2018,07-27,LG,W 9:7,2,2,5,5,3,1,0,0,0,0,0,1,16,0.339,0.600,1.400,8.56,-1.45,-0.011,,3ÀÏ,0,2.12,1.0
À±±Ù¿µ,2018,09-13,@µÎ»ê,L 3:10,1,1,4,4,2,0,0,1,0,0,0,1,20,0.348,0.500,1.750,8.59,-1.05,-0.025,,7+ÀÏ,0,2.11,1.0
À±±Ù¿µ,2018,09-19,SK,L 8:18,4,4,11,8,3,1,0,1,2,0,0,0,33,0.351,0.455,1.330,9.72,-3.49,-0.037,,6ÀÏ,0,2.16,2.0
