Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
윤길현,2017,03-31,@NC,L 5:6,0,0,4,4,2,1,0,0,0,0,0,1,12,0.500,0.500,1.250,0.00,0.56,0.014,,7+일,0,2.00,1.0
윤길현,2017,04-01,@NC,W 3:0,0,0,3,2,1,0,0,0,1,0,0,1,16,0.500,0.667,1.167,0.00,-0.42,-0.059,,1일,0,3.00,0.1
윤길현,2017,04-04,넥센,W 5:2,1,1,4,4,1,0,0,1,0,0,0,2,17,0.400,0.250,1.250,3.86,-0.45,0.014,,3일,0,2.14,1.0
윤길현,2017,04-07,LG,L 4:6,3,3,4,3,2,0,0,0,0,0,1,1,24,0.462,0.750,1.417,13.50,-1.10,-0.127,,3일,0,2.63,0.1
윤길현,2017,04-09,LG,W 7:1,0,0,5,5,2,0,0,0,0,0,0,2,19,0.444,0.400,0.800,9.82,0.56,0.006,,2일,0,2.45,1.0
윤길현,2017,04-13,@SK,L 10:11,0,0,10,8,0,0,0,0,1,0,1,4,49,0.308,0.200,0.200,5.68,1.55,0.114,,4일,0,1.58,2.2
윤길현,2017,04-18,NC,L 3:8,1,1,3,3,1,0,0,1,0,0,0,0,9,0.310,0.333,1.667,6.43,-0.70,-0.025,,5일,0,1.57,0.2
윤길현,2017,04-20,NC,L 4:5,0,0,5,4,0,0,0,0,0,0,1,0,10,0.273,0.200,0.200,5.63,0.56,0.006,,2일,0,1.38,1.0
윤길현,2017,04-23,@넥센,L 5:6,2,2,4,4,2,2,0,0,0,0,0,1,16,0.297,0.500,1.500,7.27,-1.31,-0.061,,3일,0,1.50,0.2
윤길현,2017,04-26,한화,W 8:2,0,0,4,4,1,0,0,0,0,0,0,1,19,0.293,0.250,0.500,6.52,0.56,0.006,,3일,0,1.45,1.0
윤길현,2017,04-28,@두산,L 0:2,0,0,5,4,1,1,0,0,1,0,0,1,25,0.289,0.400,0.900,5.91,0.56,0.014,,2일,0,1.50,1.0
윤길현,2017,04-30,@두산,W 6:0,0,0,3,3,0,0,0,0,0,0,0,2,12,0.271,0.000,0.000,5.40,0.56,0.081,,2일,0,1.37,1.0
윤길현,2017,05-04,@kt,W 3:2,0,0,3,3,1,0,0,0,0,0,0,1,13,0.275,0.333,0.667,5.11,0.21,0.034,,4일,0,1.38,0.2
윤길현,2017,05-05,KIA,L 3:5,2,2,5,4,1,0,0,0,1,0,0,2,18,0.273,0.400,0.650,6.08,-0.46,-0.061,L,1일,0,1.43,1.0
윤길현,2017,05-07,KIA,L 3:5,0,0,4,4,0,0,0,0,0,0,0,2,20,0.254,0.000,0.000,5.52,0.90,0.148,,2일,0,1.30,1.1
윤길현,2017,05-10,@한화,W 8:1,0,0,4,4,0,0,0,0,0,0,0,1,16,0.238,0.000,0.000,5.06,0.81,0.069,,3일,0,1.19,1.1
윤길현,2017,05-11,@한화,L 1:2,0,0,3,1,0,0,0,0,1,0,0,0,14,0.234,0.500,0.500,4.86,0.21,0.034,,1일,0,1.20,0.2
윤길현,2017,05-16,kt,W 6:0,0,0,7,5,1,0,0,0,1,0,0,2,24,0.232,0.333,0.533,4.42,2.21,0.284,,5일,0,1.20,1.2
