Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¿±¥Î∞Ê,2020,06-03,≈∞øÚ,L 2:6,0,0,3,3,1,0,0,0,0,0,0,1,14,0.333,0.333,0.667,0.00,0.30,0.002,,7+¿œ,0,1.50,0.2
¿±¥Î∞Ê,2020,06-05,NC,L 2:13,0,0,7,6,2,0,0,0,1,0,0,3,29,0.333,0.429,0.762,0.00,0.53,0.000,,2¿œ,0,1.71,1.2
¿±¥Î∞Ê,2020,06-06,NC,L 2:14,1,1,2,2,1,0,0,1,0,0,0,1,12,0.364,0.500,2.500,3.38,-2.53,0.000,,1¿œ,0,1.88,0.1
¿±¥Î∞Ê,2020,06-11,@∑‘µ•,L 0:5,1,1,5,5,2,0,0,0,0,0,0,0,16,0.375,0.400,0.800,4.91,-0.45,-0.006,,5¿œ,0,1.91,1.0
¿±¥Î∞Ê,2020,06-16,LG,L 5:9,0,0,9,8,2,0,0,0,1,0,0,0,29,0.333,0.333,0.583,3.00,1.50,0.008,,5¿œ,0,1.67,2.1
¿±¥Î∞Ê,2020,06-18,LG,L 7:9,2,0,6,6,2,1,0,0,0,0,0,1,27,0.333,0.333,0.833,2.57,-1.45,-0.168,,2¿œ,0,1.71,1.0
¿±¥Î∞Ê,2020,06-23,@ªÔº∫,L 4:11,0,0,4,3,0,0,0,0,1,0,0,0,12,0.303,0.250,0.250,2.25,0.56,0.000,,5¿œ,0,1.63,1.0
¿±¥Î∞Ê,2020,06-24,@ªÔº∫,L 2:3,0,0,2,2,1,0,0,0,0,0,0,0,11,0.314,0.500,1.000,2.25,-1.35,-0.388,,1¿œ,0,1.75,0.0
¿±¥Î∞Ê,2020,06-27,KT,L 2:7,1,0,6,3,1,0,0,0,2,1,0,1,14,0.316,0.600,0.933,2.08,-1.26,-0.136,,3¿œ,0,1.96,0.2
¿±¥Î∞Ê,2020,07-02,@KIA,L 1:7,0,0,3,3,2,0,0,0,0,0,0,0,13,0.341,0.667,1.333,2.00,-0.74,-0.017,,5¿œ,0,2.11,0.1
¿±¥Î∞Ê,2020,07-05,@µŒªÍ,L 4:7,0,0,1,1,0,0,0,0,0,0,0,0,3,0.333,0.000,0.000,1.93,0.25,0.003,,3¿œ,0,2.04,0.1
¿±¥Î∞Ê,2020,07-07,∑‘µ•,W 7:6,1,1,8,7,2,1,0,0,1,0,0,0,26,0.327,0.375,0.804,2.45,1.02,0.055,,2¿œ,0,2.00,1.2
¿±¥Î∞Ê,2020,07-11,SK,L 3:5,0,0,5,2,0,0,0,0,2,1,0,1,16,0.314,0.500,0.500,2.13,1.53,0.146,,4¿œ,0,1.89,1.2
¿±¥Î∞Ê,2020,07-15,@KT,W 7:3,0,0,2,2,1,0,0,0,0,0,0,0,8,0.321,0.500,1.000,2.08,-0.02,-0.001,,4¿œ,0,1.92,0.1
¿±¥Î∞Ê,2020,07-17,@LG,L 0:8,1,1,6,5,2,1,0,0,1,0,0,1,18,0.328,0.500,1.100,2.57,-0.45,-0.003,,2¿œ,0,2.00,1.0
¿±¥Î∞Ê,2020,07-21,KIA,L 2:10,2,1,7,7,3,0,0,1,0,0,0,2,33,0.338,0.429,1.286,3.00,-1.45,0.000,,4¿œ,0,2.07,1.0
¿±¥Î∞Ê,2020,07-24,SK,L 4:7,0,0,3,3,0,0,0,0,0,0,0,1,15,0.324,0.000,0.000,2.81,0.56,0.024,,3¿œ,0,1.94,1.0
¿±¥Î∞Ê,2020,07-27,SK,D 5:5,0,0,3,2,0,0,0,0,1,0,0,0,17,0.314,0.333,0.333,2.65,0.56,0.080,,3¿œ,0,1.88,1.0
¿±¥Î∞Ê,2020,07-30,@ªÔº∫,L 1:2,0,0,6,3,0,0,0,0,1,0,1,1,20,0.301,0.400,0.400,2.45,1.02,0.249,,3¿œ,0,1.80,1.1
¿±¥Î∞Ê,2020,08-01,@LG,L 6:9,0,0,4,3,0,0,0,0,0,0,1,2,16,0.289,0.250,0.250,2.33,0.56,0.023,,2¿œ,0,1.71,1.0
¿±¥Î∞Ê,2020,08-06,NC,L 1:4,0,0,1,1,0,0,0,0,0,0,0,0,3,0.286,0.000,0.000,2.29,0.82,0.010,,5¿œ,0,1.68,0.1
¿±¥Î∞Ê,2020,08-09,KT,L 3:6,0,0,4,4,1,0,0,0,0,0,0,3,18,0.284,0.250,0.500,2.18,0.56,0.018,,3¿œ,0,1.65,1.0
