Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¿±ºÆπŒ,2018,06-02,µŒªÍ,L 0:10,5,5,25,19,8,0,0,2,4,0,0,2,95,0.421,0.522,1.259,9.64,-1.76,-0.187,L,7+¿œ,1,2.57,4.2
¿±ºÆπŒ,2018,06-08,@∑‘µ•,L 6:9,5,5,22,22,8,2,0,1,0,0,0,2,87,0.390,0.364,0.955,10.00,-2.27,-0.312,L,6¿œ,1,2.22,4.1
¿±ºÆπŒ,2018,06-14,SK,L 2:9,6,6,28,26,7,0,0,3,1,0,0,2,87,0.343,0.296,0.912,9.00,-2.12,-0.278,L,6¿œ,1,1.75,7.0
¿±ºÆπŒ,2018,06-20,NC,W 6:5,1,1,6,6,4,0,0,0,0,0,0,0,16,0.370,0.667,1.333,9.00,-0.45,0.074,SV,6¿œ,0,1.88,1.0
¿±ºÆπŒ,2018,06-22,@≥ÿºæ,W 8:5,1,1,5,5,2,1,0,0,0,0,0,1,20,0.372,0.400,1.000,9.00,-0.45,0.018,,2¿œ,0,1.89,1.0
¿±ºÆπŒ,2018,06-24,@≥ÿºæ,W 14:10,0,0,4,4,1,0,0,0,0,0,0,1,21,0.366,0.250,0.500,8.53,0.56,0.018,,2¿œ,0,1.84,1.0
¿±ºÆπŒ,2018,06-29,@µŒªÍ,W 7:4,0,0,4,4,1,1,0,0,0,0,0,1,17,0.360,0.250,0.750,8.10,0.56,0.041,SV,5¿œ,0,1.80,1.0
¿±ºÆπŒ,2018,07-04,«—»≠,W 6:4,0,0,3,3,0,0,0,0,0,0,0,3,16,0.348,0.000,0.000,7.71,0.56,0.074,SV,5¿œ,0,1.71,1.0
¿±ºÆπŒ,2018,07-07,LG,L 10:13,1,1,1,1,1,0,0,1,0,0,0,0,2,0.356,1.000,5.000,8.14,-3.30,-0.425,,3¿œ,0,1.76,0.0
¿±ºÆπŒ,2018,07-17,ªÔº∫,W 6:3,0,0,3,3,0,0,0,0,0,0,0,1,12,0.344,0.000,0.000,7.77,0.56,0.033,SV,7+¿œ,0,1.68,1.0
¿±ºÆπŒ,2018,07-20,KT,W 6:4,0,0,3,3,0,0,0,0,0,0,0,1,13,0.333,0.000,0.000,7.43,0.56,0.074,SV,3¿œ,0,1.61,1.0
¿±ºÆπŒ,2018,07-27,@ªÔº∫,L 10:11,0,0,8,7,2,1,0,0,0,0,0,1,20,0.330,0.286,0.714,6.84,1.11,0.275,,7¿œ,0,1.56,2.0
¿±ºÆπŒ,2018,07-31,∑‘µ•,W 4:1,0,0,3,3,0,0,0,0,0,0,0,3,13,0.321,0.000,0.000,6.58,0.56,0.033,SV,4¿œ,0,1.50,1.0
¿±ºÆπŒ,2018,08-05,µŒªÍ,W 6:3,0,0,5,5,1,0,0,0,0,0,0,0,26,0.315,0.200,0.400,6.33,0.56,0.033,SV,5¿œ,0,1.48,1.0
¿±ºÆπŒ,2018,08-08,@≥ÿºæ,L 6:7,1,0,12,9,4,1,0,0,1,1,0,1,39,0.325,0.455,1.010,5.83,-0.67,-0.387,L,3¿œ,0,1.53,2.1
¿±ºÆπŒ,2018,09-06,≥ÿºæ,W 7:2,0,0,4,4,1,1,0,0,0,0,0,1,15,0.323,0.250,0.750,5.64,0.56,0.006,,7+¿œ,0,1.52,1.0
¿±ºÆπŒ,2018,09-07,≥ÿºæ,W 7:5,0,0,5,5,2,0,0,0,0,0,0,2,19,0.326,0.400,0.800,5.46,0.56,0.074,SV,1¿œ,0,1.53,1.0
¿±ºÆπŒ,2018,09-09,ªÔº∫,L 5:6,0,0,3,3,0,0,0,0,0,0,0,0,14,0.318,0.000,0.000,5.29,0.56,0.038,,2¿œ,0,1.48,1.0
¿±ºÆπŒ,2018,09-12,@NC,L 4:5,1,1,3,3,2,1,0,0,0,0,0,1,10,0.326,0.667,1.667,5.51,-0.95,-0.420,L,3¿œ,0,1.53,0.1
¿±ºÆπŒ,2018,09-16,SK,W 7:6,2,2,3,2,2,2,0,0,1,0,0,0,14,0.336,1.000,3.000,6.06,-2.23,-0.525,,4¿œ,0,1.62,0.0
¿±ºÆπŒ,2018,09-19,@ªÔº∫,L 8:9,3,3,5,5,3,0,0,1,0,0,0,2,22,0.345,0.600,1.800,6.75,-2.56,-0.909,L,3¿œ,0,1.68,0.2
