Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¿±øµªÔ,2018,06-28,@∑‘µ•,L 6:8,0,0,6,6,0,0,0,0,0,0,0,3,23,0.000,0.000,0.000,0.00,1.11,0.037,,7+¿œ,0,0.00,2.0
¿±øµªÔ,2018,07-03,SK,L 3:9,0,0,3,3,0,0,0,0,0,0,0,1,9,0.000,0.000,0.000,0.00,0.56,0.002,,5¿œ,0,0.00,1.0
¿±øµªÔ,2018,07-04,SK,W 7:6,0,0,4,3,1,1,0,0,0,0,0,1,12,0.083,0.333,1.000,0.00,0.56,0.137,W,1¿œ,0,0.25,1.0
¿±øµªÔ,2018,07-11,@«—»≠,W 22:8,4,3,17,16,7,2,0,0,1,0,0,3,56,0.286,0.471,1.033,3.86,-2.34,0.000,SV,7¿œ,0,1.29,3.0
¿±øµªÔ,2018,07-17,LG,L 3:9,0,0,4,3,1,1,0,0,0,0,1,0,12,0.290,0.500,1.167,3.38,0.95,0.000,,6¿œ,0,1.25,1.0
¿±øµªÔ,2018,07-19,LG,L 3:8,0,0,7,7,0,0,0,0,0,0,0,0,23,0.237,0.000,0.000,2.61,1.50,0.006,,2¿œ,0,0.97,2.1
¿±øµªÔ,2018,07-27,∑‘µ•,L 2:9,2,2,11,10,3,2,0,0,1,0,0,5,42,0.250,0.364,0.864,3.55,-0.35,-0.051,,7+¿œ,0,1.11,2.1
¿±øµªÔ,2018,08-01,@SK,L 8:14,0,0,4,4,0,0,0,0,0,0,0,0,12,0.231,0.000,0.000,3.21,1.09,0.010,,5¿œ,0,1.00,1.1
¿±øµªÔ,2018,08-09,@«—»≠,W 16:5,0,0,5,4,1,0,0,0,1,0,0,2,23,0.232,0.400,0.650,3.00,0.57,0.001,,7+¿œ,0,1.07,1.0
¿±øµªÔ,2018,08-11,LG,W 13:8,1,0,8,8,1,0,0,0,0,0,0,3,37,0.219,0.125,0.250,2.65,0.11,0.008,,2¿œ,0,1.00,2.0
¿±øµªÔ,2018,09-06,@KIA,L 2:7,2,2,5,4,3,0,0,0,0,0,0,1,15,0.250,0.750,1.500,3.50,-1.45,-0.021,,7+¿œ,0,1.11,1.0
¿±øµªÔ,2018,09-08,KT,L 6:12,2,2,11,9,4,0,0,0,0,0,0,3,37,0.273,0.444,0.889,3.98,-0.06,-0.032,,2¿œ,0,1.18,2.1
¿±øµªÔ,2018,09-14,@NC,L 3:7,1,1,4,3,1,1,0,0,1,0,0,1,15,0.275,0.500,1.167,4.29,-1.28,-0.039,,6¿œ,0,1.24,0.2
¿±øµªÔ,2018,09-18,µŒªÍ,W 10:7,0,0,2,2,0,0,0,0,0,0,0,1,5,0.268,0.000,0.000,4.15,0.97,0.034,,4¿œ,0,1.20,0.2
¿±øµªÔ,2018,09-19,µŒªÍ,W 5:4,1,1,6,5,1,0,0,0,1,0,0,1,24,0.264,0.333,0.533,4.24,0.73,0.085,,1¿œ,0,1.20,1.2
¿±øµªÔ,2018,09-20,ªÔº∫,W 3:2,0,0,3,2,0,0,0,0,1,0,0,0,16,0.258,0.333,0.333,4.13,0.30,0.089,SV,1¿œ,0,1.21,0.2
¿±øµªÔ,2018,09-23,SK,W 4:0,0,0,4,4,1,0,0,0,0,0,0,2,16,0.258,0.250,0.500,3.96,0.56,0.023,,3¿œ,0,1.20,1.0
¿±øµªÔ,2018,09-25,@µŒªÍ,L 2:13,3,3,6,4,1,0,0,1,2,1,0,0,15,0.258,0.500,1.500,4.85,-3.43,-0.070,,2¿œ,0,1.27,1.0
¿±øµªÔ,2018,09-27,∑‘µ•,L 6:8,0,0,1,1,0,0,0,0,0,0,0,0,7,0.255,0.000,0.000,4.78,0.25,0.008,,2¿œ,0,1.25,0.1
¿±øµªÔ,2018,09-28,∑‘µ•,W 9:8,0,0,2,2,1,0,0,0,0,0,0,0,6,0.260,0.500,1.000,4.73,0.12,0.002,,1¿œ,0,1.28,0.1
¿±øµªÔ,2018,09-30,NC,W 8:2,0,0,4,4,1,0,0,0,0,0,0,2,17,0.260,0.250,0.500,4.55,0.56,0.003,,2¿œ,0,1.27,1.0
¿±øµªÔ,2018,10-13,@ªÔº∫,L 5:12,2,2,10,10,4,0,0,1,0,0,0,3,36,0.272,0.400,1.100,4.85,-0.89,-0.027,,7+¿œ,0,1.31,2.0
¿±øµªÔ,2018,10-27,@SK,L 8:10,2,2,2,2,2,0,0,0,0,0,0,0,4,1.000,1.000,2.000,99.99,-1.02,-0.054,,7+¿œ,0,99.99,0.0
