Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
À±Áö¿õ,2018,04-10,SK,L 1:4,0,0,3,1,0,0,0,0,1,0,1,0,12,0.000,0.667,0.667,0.00,-0.42,-0.005,,7+ÀÏ,0,3.00,0.1
À±Áö¿õ,2018,06-06,ÇÑÈ­,L 1:5,0,0,6,6,2,1,0,0,0,0,0,0,20,0.286,0.333,0.833,0.00,0.81,0.053,,7+ÀÏ,0,1.80,1.1
À±Áö¿õ,2018,06-10,@»ï¼º,L 3:12,3,2,4,3,2,1,0,0,1,0,0,0,17,0.400,0.750,1.750,9.00,-3.37,-0.023,,4ÀÏ,0,3.00,0.1
À±Áö¿õ,2018,06-12,@NC,L 4:8,0,0,4,2,0,0,0,0,0,0,2,1,12,0.333,0.500,0.500,6.00,0.42,0.012,,2ÀÏ,0,2.00,1.0
À±Áö¿õ,2018,06-14,@NC,L 7:11,0,0,3,3,2,0,0,0,0,0,0,1,10,0.400,0.667,1.333,5.40,-1.50,-0.050,,2ÀÏ,0,2.40,0.1
À±Áö¿õ,2018,07-29,@KT,W 7:4,0,0,2,1,0,0,0,0,1,0,0,0,10,0.375,0.500,0.500,4.91,-0.02,-0.002,,7+ÀÏ,0,2.45,0.1
À±Áö¿õ,2018,07-31,@µÎ»ê,L 2:6,0,0,1,1,0,0,0,0,0,0,0,0,5,0.353,0.000,0.000,4.50,0.82,0.004,,2ÀÏ,0,2.25,0.1
À±Áö¿õ,2018,08-01,@µÎ»ê,L 8:14,0,0,3,3,0,0,0,0,0,0,0,0,9,0.300,0.000,0.000,3.60,0.56,0.000,,1ÀÏ,0,1.80,1.0
À±Áö¿õ,2018,08-04,SK,L 2:9,0,0,3,3,0,0,0,0,0,0,0,2,15,0.261,0.000,0.000,3.00,0.56,0.000,,3ÀÏ,0,1.50,1.0
À±Áö¿õ,2018,08-11,@³Ø¼¾,L 8:13,1,1,4,4,3,0,0,0,0,0,0,0,13,0.333,0.750,1.500,4.26,-1.74,-0.218,,7ÀÏ,0,1.89,0.1
