Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
¿±»ÒªÛ,2018,03-24,∑‘µ•,W 6:5,0,0,3,2,0,0,0,0,1,0,0,0,16,0.000,0.333,0.333,0.00,0.56,0.121,,7+¿œ,0,1.00,1.0
¿±»ÒªÛ,2018,03-30,@«—»≠,W 8:4,1,1,6,6,2,0,0,0,0,0,0,0,15,0.250,0.333,0.667,4.50,-0.45,0.006,,6¿œ,0,1.50,1.0
¿±»ÒªÛ,2018,04-01,@«—»≠,W 13:1,0,0,4,4,1,0,0,0,0,0,0,1,16,0.250,0.250,0.500,3.00,0.56,0.000,,2¿œ,0,1.33,1.0
¿±»ÒªÛ,2018,04-04,KIA,L 6:9,4,4,4,4,4,0,0,0,0,0,0,0,17,0.438,1.000,2.000,15.00,-3.02,-0.273,,3¿œ,0,2.67,0.0
¿±»ÒªÛ,2018,04-08,ªÔº∫,L 4:12,0,0,4,3,0,0,0,0,1,0,0,0,17,0.368,0.250,0.250,11.25,0.56,0.000,,4¿œ,0,2.25,1.0
¿±»ÒªÛ,2018,04-10,@LG,W 4:1,0,0,5,4,1,0,0,0,1,0,0,2,22,0.348,0.400,0.650,9.00,0.56,0.041,SV,2¿œ,0,2.20,1.0
¿±»ÒªÛ,2018,04-13,NC,W 4:2,0,0,1,1,0,0,0,0,0,0,0,1,4,0.333,0.000,0.000,8.44,0.54,0.077,,3¿œ,0,2.06,0.1
¿±»ÒªÛ,2018,04-14,NC,W 7:0,0,0,4,4,1,0,0,0,0,0,0,1,13,0.321,0.250,0.500,7.11,0.56,0.009,,1¿œ,0,1.89,1.0
¿±»ÒªÛ,2018,04-17,@KT,W 9:5,0,0,6,6,2,0,0,0,0,0,0,1,32,0.324,0.333,0.667,5.87,-0.19,0.010,,3¿œ,0,1.83,1.1
¿±»ÒªÛ,2018,04-21,@∑‘µ•,L 3:4,0,0,3,3,0,0,0,0,0,0,0,1,18,0.297,0.000,0.000,5.19,0.56,0.012,,4¿œ,0,1.62,1.0
¿±»ÒªÛ,2018,04-22,@∑‘µ•,W 10:4,1,1,5,5,3,0,0,0,0,0,0,0,19,0.333,0.600,1.200,5.79,-1.28,-0.068,,1¿œ,0,1.82,0.2
¿±»ÒªÛ,2018,04-26,µŒªÍ,W 5:4,1,1,3,3,2,1,0,0,0,0,0,1,14,0.356,0.667,1.667,6.52,-1.82,-0.179,,4¿œ,0,1.97,0.1
¿±»ÒªÛ,2018,04-27,@≥ÿºæ,W 8:3,0,0,3,3,0,0,0,0,0,0,0,0,13,0.333,0.000,0.000,5.91,0.56,0.011,,1¿œ,0,1.78,1.0
¿±»ÒªÛ,2018,04-29,@≥ÿºæ,L 5:8,0,0,1,1,0,0,0,0,0,0,0,0,1,0.327,0.000,0.000,5.56,0.97,0.005,,2¿œ,0,1.68,0.2
¿±»ÒªÛ,2018,05-02,@ªÔº∫,W 7:4,0,0,5,4,2,0,0,0,1,0,0,1,30,0.340,0.600,1.100,5.25,-0.26,-0.040,,3¿œ,0,1.83,0.2
¿±»ÒªÛ,2018,05-09,@NC,W 6:5,4,4,4,3,3,0,0,0,1,0,0,0,20,0.375,1.000,2.000,8.25,-3.50,-0.101,,7¿œ,0,2.17,0.0
¿±»ÒªÛ,2018,05-18,@KIA,L 1:5,0,0,4,3,0,0,0,0,1,0,0,0,15,0.356,0.250,0.250,7.62,0.56,0.003,,7+¿œ,0,2.08,1.0
¿±»ÒªÛ,2018,05-20,@KIA,L 3:8,1,1,4,4,1,0,0,1,0,0,0,2,18,0.349,0.250,1.250,7.71,-0.45,-0.005,,2¿œ,0,2.00,1.0
¿±»ÒªÛ,2018,05-23,≥ÿºæ,W 13:2,0,0,2,2,0,0,0,0,0,0,0,1,7,0.338,0.000,0.000,7.36,0.44,0.000,,3¿œ,0,1.91,0.2
¿±»ÒªÛ,2018,05-27,«—»≠,L 5:7,0,0,2,2,1,0,1,0,0,0,0,1,8,0.343,0.500,2.000,7.20,-0.66,-0.037,,4¿œ,0,1.93,0.1
