Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이동현,2018,03-27,@넥센,L 4:5,0,0,1,1,0,0,0,0,0,0,0,0,6,0.000,0.000,0.000,0.00,0.97,0.050,,7+일,0,0.00,0.2
이동현,2018,04-01,KIA,W 6:5,2,2,5,4,2,0,0,0,1,0,0,0,19,0.400,0.600,1.100,13.50,-0.56,-0.109,,5일,0,2.25,0.2
이동현,2018,04-03,@두산,L 4:5,1,1,3,1,1,0,0,0,0,0,1,0,9,0.500,1.000,2.000,16.20,-0.42,-0.070,L,2일,0,2.40,0.1
이동현,2018,04-21,@NC,W 6:3,0,0,4,3,0,0,0,0,1,0,0,1,21,0.333,0.250,0.250,10.13,0.56,0.051,,7+일,0,1.88,1.0
이동현,2018,04-24,넥센,W 8:2,0,0,5,5,1,0,0,0,0,0,0,0,17,0.286,0.200,0.400,6.75,0.90,0.065,W,3일,0,1.50,1.1
이동현,2018,04-25,넥센,W 2:1,0,0,1,1,0,0,0,0,0,0,0,0,6,0.267,0.000,0.000,6.23,0.23,0.045,,1일,0,1.38,0.1
이동현,2018,04-27,삼성,W 9:2,0,0,4,4,2,0,0,0,0,0,0,0,11,0.316,0.500,1.000,5.40,0.02,0.001,,2일,0,1.60,0.2
이동현,2018,04-29,삼성,L 7:8,0,0,5,5,0,0,0,0,0,0,0,2,25,0.250,0.000,0.000,4.05,1.16,0.187,,2일,0,1.20,1.2
이동현,2018,05-01,@한화,L 5:6,0,0,1,1,0,0,0,0,0,0,0,0,5,0.240,0.000,0.000,3.86,0.34,0.010,,2일,0,1.14,0.1
이동현,2018,05-03,@한화,L 3:7,1,1,4,3,2,1,0,0,0,0,0,1,11,0.286,0.500,1.500,4.70,-1.28,-0.066,,2일,0,1.30,0.2
이동현,2018,05-06,두산,L 5:13,1,1,8,8,3,0,0,1,0,0,0,1,18,0.306,0.375,1.125,4.82,-0.46,-0.009,,3일,0,1.39,1.2
이동현,2018,05-10,롯데,L 2:7,2,2,3,1,1,1,0,0,1,0,0,0,10,0.324,1.000,3.000,6.52,-1.77,-0.155,,4일,0,1.55,0.1
이동현,2018,05-11,@SK,W 14:9,0,0,6,6,1,0,0,0,0,0,0,1,22,0.302,0.167,0.333,5.40,1.11,0.022,,1일,0,1.37,2.0
이동현,2018,05-15,@삼성,L 2:4,0,0,2,2,0,0,0,0,0,0,0,0,3,0.289,0.000,0.000,5.11,0.73,0.020,,4일,0,1.30,0.2
