Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
ÀÌ¹Î¿ì,2020,05-07,Å°¿ò,W 8:5,4,4,25,21,5,2,0,0,3,0,0,4,92,0.238,0.320,0.653,6.35,-0.79,-0.125,,7+ÀÏ,1,1.41,5.2
ÀÌ¹Î¿ì,2020,05-13,@ÇÑÈ­,W 4:3,3,3,23,22,8,2,0,0,1,0,0,3,83,0.302,0.391,0.846,5.91,-0.23,-0.059,W,6ÀÏ,1,1.59,5.0
ÀÌ¹Î¿ì,2020,05-19,·Ôµ¥,W 9:2,2,2,25,21,4,1,0,0,3,0,0,6,83,0.266,0.280,0.518,4.86,1.33,0.141,W,6ÀÏ,1,1.44,6.0
ÀÌ¹Î¿ì,2020,05-24,@SK,L 3:4,3,1,26,23,3,0,1,0,2,0,1,2,102,0.230,0.231,0.448,3.80,0.89,-0.002,,5ÀÏ,1,1.23,7.0
ÀÌ¹Î¿ì,2020,05-30,LG,W 10:6,2,1,26,24,3,2,0,0,2,0,0,8,97,0.207,0.192,0.401,3.23,1.89,0.271,W,6ÀÏ,1,1.11,7.0
ÀÌ¹Î¿ì,2020,06-05,@µÎ»ê,L 1:5,5,5,26,25,6,2,0,0,1,0,0,3,93,0.213,0.269,0.589,3.86,-0.46,-0.151,L,6ÀÏ,1,1.10,6.2
ÀÌ¹Î¿ì,2020,06-11,@KT,L 8:13,8,7,22,21,11,0,0,2,1,0,0,2,72,0.255,0.546,1.355,5.09,-5.02,-0.296,L,6ÀÏ,1,1.30,3.1
ÀÌ¹Î¿ì,2020,06-17,NC,W 7:6,3,3,22,18,4,1,0,1,2,0,2,2,86,0.251,0.364,0.808,5.12,-0.23,0.035,,6ÀÏ,1,1.29,5.0
ÀÌ¹Î¿ì,2020,07-02,ÇÑÈ­,W 7:1,1,1,25,21,6,0,0,1,4,0,0,5,100,0.255,0.400,0.829,4.70,2.33,0.213,W,7+ÀÏ,1,1.34,6.0
ÀÌ¹Î¿ì,2020,07-08,KT,L 4:7,4,4,22,20,6,1,0,0,2,0,0,2,92,0.259,0.364,0.714,4.92,-1.23,-0.202,L,6ÀÏ,1,1.36,5.0
ÀÌ¹Î¿ì,2020,07-14,@»ï¼º,L 0:5,4,4,21,18,7,1,0,1,1,0,0,3,87,0.269,0.400,1.011,5.11,-1.23,-0.145,L,6ÀÏ,1,1.38,5.0
ÀÌ¹Î¿ì,2020,07-19,µÎ»ê,L 4:8,4,4,26,25,7,1,0,1,0,0,1,1,79,0.270,0.308,0.748,5.19,-0.67,-0.141,,5ÀÏ,1,1.36,6.0
ÀÌ¹Î¿ì,2020,08-04,LG,L 5:15,6,6,23,20,6,0,0,2,2,0,1,5,95,0.272,0.391,0.991,5.57,-3.23,-0.461,L,7+ÀÏ,1,1.38,5.0
ÀÌ¹Î¿ì,2020,08-13,@LG,L 2:4,3,3,26,22,7,1,0,1,2,0,1,5,94,0.276,0.400,0.900,5.49,0.33,-0.084,L,7+ÀÏ,1,1.39,6.0
ÀÌ¹Î¿ì,2020,08-19,@LG,L 1:10,5,5,21,17,8,1,2,0,4,0,0,2,89,0.286,0.571,1.336,5.82,-3.51,-0.336,L,6ÀÏ,1,1.48,3.1
ÀÌ¹Î¿ì,2020,08-25,@µÎ»ê,L 8:10,3,1,22,18,5,0,0,1,3,0,0,2,91,0.286,0.381,0.825,5.61,-0.76,-0.192,,6ÀÏ,1,1.49,4.2
ÀÌ¹Î¿ì,2020,08-30,KT,W 7:5,4,4,23,21,6,0,1,1,1,0,0,4,76,0.286,0.304,0.828,5.69,-1.23,-0.202,W,5ÀÏ,1,1.48,5.0
ÀÌ¹Î¿ì,2020,09-05,@ÇÑÈ­,W 5:4,3,3,27,23,5,2,0,0,3,0,0,4,90,0.282,0.296,0.601,5.58,0.77,0.069,W,6ÀÏ,1,1.46,6.2
ÀÌ¹Î¿ì,2020,09-15,SK,L 1:16,6,5,20,14,6,0,0,0,4,0,0,3,75,0.287,0.526,0.955,5.84,-3.25,-0.253,L,7+ÀÏ,1,1.51,3.1
ÀÌ¹Î¿ì,2020,09-26,·Ôµ¥,L 3:16,7,7,10,7,6,1,0,0,2,0,0,0,41,0.297,0.800,1.800,6.42,-6.79,-0.444,L,7+ÀÏ,1,1.58,0.2
ÀÌ¹Î¿ì,2020,10-03,@µÎ»ê,L 2:7,3,3,8,5,3,0,0,0,2,0,0,1,46,0.300,0.625,1.225,6.62,-2.45,-0.234,L,7ÀÏ,1,1.62,1.0
ÀÌ¹Î¿ì,2020,10-08,ÇÑÈ­,L 6:13,4,4,17,15,7,2,0,0,2,0,0,0,68,0.306,0.529,1.129,6.79,-2.97,-0.266,,5ÀÏ,1,1.66,2.2
