Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
ÀÌ¹ÎÈ£,2017,04-15,µÎ»ê,L 2:11,3,3,6,6,4,1,0,1,0,0,0,1,13,0.667,0.667,2.000,40.50,-2.70,-0.002,,7+ÀÏ,0,6.00,0.2
ÀÌ¹ÎÈ£,2017,04-16,µÎ»ê,W 4:0,0,0,3,3,0,0,0,0,0,0,0,0,9,0.444,0.000,0.000,16.20,0.56,0.014,,1ÀÏ,0,2.40,1.0
ÀÌ¹ÎÈ£,2017,04-18,@·Ôµ¥,W 8:3,0,0,3,3,1,0,0,0,0,0,0,0,8,0.417,0.333,0.667,11.57,0.30,0.009,,2ÀÏ,0,2.14,0.2
ÀÌ¹ÎÈ£,2017,04-19,@·Ôµ¥,W 8:2,0,0,2,0,0,0,0,0,2,0,0,0,11,0.417,1.000,0.000,11.57,-1.02,-0.013,,1ÀÏ,0,3.00,0.0
ÀÌ¹ÎÈ£,2017,04-21,@»ï¼º,D 4:4,0,0,5,4,0,0,0,0,1,1,0,2,14,0.313,0.200,0.200,8.10,0.56,0.137,,2ÀÏ,0,2.40,1.0
ÀÌ¹ÎÈ£,2017,04-26,kt,W 11:4,3,3,6,5,2,0,0,1,0,0,1,2,19,0.333,0.500,1.500,12.46,-2.45,0.000,,5ÀÏ,0,2.31,1.0
ÀÌ¹ÎÈ£,2017,04-28,@KIA,L 3:9,2,1,15,14,4,2,0,0,1,0,0,5,62,0.314,0.333,0.762,8.22,0.90,0.018,,2ÀÏ,0,1.96,3.1
ÀÌ¹ÎÈ£,2017,05-04,@LG,L 3:4,3,1,20,17,5,0,0,0,2,0,0,7,85,0.308,0.350,0.644,6.17,-1.18,-0.157,,6ÀÏ,1,1.89,4.0
ÀÌ¹ÎÈ£,2017,05-12,@kt,W 8:5,1,0,21,17,2,0,0,0,2,0,1,3,87,0.261,0.250,0.368,4.32,1.78,0.172,W,7+ÀÏ,1,1.56,5.0
ÀÌ¹ÎÈ£,2017,05-18,@µÎ»ê,L 4:7,6,6,11,9,5,0,1,1,1,0,1,0,49,0.295,0.636,1.748,7.00,-4.87,-0.421,L,6ÀÏ,1,1.78,1.1
ÀÌ¹ÎÈ£,2017,05-21,SK,L 4:9,0,0,3,3,1,0,0,0,0,0,0,0,13,0.296,0.333,0.667,6.75,-0.43,-0.034,,3ÀÏ,0,1.77,0.2
