Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이보근,2017,04-02,LG,L 2:9,2,2,6,6,3,1,0,0,0,0,0,1,19,0.500,0.500,1.167,18.00,-1.45,-0.006,,7+일,0,3.00,1.0
이보근,2017,04-07,@두산,W 7:3,0,0,3,3,0,0,0,0,0,0,0,0,17,0.333,0.000,0.000,9.00,0.56,0.018,,5일,0,1.50,1.0
이보근,2017,04-08,@두산,W 13:10,0,0,5,4,2,0,0,0,1,0,0,1,25,0.385,0.600,1.100,6.00,0.56,0.051,,1일,0,2.00,1.0
이보근,2017,04-12,kt,W 5:3,0,0,4,4,1,0,0,0,0,0,0,2,19,0.353,0.250,0.500,4.15,1.37,0.216,,4일,0,1.62,1.1
이보근,2017,04-13,kt,L 6:7,0,0,3,3,0,0,0,0,0,0,0,1,8,0.300,0.000,0.000,3.38,0.56,0.074,,1일,0,1.31,1.0
이보근,2017,04-16,@KIA,L 6:7,1,1,5,3,1,0,0,0,1,0,0,0,16,0.304,0.400,0.733,4.26,-0.45,-0.058,,3일,0,1.42,1.0
이보근,2017,04-20,@SK,W 5:3,3,3,8,8,5,0,0,1,0,0,0,1,29,0.387,0.625,1.625,7.36,-2.45,-0.533,W,4일,0,1.91,1.0
이보근,2017,04-21,롯데,W 4:1,0,0,3,3,0,0,0,0,0,0,0,0,15,0.353,0.000,0.000,6.48,0.56,0.074,,1일,0,1.68,1.0
이보근,2017,04-23,롯데,W 6:5,0,0,3,3,0,0,0,0,0,0,0,2,17,0.324,0.000,0.000,5.79,2.42,0.350,,2일,0,1.50,1.0
이보근,2017,04-29,@한화,W 7:3,0,0,8,8,2,0,0,0,0,0,0,3,42,0.311,0.250,0.500,4.76,1.11,0.082,,6일,0,1.41,2.0
이보근,2017,05-03,KIA,L 1:2,0,0,3,3,0,0,0,0,0,0,0,1,11,0.292,0.000,0.000,4.38,0.56,0.038,,4일,0,1.30,1.0
이보근,2017,05-05,SK,W 5:3,0,0,6,5,2,0,0,0,1,0,0,1,20,0.302,0.500,0.900,4.05,0.56,0.074,,2일,0,1.43,1.0
이보근,2017,05-07,SK,D 6:6,0,0,4,4,1,1,0,0,0,0,0,3,17,0.298,0.250,0.750,3.77,0.56,0.074,,2일,0,1.40,1.0
이보근,2017,05-11,@NC,W 2:1,0,0,3,3,0,0,0,0,0,0,0,1,12,0.283,0.000,0.000,3.52,0.56,0.200,SV,4일,0,1.30,1.0
이보근,2017,05-13,@삼성,W 5:4,0,0,3,3,0,0,0,0,0,0,0,1,17,0.270,0.000,0.000,3.31,0.56,0.200,SV,2일,0,1.22,1.0
이보근,2017,05-14,@삼성,W 5:4,1,1,5,5,2,0,0,1,0,0,0,1,17,0.279,0.400,1.400,3.63,-0.45,0.091,SV,1일,0,1.27,1.0
이보근,2017,05-16,한화,W 2:1,0,0,3,3,0,0,0,0,0,0,0,1,12,0.268,0.000,0.000,3.44,0.56,0.162,SV,2일,0,1.20,1.0
이보근,2017,05-18,한화,W 8:6,3,3,6,5,4,0,0,0,0,0,0,0,17,0.303,0.800,1.600,4.74,-2.70,-0.755,,2일,0,1.37,0.2
이보근,2017,05-19,@kt,W 4:3,1,1,5,5,2,0,0,1,0,0,0,1,14,0.309,0.400,1.400,4.95,-0.45,0.091,SV,1일,0,1.40,1.0
이보근,2017,06-03,두산,W 8:5,0,0,4,3,0,0,0,0,1,0,0,1,17,0.298,0.250,0.250,4.71,0.56,0.043,,7+일,0,1.38,1.0
이보근,2017,06-04,두산,L 1:6,0,0,6,5,3,0,0,0,1,0,0,1,34,0.315,0.667,1.267,4.57,-2.46,-0.319,,1일,0,1.52,0.2
이보근,2017,06-06,@SK,L 5:6,1,1,3,3,2,0,0,0,0,0,0,0,11,0.326,0.667,1.333,4.91,-1.02,-0.363,L,2일,0,1.59,0.1
이보근,2017,06-08,@SK,W 6:2,0,0,4,4,1,1,0,0,0,0,0,3,26,0.323,0.250,0.750,4.70,0.56,0.108,,2일,0,1.57,1.0
이보근,2017,06-21,@한화,W 6:5,0,0,3,3,0,0,0,0,0,0,0,2,14,0.313,0.000,0.000,4.50,0.56,0.107,W,7+일,0,1.50,1.0
이보근,2017,06-24,LG,L 2:8,0,0,3,3,0,0,0,0,0,0,0,1,15,0.304,0.000,0.000,4.32,0.56,0.001,,3일,0,1.44,1.0
