Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이상화,2017,04-02,@SK,W 8:1,0,0,3,3,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.00,0.56,0.001,,7+일,0,0.00,1.0
이상화,2017,04-04,두산,L 0:2,0,0,3,3,1,0,0,0,0,0,0,0,6,0.167,0.333,0.667,0.00,0.30,0.009,,2일,0,0.60,0.2
이상화,2017,04-08,삼성,W 1:0,0,0,3,3,0,0,0,0,0,0,0,0,15,0.111,0.000,0.000,0.00,0.56,0.080,,4일,0,0.38,1.0
이상화,2017,04-12,@넥센,L 3:5,0,0,3,3,0,0,0,0,0,0,0,1,13,0.083,0.000,0.000,0.00,0.56,0.014,,4일,0,0.27,1.0
이상화,2017,04-13,@넥센,W 7:6,0,0,3,3,0,0,0,0,0,0,0,2,15,0.067,0.000,0.000,0.00,0.56,0.014,W,1일,0,0.21,1.0
이상화,2017,04-16,@LG,L 5:12,0,0,9,8,3,0,0,0,1,0,0,0,37,0.174,0.444,0.819,0.00,1.11,0.069,,3일,0,0.75,2.0
이상화,2017,04-18,KIA,L 0:5,1,1,6,5,2,1,0,0,1,0,0,0,24,0.214,0.500,1.100,1.17,-0.45,-0.007,,2일,0,1.04,1.0
이상화,2017,04-22,한화,W 11:9,2,2,6,6,3,1,0,0,0,0,0,1,17,0.265,0.500,1.167,3.12,-0.84,-0.008,,4일,0,1.27,1.0
이상화,2017,04-25,@NC,L 1:2,0,0,3,3,0,0,0,0,0,0,0,1,13,0.243,0.000,0.000,2.79,0.56,0.031,,3일,0,1.14,1.0
이상화,2017,04-27,@NC,L 0:3,0,0,4,4,1,0,0,0,0,0,0,1,19,0.244,0.250,0.500,2.53,0.56,0.006,,2일,0,1.13,1.0
이상화,2017,04-30,LG,L 5:7,1,1,4,3,2,0,0,0,0,0,1,0,18,0.273,0.750,1.417,3.27,-1.42,-0.137,,3일,0,1.27,0.1
이상화,2017,05-03,롯데,W 8:2,0,0,3,3,0,0,0,0,0,0,0,0,10,0.255,0.000,0.000,3.00,0.56,0.002,,3일,0,1.17,1.0
이상화,2017,05-04,롯데,L 2:3,0,0,3,3,2,0,0,0,0,0,0,0,14,0.280,0.667,1.333,2.84,0.21,0.010,,1일,0,1.26,0.2
이상화,2017,05-07,@한화,W 10:0,0,0,1,1,0,0,0,0,0,0,0,0,2,0.275,0.000,0.000,2.77,0.12,0.005,,3일,0,1.23,0.1
이상화,2017,05-12,NC,L 5:8,3,3,7,7,4,0,0,1,0,0,0,0,31,0.310,0.571,1.571,4.50,-2.45,-0.210,,5일,0,1.43,1.0
이상화,2017,05-14,NC,W 10:5,0,0,3,3,1,0,0,0,0,0,0,0,6,0.311,0.333,0.667,4.20,0.56,0.006,,2일,0,1.40,1.0
