Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이승현,2017,04-01,KIA,L 7:9,1,1,7,3,1,0,0,0,2,0,1,0,24,0.333,0.571,0.905,9.00,-0.45,-0.003,,7+일,0,3.00,1.0
이승현,2017,04-04,@LG,L 0:11,0,0,3,3,0,0,0,0,0,0,0,2,12,0.167,0.000,0.000,4.50,0.56,0.000,,3일,0,1.50,1.0
이승현,2017,04-06,@LG,L 0:4,0,0,3,2,0,0,0,0,1,0,0,1,19,0.125,0.333,0.333,3.38,1.09,0.006,,2일,0,1.50,0.2
이승현,2017,04-11,한화,L 8:11,0,0,2,2,1,0,0,0,0,0,0,0,5,0.200,0.500,1.000,3.00,-1.37,-0.117,,5일,0,1.67,0.1
이승현,2017,04-15,@롯데,L 4:6,1,0,4,2,1,0,1,0,2,0,0,0,14,0.250,0.750,2.250,2.70,-1.15,-0.117,,4일,0,2.40,0.1
이승현,2017,04-30,SK,L 2:13,0,0,8,8,0,0,0,0,0,0,0,4,46,0.150,0.000,0.000,1.50,2.58,0.003,,7+일,0,1.33,2.2
이승현,2017,05-03,두산,L 4:10,0,0,6,5,2,0,0,0,1,0,0,1,30,0.200,0.500,0.900,1.29,0.56,0.021,,3일,0,1.57,1.0
이승현,2017,05-04,두산,L 2:17,2,2,9,8,2,0,0,2,1,0,0,2,46,0.212,0.333,1.333,3.00,-0.89,0.000,,1일,0,1.56,2.0
이승현,2017,05-07,@NC,L 3:13,3,3,10,8,2,1,0,0,2,0,0,2,37,0.220,0.400,0.775,4.91,-1.89,-0.021,,3일,0,1.64,2.0
이승현,2017,05-11,LG,L 5:8,0,0,4,3,0,0,0,0,1,0,0,1,21,0.205,0.250,0.250,4.50,0.56,0.008,,4일,0,1.58,1.0
이승현,2017,05-13,넥센,L 4:5,0,0,8,8,2,0,0,0,0,0,0,1,21,0.212,0.250,0.500,3.86,1.11,0.090,,2일,0,1.50,2.0
이승현,2017,05-18,@SK,L 1:4,0,0,2,2,1,0,0,0,0,0,0,1,10,0.222,0.500,1.000,3.77,0.12,0.003,,5일,0,1.53,0.1
이승현,2017,05-20,@한화,W 9:8,0,0,9,8,2,0,0,0,1,0,0,3,38,0.226,0.333,0.583,3.38,0.85,0.091,W,2일,0,1.56,1.2
이승현,2017,05-21,@한화,W 8:7,0,0,4,2,0,0,0,0,2,0,0,1,17,0.219,0.500,0.500,3.24,-0.03,-0.041,W,1일,0,1.62,0.2
이승현,2017,05-24,kt,L 8:9,0,0,3,3,1,0,1,0,0,0,0,0,12,0.224,0.333,1.333,3.12,0.21,0.026,,3일,0,1.62,0.2
이승현,2017,05-25,kt,W 6:4,3,3,3,2,2,1,0,1,1,0,0,0,13,0.246,1.000,4.000,4.67,-3.00,-0.033,,1일,0,1.79,0.0
이승현,2017,05-31,롯데,W 11:4,1,1,6,5,1,0,0,1,1,0,0,1,22,0.243,0.333,1.133,4.82,-0.33,0.000,,6일,0,1.77,1.1
이승현,2017,06-03,KIA,W 6:5,0,0,5,3,0,0,0,0,2,0,0,0,26,0.234,0.400,0.400,4.58,0.71,0.052,,3일,0,1.78,1.0
이승현,2017,06-04,KIA,L 3:13,2,1,7,5,3,0,0,0,1,0,0,0,28,0.256,0.571,1.171,4.79,-1.95,-0.014,,1일,0,1.89,1.0
이승현,2017,06-20,@LG,L 3:5,0,0,4,1,1,0,0,0,2,0,0,0,13,0.265,1.000,2.000,4.71,-1.10,-0.051,,7+일,0,2.00,0.1
이승현,2017,06-27,@KIA,L 4:11,0,0,4,4,1,0,0,0,0,0,0,1,16,0.264,0.250,0.500,4.50,0.56,0.001,,7일,0,1.95,1.0
이승현,2017,06-28,@KIA,L 4:13,1,0,5,5,1,1,0,0,0,0,0,0,19,0.261,0.200,0.600,4.30,-0.45,0.000,,1일,0,1.91,1.0
이승현,2017,07-07,넥센,L 2:9,1,1,8,6,2,1,0,1,2,0,0,1,33,0.265,0.500,1.500,4.38,-0.87,-0.015,,7+일,0,1.95,1.2
이승현,2017,07-21,LG,L 4:10,3,3,4,4,3,0,0,2,0,0,0,0,8,0.284,0.750,3.000,5.40,-5.19,-0.068,,7+일,0,2.04,0.1
이승현,2017,09-01,@SK,L 7:8,0,0,2,2,0,0,0,0,0,0,0,0,4,0.279,0.000,0.000,5.26,0.98,0.014,,7+일,0,1.99,0.2
이승현,2017,09-12,한화,L 2:6,0,0,6,6,0,0,0,0,0,0,0,1,24,0.264,0.000,0.000,4.88,1.11,0.011,,7+일,0,1.84,2.0
이승현,2017,09-14,@NC,D 11:11,0,0,5,5,1,0,0,0,0,0,0,1,23,0.261,0.200,0.400,4.66,1.19,0.043,,2일,0,1.79,1.1
이승현,2017,09-16,두산,L 5:9,2,2,10,10,4,0,0,2,0,0,0,1,35,0.272,0.400,1.400,4.94,-0.89,-0.015,,2일,0,1.81,2.0
이승현,2017,09-21,LG,W 8:4,1,1,3,3,2,1,0,0,0,0,0,0,5,0.281,0.667,1.667,5.17,-1.02,-0.009,,5일,0,1.85,0.1
이승현,2017,09-27,NC,L 1:11,0,0,2,2,0,0,0,0,0,0,0,0,3,0.277,0.000,0.000,5.12,-0.19,0.000,,6일,0,1.83,0.1
