Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이승호,2019,03-27,@두산,L 2:3,2,2,24,21,6,1,0,0,3,0,0,6,94,0.286,0.375,0.708,2.57,1.89,0.188,,7+일,1,1.29,7.0
이승호,2019,04-02,@NC,W 8:6,4,3,25,22,7,2,0,0,1,0,0,3,92,0.302,0.320,0.729,3.46,-0.67,-0.144,,6일,1,1.31,6.0
이승호,2019,04-09,KT,W 7:3,3,3,25,23,5,0,0,1,2,0,0,4,98,0.273,0.280,0.628,3.79,0.33,-0.023,W,7일,1,1.26,6.0
이승호,2019,04-14,한화,L 2:3,2,2,29,26,6,2,0,1,3,0,0,10,114,0.261,0.310,0.733,3.46,1.89,0.161,,5일,1,1.27,7.0
이승호,2019,04-20,@LG,W 7:3,3,3,22,20,6,1,0,0,2,0,0,3,99,0.268,0.364,0.714,3.77,-0.23,-0.020,,6일,1,1.32,5.0
이승호,2019,04-26,KIA,W 8:4,2,2,27,25,8,1,1,0,2,0,0,4,98,0.277,0.370,0.810,3.65,1.33,0.084,W,6일,1,1.38,6.0
이승호,2019,05-02,@SK,W 10:8,7,6,23,20,7,0,0,1,3,0,0,4,83,0.287,0.435,0.935,4.61,-4.78,-0.532,,6일,1,1.49,4.0
이승호,2019,05-08,LG,W 6:0,0,0,34,32,6,2,0,0,2,0,0,4,104,0.270,0.235,0.485,3.78,5.00,0.352,W SHO,6일,1,1.38,9.0
이승호,2019,05-14,@한화,L 3:7,6,6,27,22,6,2,0,2,5,0,0,4,99,0.270,0.407,1.044,4.34,-2.67,-0.362,L,6일,1,1.43,6.0
이승호,2019,05-25,@삼성,L 9:10,5,5,13,10,5,1,0,1,2,0,1,1,52,0.281,0.615,1.515,4.97,-3.89,-0.408,,7+일,1,1.50,2.0
이승호,2019,05-31,@KIA,L 2:3,3,3,27,24,9,1,0,0,1,0,0,4,90,0.290,0.400,0.817,4.92,0.33,-0.071,L,6일,1,1.52,6.0
이승호,2019,06-06,SK,W 6:2,2,2,23,22,5,1,0,0,1,0,0,4,85,0.285,0.261,0.534,4.76,1.33,0.176,W,6일,1,1.47,6.0
이승호,2019,06-12,@NC,W 5:4,4,4,22,19,5,1,0,1,3,0,0,3,101,0.283,0.364,0.837,4.92,-1.24,-0.160,,6일,1,1.48,5.0
이승호,2019,06-18,KT,W 3:2,2,1,24,21,5,0,0,1,2,0,0,5,109,0.280,0.292,0.673,4.67,1.33,0.059,,6일,1,1.46,6.0
이승호,2019,07-02,두산,W 6:3,3,3,24,23,7,2,0,0,0,0,0,3,68,0.282,0.292,0.683,4.66,0.33,-0.048,W,7+일,1,1.44,6.0
이승호,2019,07-28,NC,L 0:11,8,3,19,17,7,1,0,1,2,0,0,3,71,0.288,0.474,1.121,4.80,-5.68,-0.345,L,7+일,1,1.49,3.0
이승호,2019,08-04,KT,L 3:5,5,5,12,9,6,1,2,0,1,0,0,1,40,0.298,0.636,1.859,5.20,-2.71,-0.250,L,7일,1,1.54,1.2
이승호,2019,08-10,두산,W 10:2,2,2,26,22,6,1,0,0,3,0,0,5,81,0.296,0.346,0.664,5.07,1.33,0.184,W,6일,1,1.54,6.0
이승호,2019,08-16,NC,W 6:4,3,3,12,10,4,2,0,0,2,0,0,0,43,0.299,0.500,1.100,5.24,-1.89,-0.219,,6일,1,1.57,2.0
이승호,2019,08-28,@한화,L 1:2,2,2,23,19,6,3,0,0,4,0,0,3,83,0.300,0.435,0.909,5.16,0.76,0.000,L,7+일,1,1.59,5.0
이승호,2019,09-03,@두산,W 5:2,0,0,23,21,3,0,0,0,2,0,0,3,87,0.292,0.217,0.360,4.88,3.33,0.392,W,6일,1,1.55,6.0
이승호,2019,09-08,@KIA,W 13:3,0,0,23,21,4,1,0,0,2,0,0,3,94,0.287,0.261,0.499,4.63,3.33,0.101,W,5일,1,1.52,6.0
이승호,2019,09-14,@KT,L 2:3,2,1,26,23,5,1,0,1,3,0,0,2,94,0.284,0.308,0.699,4.48,1.33,0.064,,6일,1,1.51,6.0
이승호,2019,10-09,@LG,L 2:4,2,2,19,15,3,0,0,1,3,0,0,2,67,0.200,0.333,0.733,4.15,0.05,-0.040,,7+일,1,1.38,4.1
이승호,2019,10-14,@SK,W 3:0,0,0,1,1,0,0,0,0,0,0,0,1,3,0.000,0.000,0.000,0.00,0.26,0.046,,5일,0,0.00,0.1
이승호,2019,10-23,@두산,L 5:6,2,2,21,18,4,0,0,1,3,0,0,2,88,0.222,0.333,0.722,3.38,0.36,-0.021,,7+일,1,1.31,5.1
이승호,2019,10-26,두산,L 9:11,1,1,6,6,1,0,0,0,0,0,0,1,19,0.208,0.167,0.333,3.86,0.86,0.040,,3일,0,1.14,1.2
