Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이영하,2018,03-24,삼성,L 3:6,0,0,6,6,2,0,0,0,0,0,0,3,25,0.333,0.333,0.667,0.00,0.88,0.031,,7+일,0,1.50,1.1
이영하,2018,03-25,삼성,W 5:4,0,0,3,3,0,0,0,0,0,0,0,0,8,0.222,0.000,0.000,0.00,0.56,0.120,,1일,0,0.86,1.0
이영하,2018,03-29,롯데,W 4:1,0,0,5,5,2,0,0,0,0,0,0,1,24,0.286,0.400,0.800,0.00,0.56,0.042,,4일,0,1.20,1.0
이영하,2018,04-01,@KT,L 4:9,4,4,8,7,4,0,0,1,0,0,0,1,28,0.381,0.500,1.500,7.71,-2.46,-0.442,L,3일,0,1.71,1.1
이영하,2018,04-03,LG,W 5:4,1,1,2,2,1,1,0,0,0,0,0,0,7,0.391,0.500,1.500,9.00,-0.25,-0.075,,2일,0,1.80,0.1
이영하,2018,04-04,LG,W 6:3,1,1,3,3,2,0,0,0,0,0,0,0,9,0.423,0.667,1.333,10.13,-0.42,-0.019,,1일,0,2.06,0.1
이영하,2018,04-08,NC,W 11:10,1,1,4,3,1,0,0,0,1,0,0,1,19,0.414,0.500,0.833,10.50,-0.78,-0.197,,4일,0,2.17,0.2
이영하,2018,04-12,@삼성,W 9:3,1,1,11,7,2,0,0,0,3,0,1,2,47,0.389,0.546,0.831,9.39,-0.71,-0.006,,4일,0,2.35,1.2
이영하,2018,04-18,한화,W 5:4,2,2,13,13,3,0,0,1,0,0,0,5,48,0.347,0.231,0.692,8.18,0.05,-0.061,,6일,0,1.91,3.1
이영하,2018,04-20,KIA,W 6:4,0,0,3,3,1,0,0,0,0,0,0,0,10,0.346,0.333,0.667,7.71,-1.03,0.034,,2일,0,1.89,0.2
이영하,2018,04-24,@SK,W 10:9,3,3,20,15,5,3,0,0,4,0,0,3,74,0.343,0.450,0.983,7.63,-1.12,-0.162,,4일,1,2.02,3.2
이영하,2018,04-29,@NC,W 7:1,0,0,22,22,4,2,0,0,0,0,0,3,91,0.303,0.182,0.455,5.48,3.33,0.244,W,5일,1,1.64,6.0
