Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이용찬,2018,03-29,롯데,W 4:1,1,1,22,20,2,0,0,1,2,0,0,4,84,0.100,0.182,0.432,1.50,2.33,0.233,W,7+일,1,0.67,6.0
이용찬,2018,04-04,LG,W 6:3,2,2,30,28,8,0,0,0,1,0,0,6,99,0.208,0.310,0.596,2.08,1.89,0.258,W,6일,1,1.00,7.0
이용찬,2018,04-12,@삼성,W 9:3,2,2,22,21,4,0,1,0,0,0,1,2,89,0.203,0.227,0.513,2.37,1.33,0.115,W,7+일,1,0.89,6.0
이용찬,2018,05-13,넥센,L 1:2,0,0,7,6,1,1,0,0,1,0,0,3,44,0.200,0.286,0.619,2.14,1.11,0.090,,7+일,0,0.90,2.0
이용찬,2018,05-18,@롯데,W 7:1,0,0,21,20,3,0,0,0,1,0,0,3,84,0.189,0.191,0.341,1.67,2.93,0.270,W,5일,1,0.85,6.0
이용찬,2018,05-24,@한화,W 7:1,0,0,27,26,7,0,0,0,1,0,0,3,107,0.207,0.296,0.566,1.32,3.89,0.322,W,6일,1,0.91,7.0
이용찬,2018,05-30,SK,W 11:3,3,3,27,26,6,0,0,2,1,0,0,2,92,0.211,0.259,0.721,1.76,0.89,0.097,W,6일,1,0.93,7.0
이용찬,2018,06-05,@넥센,L 6:13,7,6,25,21,7,2,0,1,3,0,0,4,86,0.226,0.400,0.971,2.74,-4.23,-0.567,L,6일,1,1.04,5.0
이용찬,2018,06-10,NC,W 6:3,0,0,24,23,2,1,0,0,1,0,0,6,99,0.209,0.125,0.255,2.38,3.89,0.404,,5일,1,0.96,7.0
이용찬,2018,06-16,@한화,W 8:3,3,2,26,24,7,2,0,0,1,0,1,7,98,0.219,0.346,0.721,2.44,-0.67,0.007,W,6일,1,1.00,6.0
이용찬,2018,06-22,@삼성,L 14:16,10,10,24,21,10,1,0,2,3,0,0,3,98,0.242,0.542,1.351,3.73,-7.32,-0.714,L,6일,1,1.15,3.2
이용찬,2018,06-28,@NC,W 9:0,0,0,24,22,5,2,0,0,2,0,0,5,89,0.240,0.292,0.610,3.41,3.33,0.103,W,6일,1,1.15,6.0
이용찬,2018,07-05,@롯데,W 9:2,1,1,26,26,7,4,0,0,0,0,0,4,85,0.243,0.269,0.692,3.21,3.25,0.219,W,7일,1,1.14,7.0
이용찬,2018,07-11,@KT,W 6:0,0,0,25,24,5,0,0,0,1,0,0,6,100,0.240,0.240,0.448,2.94,3.89,0.365,W,6일,1,1.11,7.0
이용찬,2018,07-20,@LG,W 5:4,4,4,25,20,9,2,0,1,4,0,0,0,98,0.253,0.520,1.220,3.21,-2.20,-0.238,,7+일,1,1.21,4.1
이용찬,2018,07-26,@SK,L 3:8,7,5,31,27,11,1,0,1,2,1,0,5,88,0.265,0.433,0.989,3.50,-3.92,-0.246,L,6일,1,1.27,5.2
이용찬,2018,08-01,LG,W 14:8,5,5,24,22,10,3,0,1,0,0,0,1,81,0.276,0.417,1.144,3.79,-2.76,-0.401,,6일,1,1.32,4.2
이용찬,2018,08-09,@KT,W 4:2,2,2,28,23,3,1,0,0,4,0,0,4,99,0.268,0.259,0.433,3.71,1.89,0.238,W,7+일,1,1.29,7.0
이용찬,2018,08-15,SK,L 2:12,0,0,2,1,1,0,0,0,1,0,0,0,6,0.269,1.000,2.000,3.71,-1.02,-0.090,,6일,1,1.31,0.0
이용찬,2018,09-07,@삼성,W 7:2,2,2,28,24,7,0,0,1,2,1,1,5,114,0.271,0.370,0.787,3.67,1.33,0.117,W,7+일,1,1.32,6.0
이용찬,2018,09-13,KT,W 10:3,3,3,23,23,6,0,0,2,0,0,0,6,85,0.270,0.261,0.783,3.71,0.33,-0.031,W,6일,1,1.31,6.0
이용찬,2018,09-19,@넥센,L 4:5,4,4,26,23,6,1,0,0,1,0,1,8,108,0.270,0.308,0.612,3.83,-0.30,-0.233,,6일,1,1.30,6.0
이용찬,2018,09-25,넥센,W 13:2,2,2,25,21,7,3,0,0,2,0,2,8,100,0.272,0.440,0.916,3.82,-0.57,-0.147,W,6일,1,1.32,5.0
이용찬,2018,09-30,LG,W 7:1,1,1,32,30,6,0,0,1,0,0,2,5,99,0.268,0.250,0.550,3.63,4.00,0.291,W CG,5일,1,1.28,9.0
이용찬,2018,10-13,KT,L 3:4,3,3,34,30,11,0,0,1,2,0,0,2,105,0.274,0.394,0.861,3.63,1.19,-0.013,,7+일,1,1.30,7.2
이용찬,2018,11-07,@SK,L 2:7,4,4,28,24,7,0,0,1,3,0,0,7,107,0.292,0.370,0.787,5.40,-0.23,-0.161,L,7+일,1,1.50,6.2
이용찬,2018,11-12,SK,L 4:5,1,1,7,4,1,1,0,0,3,0,0,0,30,0.286,0.571,1.071,5.87,-1.08,-0.111,,5일,1,1.83,1.0
