Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이우찬,2019,03-27,@SK,L 1:2,0,0,2,2,0,0,0,0,0,0,0,1,5,0.000,0.000,0.000,0.00,0.38,0.084,,7+일,0,0.00,0.2
이우찬,2019,03-30,롯데,L 1:7,2,0,13,12,0,0,0,0,1,0,0,4,56,0.000,0.077,0.077,0.00,0.39,0.002,,3일,0,0.23,3.2
이우찬,2019,04-02,@한화,L 2:6,0,0,11,10,1,1,0,0,1,0,0,2,40,0.042,0.182,0.382,0.00,1.67,0.029,,3일,0,0.41,3.0
이우찬,2019,04-07,@KT,L 3:4,0,0,2,2,0,0,0,0,0,0,0,0,6,0.038,0.000,0.000,0.00,0.38,0.032,,5일,0,0.38,0.2
이우찬,2019,04-12,두산,W 3:0,0,0,3,3,0,0,0,0,0,0,0,2,13,0.034,0.000,0.000,0.00,0.56,0.042,,5일,0,0.33,1.0
이우찬,2019,04-13,두산,W 5:2,0,0,4,4,0,0,0,0,0,0,0,1,18,0.030,0.000,0.000,0.00,1.02,0.139,,1일,0,0.29,1.1
이우찬,2019,04-16,@NC,W 7:2,2,1,3,1,0,0,0,0,2,0,0,0,14,0.029,0.667,0.667,0.84,-0.42,-0.089,,3일,0,0.47,0.1
이우찬,2019,04-17,@NC,W 4:2,0,0,3,3,1,1,0,0,0,0,0,0,16,0.054,0.333,1.000,0.79,0.21,0.030,,1일,0,0.53,0.2
이우찬,2019,04-20,키움,L 3:7,0,0,5,5,0,0,0,0,0,0,0,0,18,0.048,0.000,0.000,0.69,0.99,0.143,,3일,0,0.46,1.2
이우찬,2019,04-24,KIA,W 10:3,2,2,6,6,3,1,0,0,0,0,0,2,19,0.104,0.500,1.167,1.93,-1.45,0.000,,4일,0,0.64,1.0
이우찬,2019,04-30,KT,W 10:9,0,0,2,0,0,0,0,0,2,0,0,0,7,0.104,1.000,0.000,1.93,-1.84,-0.185,,6일,0,0.79,0.0
이우찬,2019,05-03,@두산,L 2:7,0,0,8,8,2,0,0,0,0,0,0,3,33,0.125,0.250,0.500,1.69,1.11,0.017,,3일,0,0.81,2.0
이우찬,2019,05-05,@두산,L 2:11,5,5,7,6,5,1,0,0,1,0,0,0,21,0.194,0.857,1.857,4.41,-4.69,-0.012,,2일,0,1.16,0.1
이우찬,2019,05-07,@키움,W 12:10,0,0,10,10,1,0,0,0,0,0,0,2,37,0.181,0.100,0.200,3.72,1.09,0.033,,2일,0,1.03,3.0
이우찬,2019,05-12,한화,W 2:0,0,0,17,15,1,0,0,0,2,0,0,2,79,0.161,0.177,0.243,2.96,2.78,0.278,W,5일,1,0.95,5.0
이우찬,2019,05-23,SK,W 2:1,1,1,21,18,6,0,1,0,3,0,0,5,96,0.190,0.429,0.873,2.79,1.43,0.121,,7+일,1,1.10,4.2
이우찬,2019,05-29,@키움,W 4:2,1,1,24,20,3,1,0,0,3,0,0,5,86,0.184,0.261,0.461,2.55,2.59,0.205,W,6일,1,1.08,6.1
이우찬,2019,06-04,KT,W 8:4,2,2,21,16,4,0,0,0,5,0,0,3,86,0.191,0.429,0.679,2.68,0.78,0.084,W,6일,1,1.17,5.0
이우찬,2019,06-09,@한화,W 3:1,1,1,28,20,4,0,0,0,7,1,1,4,118,0.193,0.429,0.629,2.53,2.33,0.200,,5일,1,1.25,6.0
이우찬,2019,06-15,@두산,W 4:3,1,1,23,20,6,1,0,0,3,0,0,2,86,0.204,0.391,0.741,2.41,2.33,0.234,W,6일,1,1.28,6.0
이우찬,2019,06-21,KIA,W 9:8,5,4,25,20,7,3,0,0,5,0,0,2,90,0.219,0.480,0.980,2.86,-1.95,-0.233,,6일,1,1.39,4.1
이우찬,2019,07-04,한화,W 4:3,3,3,24,21,3,0,0,1,3,0,0,5,94,0.212,0.250,0.536,2.98,0.77,-0.024,W,7+일,1,1.34,6.2
이우찬,2019,07-11,두산,L 4:8,4,4,21,17,3,2,0,1,4,0,0,3,91,0.209,0.333,0.804,3.29,-1.23,-0.201,,7일,1,1.35,5.0
이우찬,2019,07-17,@SK,L 2:8,5,5,17,14,6,1,0,1,2,0,0,1,57,0.221,0.500,1.214,3.73,-2.78,-0.332,L,6일,1,1.38,4.0
이우찬,2019,08-01,키움,W 11:5,5,5,20,15,4,0,0,1,5,0,0,1,92,0.224,0.450,0.917,4.13,-2.64,-0.314,,7+일,1,1.43,4.0
이우찬,2019,08-08,@NC,L 2:13,7,5,21,12,5,1,0,0,7,0,0,0,79,0.232,0.632,1.132,4.58,-6.31,-0.344,L,7일,1,1.54,2.1
이우찬,2019,09-01,@SK,L 6:9,4,4,11,9,4,1,0,1,2,0,0,1,40,0.239,0.546,1.434,4.91,-2.29,-0.156,L,7+일,0,1.57,2.0
이우찬,2019,09-11,@한화,L 5:9,0,0,8,3,0,0,0,0,5,0,0,2,42,0.236,0.625,0.625,4.81,0.64,0.009,,7+일,0,1.60,1.2
이우찬,2019,09-23,한화,L 1:9,3,3,23,20,7,0,0,0,1,0,2,3,80,0.244,0.435,0.785,4.86,0.24,-0.032,,7+일,0,1.61,4.2
이우찬,2019,09-29,두산,L 0:3,2,2,15,12,2,0,0,0,2,0,1,2,61,0.241,0.333,0.500,4.85,1.20,0.095,L,6일,1,1.58,4.0
이우찬,2019,10-10,키움,L 5:10,1,0,1,0,0,0,0,0,1,0,0,0,6,0.000,1.000,0.000,0.00,-0.19,-0.004,,7+일,0,99.99,0.0
