Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이재학,2017,04-01,롯데,L 0:3,3,3,15,10,3,2,0,0,3,0,1,0,62,0.300,0.500,1.000,11.57,-2.06,-0.205,L,7+일,1,2.57,2.1
이재학,2017,04-09,@SK,L 5:8,6,6,17,15,8,0,0,1,0,0,2,2,56,0.440,0.588,1.322,17.36,-5.31,-0.530,L,7+일,1,3.00,2.1
이재학,2017,05-14,@kt,L 5:10,8,4,25,24,7,2,0,0,0,0,1,7,86,0.367,0.320,0.695,12.10,-4.57,-0.291,L,7+일,1,2.17,5.0
이재학,2017,05-20,SK,W 1:0,0,0,22,20,3,0,0,0,2,0,0,6,95,0.304,0.227,0.377,7.47,3.33,0.365,W,6일,1,1.66,6.0
이재학,2017,05-26,한화,W 5:3,2,2,32,30,11,0,0,0,1,0,0,6,99,0.323,0.387,0.754,6.04,1.63,0.089,,6일,1,1.70,6.2
이재학,2017,06-01,KIA,W 8:7,5,3,12,10,5,2,0,0,1,0,0,2,45,0.339,0.546,1.246,6.66,-3.89,-0.405,,6일,1,1.81,2.0
이재학,2017,06-04,@LG,W 6:5,4,4,20,17,6,0,0,1,1,0,1,5,81,0.341,0.421,0.951,6.91,-0.69,-0.127,,3일,1,1.78,4.1
이재학,2017,06-10,kt,W 4:1,1,1,29,24,4,1,0,0,4,0,0,5,108,0.313,0.286,0.494,5.80,2.89,0.302,W,6일,1,1.65,7.0
이재학,2017,06-16,@두산,W 11:5,2,2,26,21,3,0,0,1,3,0,2,5,99,0.292,0.308,0.593,5.40,1.33,0.182,W,6일,1,1.56,6.0
이재학,2017,06-22,@SK,L 6:13,9,9,17,14,7,0,0,2,2,0,1,2,63,0.308,0.588,1.517,6.95,-7.63,-0.562,L,6일,1,1.68,2.1
이재학,2017,06-28,넥센,W 9:3,3,3,10,9,4,1,0,0,1,0,0,0,42,0.314,0.500,1.056,7.29,-1.36,-0.145,,6일,1,1.73,1.2
이재학,2017,07-01,@롯데,L 5:9,0,0,6,5,1,1,0,0,1,0,0,2,26,0.312,0.333,0.733,7.09,0.94,0.008,,3일,0,1.72,1.1
이재학,2017,07-07,두산,L 1:6,0,0,12,11,2,1,0,0,1,0,0,5,52,0.305,0.250,0.523,6.66,1.67,0.012,,6일,0,1.68,3.0
이재학,2017,07-11,@KIA,L 4:7,0,0,12,12,4,1,0,0,0,0,0,2,33,0.306,0.333,0.750,6.32,1.41,0.027,,4일,0,1.67,2.2
이재학,2017,07-18,@한화,W 7:4,3,3,20,18,5,0,0,0,2,0,0,3,83,0.304,0.350,0.628,6.24,-0.23,-0.038,W,7일,1,1.65,5.0
이재학,2017,07-23,SK,W 8:1,1,1,23,20,5,0,0,1,2,0,1,6,97,0.300,0.348,0.748,5.86,1.36,0.073,W,5일,1,1.62,5.1
이재학,2017,07-29,@kt,L 3:4,3,1,28,24,6,1,0,0,1,0,0,2,94,0.296,0.269,0.561,5.43,1.54,0.123,,6일,1,1.56,6.2
이재학,2017,08-04,삼성,L 3:4,4,2,22,20,6,3,0,1,2,0,0,6,101,0.296,0.364,0.964,5.33,-1.57,-0.238,L,6일,1,1.57,4.2
이재학,2017,08-10,롯데,W 3:2,2,2,28,27,5,0,0,2,1,0,0,9,111,0.287,0.214,0.622,5.03,2.44,0.201,,6일,1,1.49,8.0
이재학,2017,08-16,@KIA,L 3:4,2,2,25,20,5,1,0,1,3,0,2,5,97,0.285,0.400,0.850,4.95,0.78,0.012,,6일,1,1.50,5.0
이재학,2017,08-22,@LG,W 4:3,3,2,25,23,5,1,0,0,1,0,0,7,100,0.281,0.250,0.511,4.80,0.31,-0.178,,6일,1,1.46,6.1
이재학,2017,08-27,KIA,W 5:4,4,4,27,24,9,1,0,3,2,0,0,4,91,0.286,0.423,1.215,4.88,-0.67,-0.171,,5일,1,1.48,6.0
이재학,2017,09-01,@롯데,L 1:6,3,3,21,19,6,0,0,1,1,0,1,6,87,0.288,0.381,0.855,4.92,-0.76,-0.144,L,5일,1,1.49,4.2
이재학,2017,09-07,SK,W 4:3,3,3,20,16,3,0,0,2,3,0,0,7,78,0.284,0.316,0.878,4.95,-0.69,-0.081,,6일,1,1.48,4.2
이재학,2017,09-12,두산,L 13:14,6,5,20,19,6,2,0,2,1,0,0,4,78,0.285,0.350,1.087,5.18,-3.41,0.006,,5일,1,1.49,4.0
이재학,2017,09-17,넥센,L 6:14,8,8,23,21,10,1,0,3,1,0,1,7,90,0.294,0.522,1.474,5.62,-5.78,-0.350,L,5일,1,1.53,4.0
이재학,2017,09-30,넥센,W 11:4,2,2,6,5,2,0,0,1,1,0,0,2,20,0.295,0.500,1.500,5.70,-2.10,0.000,,7+일,0,1.54,1.1
이재학,2017,10-03,@한화,D 8:8,1,0,3,3,1,1,0,0,0,0,0,0,14,0.295,0.333,1.000,5.67,-0.31,-0.088,,3일,0,1.54,0.2
이재학,2017,10-11,롯데,W 13:6,0,0,1,1,1,0,0,0,0,0,0,0,5,1.000,1.000,2.000,0.00,-0.28,-0.004,,7+일,0,99.99,0.0
이재학,2017,10-18,@두산,L 7:17,4,4,14,14,5,0,0,2,0,0,0,1,60,0.357,0.357,1.143,12.00,-2.34,-0.274,,7일,1,1.67,3.0
