Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이현호,2018,05-24,@한화,W 7:1,0,0,2,1,0,0,0,0,1,0,0,0,8,0.000,0.500,0.500,0.00,0.34,0.001,,7+일,0,3.00,0.1
이현호,2018,06-28,@NC,W 9:0,0,0,8,8,2,0,0,0,0,0,0,3,25,0.222,0.250,0.500,0.00,1.11,0.001,,7+일,0,1.29,2.0
이현호,2018,06-30,KIA,W 12:2,2,2,11,11,2,0,0,1,0,0,0,4,38,0.200,0.182,0.636,3.38,-0.34,0.000,SV,2일,0,0.94,3.0
이현호,2018,07-06,삼성,W 13:6,0,0,4,4,1,0,0,0,0,0,0,0,14,0.208,0.250,0.500,2.84,0.56,0.001,,6일,0,0.95,1.0
이현호,2018,07-08,삼성,L 1:11,1,1,9,8,2,1,0,0,0,0,1,0,26,0.219,0.333,0.708,3.24,0.11,0.000,,2일,0,0.96,2.0
이현호,2018,07-10,@KT,L 1:9,0,0,3,3,0,0,0,0,0,0,0,2,10,0.200,0.000,0.000,2.89,0.56,0.000,,2일,0,0.86,1.0
이현호,2018,07-12,@KT,L 4:11,2,2,5,4,2,1,0,0,1,0,0,1,19,0.231,0.600,1.350,4.50,-1.70,-0.002,,2일,0,1.10,0.2
이현호,2018,07-17,롯데,L 6:12,2,2,6,6,3,1,0,0,0,0,0,0,24,0.267,0.500,1.167,5.73,-1.45,-0.005,,5일,0,1.27,1.0
이현호,2018,07-21,@LG,W 17:10,1,1,16,14,3,1,0,0,2,0,0,1,58,0.254,0.313,0.598,4.91,0.88,0.001,,4일,0,1.30,3.2
이현호,2018,07-25,@SK,L 5:11,4,4,14,12,6,1,0,1,2,0,0,3,61,0.296,0.571,1.405,6.48,-3.29,-0.096,,4일,0,1.62,2.0
이현호,2018,08-08,한화,L 2:8,2,2,4,3,1,0,0,1,1,0,0,1,20,0.297,0.500,1.833,7.27,-1.70,-0.013,,7+일,0,1.67,0.2
이현호,2018,09-11,@롯데,W 17:4,0,0,3,3,0,0,0,0,0,0,0,2,16,0.286,0.000,0.000,6.87,0.56,0.000,,7+일,0,1.58,1.0
이현호,2018,09-27,@한화,L 6:9,1,1,6,6,3,0,0,0,0,0,0,0,20,0.301,0.500,1.000,6.98,-0.45,-0.012,,7+일,0,1.66,1.0
이현호,2018,09-29,LG,W 9:8,2,2,18,14,6,1,0,0,4,0,0,1,79,0.320,0.556,1.056,6.95,-1.15,-0.133,,2일,1,1.91,2.2
이현호,2018,10-11,SK,W 8:3,2,2,25,23,6,0,0,1,2,0,0,5,95,0.308,0.320,0.711,6.11,1.33,0.111,,7+일,1,1.79,6.0
