Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
이형범,2018,05-06,@KIA,L 3:11,4,4,14,12,6,0,0,0,2,0,0,0,57,0.500,0.571,1.071,12.00,-2.34,-0.014,,7+일,0,2.67,3.0
이형범,2018,05-10,SK,L 2:6,1,1,10,10,4,1,0,0,0,0,0,0,29,0.455,0.400,0.900,9.00,0.11,-0.027,,4일,0,2.40,2.0
이형범,2018,05-13,@한화,L 0:4,0,0,1,1,0,0,0,0,0,0,0,0,3,0.435,0.000,0.000,8.44,0.12,0.001,,3일,0,2.25,0.1
이형범,2018,05-15,롯데,L 3:5,0,0,1,1,0,0,0,0,0,0,0,0,4,0.417,0.000,0.000,7.94,0.39,0.015,,2일,0,2.12,0.1
이형범,2018,05-17,롯데,L 0:7,1,1,5,4,2,1,0,0,1,1,0,1,12,0.429,0.600,1.350,8.10,-1.43,-0.018,,2일,0,2.25,1.0
이형범,2018,05-30,@한화,L 4:10,2,1,25,23,7,0,0,1,2,0,0,3,87,0.373,0.360,0.795,5.40,0.78,-0.002,,7+일,0,2.06,5.0
이형범,2018,06-03,삼성,L 7:8,0,0,15,14,2,1,0,0,1,1,0,3,67,0.323,0.200,0.414,3.94,3.04,0.209,,4일,0,1.69,4.1
이형범,2018,06-08,@두산,L 1:6,0,0,2,1,0,0,0,0,0,0,0,0,6,0.318,0.000,0.000,3.78,0.24,-0.002,,5일,0,1.62,0.2
이형범,2018,06-17,KT,L 4:5,1,1,7,6,1,0,0,0,1,0,0,1,21,0.306,0.286,0.452,3.86,1.19,0.050,,7+일,0,1.55,2.0
이형범,2018,06-21,@KIA,W 7:4,0,0,16,15,2,0,0,0,1,0,0,1,57,0.276,0.188,0.321,3.13,0.85,0.138,W,4일,0,1.39,4.1
이형범,2018,06-28,두산,L 0:9,5,5,24,21,6,2,0,1,3,0,0,2,82,0.278,0.375,0.899,4.13,-2.97,-0.176,,7일,0,1.45,5.1
이형범,2018,07-05,@LG,W 5:3,3,3,18,18,6,1,0,0,0,0,0,3,68,0.286,0.333,0.722,4.32,0.14,-0.045,,7일,1,1.41,5.0
이형범,2018,07-21,넥센,L 3:6,5,5,24,21,9,1,0,1,2,0,0,2,87,0.306,0.458,1.077,4.97,-2.34,-0.328,L,7+일,1,1.53,4.2
이형범,2018,07-27,SK,W 1:0,0,0,19,13,2,0,0,0,6,0,0,1,84,0.294,0.421,0.575,4.54,1.41,0.126,,6일,1,1.58,3.2
이형범,2018,08-10,SK,L 8:12,8,4,24,21,6,2,0,2,3,0,0,3,82,0.293,0.375,1.042,4.86,-4.57,-0.401,,7+일,1,1.62,4.2
이형범,2018,08-15,@KT,W 13:9,2,2,5,4,2,1,0,0,1,0,0,0,25,0.297,0.600,1.350,5.17,-1.83,-0.078,,5일,0,1.66,0.2
이형범,2018,09-06,@LG,L 3:6,1,1,2,2,2,1,0,0,0,0,0,0,8,0.305,1.000,2.500,5.32,-0.88,-0.037,,7+일,0,1.69,0.1
이형범,2018,09-16,@두산,L 1:5,0,0,2,2,0,0,0,0,0,0,0,1,8,0.302,0.000,0.000,5.25,0.30,0.002,,7+일,0,1.67,0.2
이형범,2018,09-20,@KIA,L 6:7,0,0,7,7,1,0,0,0,0,0,0,0,16,0.296,0.143,0.286,5.04,1.11,0.163,,4일,0,1.62,2.0
이형범,2018,09-22,두산,L 10:13,0,0,1,1,0,0,0,0,0,0,0,0,5,0.294,0.000,0.000,5.01,0.25,0.004,,2일,0,1.61,0.1
이형범,2018,09-26,@롯데,L 7:10,0,0,1,1,0,0,0,0,0,0,0,0,4,0.293,0.000,0.000,4.97,0.47,0.000,,4일,0,1.60,0.1
이형범,2018,09-27,@SK,L 4:11,3,3,12,10,4,0,0,0,1,0,1,1,50,0.298,0.500,0.900,5.26,-0.99,0.001,,1일,0,1.62,2.1
이형범,2018,09-30,@넥센,L 2:8,0,0,3,3,0,0,0,0,0,0,0,0,9,0.294,0.000,0.000,5.17,0.56,0.000,,3일,0,1.59,1.0
