Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
임기영,2020,05-09,@삼성,L 2:14,4,4,20,17,5,1,0,0,1,0,2,6,90,0.294,0.400,0.753,8.31,-1.21,-0.261,L,7+일,1,1.38,4.1
임기영,2020,05-15,두산,L 4:13,5,1,19,17,5,1,0,0,1,0,1,4,87,0.294,0.368,0.721,5.63,-0.60,-0.099,L,6일,1,1.50,3.2
임기영,2020,05-21,롯데,W 6:1,1,1,26,26,5,1,0,0,0,0,0,4,90,0.250,0.192,0.423,3.38,3.44,0.176,W,6일,1,1.06,8.0
임기영,2020,05-27,@KT,L 0:5,3,3,20,19,6,2,1,0,1,0,0,5,93,0.266,0.350,0.876,3.86,-0.23,-0.101,L,6일,1,1.14,5.0
임기영,2020,06-02,롯데,W 7:2,2,2,25,24,7,1,0,2,1,0,0,5,92,0.272,0.320,0.903,3.67,1.33,0.037,W,6일,1,1.19,6.0
임기영,2020,06-07,@두산,L 2:3,1,1,24,23,7,2,0,0,0,0,1,4,96,0.278,0.333,0.725,3.34,2.61,0.279,,5일,1,1.21,5.1
임기영,2020,06-13,@SK,W 2:1,0,0,20,19,3,0,0,0,1,0,0,6,92,0.262,0.200,0.358,2.82,3.33,0.386,W,6일,1,1.12,6.0
임기영,2020,06-20,삼성,W 6:3,2,2,22,20,5,2,0,0,2,0,0,5,103,0.261,0.318,0.668,2.91,0.78,-0.003,W,7일,1,1.15,5.0
임기영,2020,07-01,한화,W 4:3,2,2,23,18,7,0,0,0,2,0,0,1,94,0.273,0.429,0.818,2.96,0.36,-0.030,,7+일,1,1.21,5.1
임기영,2020,07-07,KT,L 2:8,6,4,21,15,5,0,0,0,5,0,0,3,88,0.278,0.476,0.810,3.42,-3.13,-0.368,L,6일,1,1.31,4.0
임기영,2020,07-13,키움,W 13:3,3,3,19,19,3,0,0,2,0,0,0,8,94,0.267,0.158,0.632,3.57,0.03,0.006,W,6일,1,1.24,5.1
임기영,2020,07-26,삼성,W 8:5,4,4,24,22,7,4,0,1,1,0,0,3,88,0.272,0.333,0.970,3.84,-0.97,-0.060,W,7+일,1,1.26,5.1
임기영,2020,08-01,@롯데,L 3:7,5,4,25,20,7,3,0,1,4,0,0,1,91,0.278,0.440,1.090,4.08,-2.23,-0.310,L,6일,1,1.33,5.0
임기영,2020,08-09,NC,L 1:8,6,6,16,14,8,1,0,1,2,0,0,2,90,0.293,0.625,1.482,4.71,-3.31,-0.320,L,7+일,1,1.43,2.1
임기영,2020,08-21,NC,L 4:10,1,1,22,19,2,0,0,0,2,0,0,8,84,0.281,0.191,0.296,4.46,2.93,0.285,,7+일,1,1.37,6.0
임기영,2020,08-27,@SK,L 4:10,4,4,27,25,9,1,0,1,1,0,0,4,96,0.287,0.385,0.905,4.59,-1.01,-0.157,L,6일,1,1.40,5.2
임기영,2020,09-04,@롯데,L 7:9,5,5,25,24,9,0,0,0,0,0,1,3,94,0.293,0.400,0.775,4.81,-1.01,-0.152,L,7+일,1,1.41,5.2
임기영,2020,09-17,@삼성,W 12:2,2,2,24,23,6,0,0,0,0,0,0,8,96,0.291,0.250,0.511,4.69,1.33,-0.028,W,7+일,1,1.38,6.0
임기영,2020,09-23,키움,L 1:13,8,8,16,16,10,1,2,1,0,0,0,1,49,0.305,0.625,1.750,5.34,-6.89,-0.429,L,6일,1,1.46,2.0
임기영,2020,09-29,@키움,W 10:6,3,3,23,21,7,1,0,0,2,0,0,3,80,0.307,0.391,0.772,5.38,-1.20,-0.086,,6일,1,1.49,4.1
임기영,2020,10-04,@두산,L 1:7,4,4,19,16,4,3,0,0,2,0,1,3,69,0.305,0.368,0.806,5.52,-1.78,-0.232,L,5일,1,1.49,4.0
임기영,2020,10-09,SK,W 5:3,3,3,26,22,7,0,0,1,1,0,2,4,81,0.305,0.385,0.839,5.48,0.08,0.017,W,5일,1,1.48,5.2
임기영,2020,10-15,@NC,W 12:11,3,3,21,18,5,0,0,1,3,0,0,4,91,0.304,0.381,0.825,5.48,-0.23,-0.176,,6일,1,1.49,5.0
임기영,2020,10-25,삼성,W 10:1,1,1,25,23,5,0,0,1,1,0,1,5,104,0.300,0.280,0.628,5.27,2.31,0.246,W,7+일,1,1.46,6.1
임기영,2020,10-31,NC,W 4:3,2,2,27,27,8,2,0,0,0,0,0,6,92,0.300,0.296,0.667,5.15,1.59,0.126,,6일,1,1.45,6.1
