Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
임찬규,2019,03-26,@SK,W 6:3,3,3,21,21,8,3,0,1,0,0,0,7,84,0.381,0.381,1.048,5.40,-0.23,-0.042,W,7+일,1,1.60,5.0
임찬규,2019,03-31,롯데,W 6:5,4,4,23,19,5,2,0,1,3,0,0,4,89,0.325,0.348,0.874,6.30,-1.23,-0.196,,5일,1,1.60,5.0
임찬규,2019,04-06,@KT,L 1:2,2,2,24,20,2,0,0,0,3,0,1,4,92,0.250,0.250,0.350,5.06,1.33,0.011,L,6일,1,1.31,6.0
임찬규,2019,04-13,두산,W 5:2,2,2,25,19,5,0,0,1,5,0,1,1,103,0.253,0.440,0.861,4.79,0.31,-0.007,,7일,1,1.50,4.2
임찬규,2019,06-02,NC,L 1:4,0,0,6,5,0,0,0,0,1,0,0,1,23,0.238,0.167,0.167,4.43,0.99,0.032,,7+일,0,1.43,1.2
임찬규,2019,06-04,KT,W 8:4,0,0,8,6,0,0,0,0,2,0,0,1,36,0.222,0.250,0.250,4.07,1.11,0.061,,2일,0,1.40,2.0
임찬규,2019,06-07,@한화,L 2:3,0,0,3,3,0,0,0,0,0,0,0,2,16,0.215,0.000,0.000,3.91,0.56,0.031,,3일,0,1.34,1.0
임찬규,2019,06-09,@한화,W 3:1,0,0,3,3,1,1,0,0,0,0,0,1,14,0.219,0.333,1.000,3.81,0.21,0.024,,2일,0,1.35,0.2
임찬규,2019,06-11,롯데,D 1:1,0,0,7,6,0,0,0,0,1,0,0,1,23,0.206,0.143,0.143,3.54,1.11,0.176,,2일,0,1.29,2.0
임찬규,2019,06-12,롯데,W 4:3,2,2,9,7,1,0,0,0,2,0,0,2,36,0.202,0.333,0.476,3.90,-0.89,-0.122,,1일,0,1.30,2.0
임찬규,2019,06-16,@두산,L 3:5,4,4,8,3,1,0,0,0,4,0,1,0,35,0.205,0.750,1.083,4.94,-2.31,-0.231,L,4일,1,1.42,1.0
임찬규,2019,06-20,@삼성,W 11:3,0,0,3,3,0,0,0,0,0,0,0,1,12,0.200,0.000,0.000,4.78,0.56,0.001,,4일,0,1.38,1.0
임찬규,2019,06-21,KIA,W 9:8,0,0,4,2,0,0,0,0,1,0,0,0,19,0.197,0.250,0.250,4.64,-0.02,0.006,,1일,0,1.36,1.0
임찬규,2019,06-23,KIA,L 0:7,0,0,4,4,1,1,0,0,0,0,0,1,24,0.198,0.250,0.750,4.50,0.56,0.000,,2일,0,1.35,1.0
임찬규,2019,06-25,SK,L 3:8,1,1,7,7,1,0,0,1,0,0,0,1,27,0.195,0.143,0.714,4.50,0.11,-0.010,,2일,0,1.31,2.0
임찬규,2019,06-27,SK,W 6:4,0,0,13,10,1,0,0,0,2,0,0,3,47,0.188,0.231,0.331,4.12,2.00,0.198,,2일,0,1.27,3.1
임찬규,2019,06-30,@NC,L 1:9,1,1,6,5,2,1,0,0,1,0,0,1,22,0.196,0.500,1.100,4.20,-0.33,-0.004,,3일,0,1.30,1.1
임찬규,2019,07-06,@KIA,L 0:7,0,0,12,10,1,1,0,0,1,0,1,3,52,0.190,0.250,0.450,3.92,1.67,0.004,,6일,0,1.26,3.0
임찬규,2019,07-11,두산,L 4:8,2,2,5,4,2,1,0,0,0,0,1,0,16,0.197,0.600,1.350,4.26,-1.70,-0.057,,5일,0,1.29,0.2
임찬규,2019,07-16,@SK,L 4:10,4,4,21,19,7,4,0,0,1,0,0,2,91,0.216,0.381,0.960,4.62,-1.80,-0.268,,5일,1,1.34,4.1
임찬규,2019,07-28,@KT,W 10:1,0,0,7,4,0,0,0,0,3,0,0,2,24,0.211,0.429,0.429,4.50,0.66,0.061,,7+일,0,1.36,1.1
임찬규,2019,08-01,키움,W 11:5,0,0,8,6,0,0,0,0,2,0,0,4,40,0.204,0.250,0.250,4.33,0.97,0.013,,4일,0,1.35,2.0
임찬규,2019,08-03,삼성,W 13:10,5,4,19,18,8,0,1,1,0,0,1,1,83,0.225,0.474,1.196,4.72,-4.62,-0.493,,2일,0,1.41,3.1
임찬규,2019,08-09,@NC,W 5:2,1,1,18,17,3,0,0,1,1,0,0,2,71,0.222,0.222,0.575,4.48,1.38,0.086,,6일,1,1.36,5.0
임찬규,2019,08-16,@두산,L 4:7,5,5,24,20,8,1,1,1,4,0,0,3,98,0.237,0.500,1.200,4.87,-2.20,-0.245,L,7일,1,1.45,4.1
임찬규,2019,08-22,NC,L 2:5,4,4,23,21,7,0,1,1,2,0,0,7,97,0.244,0.391,0.963,5.04,-1.23,-0.261,L,6일,1,1.48,5.0
임찬규,2019,08-28,@롯데,L 3:4,3,3,25,22,7,1,0,1,3,0,0,6,79,0.250,0.400,0.900,5.00,0.33,-0.066,,6일,1,1.49,6.0
임찬규,2019,09-11,@한화,L 5:9,6,6,14,13,7,3,0,0,1,0,0,1,55,0.263,0.571,1.341,5.56,-4.89,-0.345,L,7+일,1,1.56,2.0
임찬규,2019,09-16,@KT,W 4:2,1,0,21,18,3,0,0,0,2,0,1,4,90,0.257,0.286,0.452,5.23,1.78,0.157,W,5일,1,1.52,5.0
임찬규,2019,09-26,@KT,W 4:3,1,1,21,20,3,1,0,1,1,0,0,6,78,0.251,0.191,0.541,4.97,2.33,0.276,W,7+일,1,1.47,6.0
임찬규,2019,10-10,키움,L 5:10,2,2,5,3,1,0,0,1,1,0,0,1,18,0.333,0.400,1.733,18.00,-1.45,-0.152,,7+일,1,2.00,1.0
