Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
ÀÓÃ¢¹Î,2020,05-05,@»ï¼º,W 4:0,0,0,3,3,0,0,0,0,0,0,0,1,10,0.000,0.000,0.000,0.00,0.56,0.034,,7+ÀÏ,0,0.00,1.0
ÀÓÃ¢¹Î,2020,05-06,@»ï¼º,W 4:3,0,0,1,1,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.00,0.12,0.032,,1ÀÏ,0,0.00,0.1
ÀÓÃ¢¹Î,2020,05-08,LG,W 13:5,1,1,2,2,1,1,0,0,0,0,0,1,6,0.167,0.500,1.500,5.40,-0.17,0.013,,2ÀÏ,0,0.60,0.1
ÀÓÃ¢¹Î,2020,05-10,LG,L 8:10,4,4,5,5,4,2,0,1,0,0,0,1,17,0.455,0.800,2.600,22.50,-3.17,-0.264,,2ÀÏ,0,2.50,0.1
ÀÓÃ¢¹Î,2020,05-13,KT,W 5:4,1,0,5,4,1,0,1,0,0,0,0,2,16,0.400,0.250,1.000,15.00,-0.45,-0.300,W,3ÀÏ,0,2.00,1.0
ÀÓÃ¢¹Î,2020,05-15,@SK,W 6:2,1,1,6,2,0,0,0,0,4,0,0,0,30,0.353,0.667,0.667,14.73,-1.26,-0.459,,2ÀÏ,0,2.73,0.2
ÀÓÃ¢¹Î,2020,06-13,Å°¿ò,L 5:18,0,0,3,3,0,0,0,0,0,0,0,2,11,0.300,0.000,0.000,11.57,0.56,0.002,,7+ÀÏ,0,2.14,1.0
ÀÓÃ¢¹Î,2020,06-14,Å°¿ò,W 9:5,0,0,5,5,0,0,0,0,0,0,0,2,23,0.240,0.000,0.000,8.53,1.13,0.139,W,1ÀÏ,0,1.58,1.2
ÀÓÃ¢¹Î,2020,06-16,@KIA,L 4:7,2,2,2,1,1,0,0,0,1,0,0,0,14,0.269,1.000,2.000,11.37,-1.02,-0.138,L,2ÀÏ,0,1.89,0.0
ÀÓÃ¢¹Î,2020,06-20,ÇÑÈ­,L 3:4,0,0,3,3,0,0,0,0,0,0,0,2,16,0.241,0.000,0.000,9.82,0.56,0.028,,4ÀÏ,0,1.64,1.0
