Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
장시환,2018,03-24,@SK,L 5:6,0,0,7,7,0,0,0,0,0,0,0,5,27,0.000,0.000,0.000,0.00,1.11,0.095,,7+일,0,0.00,2.0
장시환,2018,03-28,@두산,L 5:6,0,0,4,3,0,0,0,0,1,0,0,1,19,0.000,0.250,0.250,0.00,0.56,0.088,,4일,0,0.33,1.0
장시환,2018,03-31,NC,L 5:10,2,2,3,3,2,0,0,1,0,0,0,0,15,0.154,0.667,2.333,5.40,-1.02,-0.165,,3일,0,0.90,0.1
장시환,2018,04-03,@한화,L 11:17,4,4,7,4,2,0,0,1,2,0,0,0,29,0.235,0.571,1.821,12.46,-4.05,-0.081,,3일,0,1.62,1.0
장시환,2018,05-02,KIA,L 6:12,1,1,10,9,3,0,0,0,1,0,0,1,35,0.269,0.400,0.733,9.95,0.11,-0.012,,7+일,0,1.74,2.0
장시환,2018,05-04,@SK,L 4:5,0,0,5,5,2,0,0,0,0,0,0,0,21,0.290,0.400,0.800,8.59,0.56,0.023,,2일,0,1.77,1.0
장시환,2018,05-09,@LG,L 2:3,0,0,3,3,0,0,0,0,0,0,0,2,13,0.265,0.000,0.000,7.56,0.56,0.031,,5일,0,1.56,1.0
장시환,2018,05-11,KT,W 6:2,2,0,6,5,1,0,0,1,1,0,0,1,22,0.256,0.333,1.133,6.75,-1.45,0.003,,2일,0,1.61,1.0
장시환,2018,05-15,@NC,W 5:3,0,0,1,1,0,0,0,0,0,0,0,0,2,0.250,0.000,0.000,6.52,0.25,0.007,,4일,0,1.55,0.1
장시환,2018,05-18,두산,L 1:7,3,3,8,5,3,0,1,0,2,0,0,2,33,0.289,0.625,1.625,8.44,-2.45,-0.013,,3일,0,1.88,1.0
장시환,2018,05-20,두산,L 6:7,0,0,4,3,2,0,0,0,0,0,0,0,13,0.313,0.500,1.167,7.94,-1.35,-0.037,,2일,0,1.94,0.2
장시환,2018,05-23,@삼성,L 4:6,0,0,4,2,0,0,0,0,0,0,1,0,10,0.300,0.333,0.333,7.30,0.56,0.014,,3일,0,1.78,1.0
장시환,2018,05-24,@삼성,L 2:9,0,0,6,4,0,0,0,0,2,0,0,1,24,0.278,0.333,0.333,6.43,1.28,0.028,,1일,0,1.71,1.2
장시환,2018,05-30,LG,L 5:15,0,0,4,4,1,0,0,0,0,0,0,2,16,0.276,0.250,0.500,6.00,0.56,0.000,,6일,0,1.67,1.0
장시환,2018,06-03,한화,W 6:0,0,0,4,4,1,0,0,0,0,0,0,2,18,0.274,0.250,0.500,5.63,0.56,0.003,,4일,0,1.63,1.0
장시환,2018,06-06,@NC,W 10:5,0,0,3,3,0,0,0,0,0,0,0,2,14,0.262,0.000,0.000,5.29,0.56,0.003,,3일,0,1.53,1.0
장시환,2018,06-08,KIA,W 9:6,1,1,1,1,1,1,0,0,0,0,0,0,8,0.273,1.000,3.000,5.82,-1.53,-0.022,,2일,0,1.59,0.0
장시환,2018,06-09,KIA,L 5:7,0,0,12,11,2,1,0,0,1,0,0,4,52,0.260,0.250,0.523,4.95,1.67,0.111,,1일,0,1.50,3.0
장시환,2018,06-12,삼성,L 2:4,0,0,4,4,1,0,0,0,0,0,0,1,18,0.259,0.250,0.500,4.71,0.56,0.017,,3일,0,1.48,1.0
장시환,2018,06-13,삼성,W 10:9,0,0,4,4,1,0,0,0,0,0,0,2,16,0.259,0.250,0.500,4.50,0.56,0.137,W,1일,0,1.45,1.0
장시환,2018,06-14,삼성,L 9:11,1,1,5,4,2,1,1,0,1,0,0,0,26,0.270,0.600,1.850,4.76,-1.53,-0.309,,1일,0,1.54,0.2
장시환,2018,06-17,@SK,W 13:7,0,0,5,4,1,0,0,0,1,0,0,1,21,0.269,0.400,0.650,4.56,0.56,0.003,,3일,0,1.56,1.0
장시환,2018,06-21,@KT,D 5:5,0,0,6,6,0,0,0,0,0,0,0,3,21,0.253,0.000,0.000,4.21,1.11,0.163,,4일,0,1.44,2.0
장시환,2018,06-24,@LG,D 2:2,0,0,5,5,1,0,0,0,0,0,0,0,26,0.250,0.200,0.400,4.00,0.60,0.134,,3일,0,1.41,1.1
장시환,2018,06-27,넥센,W 9:8,2,0,7,4,1,1,0,0,3,0,0,2,34,0.250,0.571,1.071,3.90,-2.28,-0.341,,3일,0,1.52,0.2
장시환,2018,07-04,두산,L 4:7,0,0,3,3,0,0,0,0,0,0,0,1,11,0.243,0.000,0.000,3.77,0.56,0.015,,7일,0,1.47,1.0
장시환,2018,07-06,KT,W 11:9,3,3,12,12,4,0,0,2,0,0,0,4,50,0.252,0.333,1.167,4.31,-0.91,-0.029,,2일,0,1.47,2.2
장시환,2018,07-10,@삼성,L 3:6,0,0,5,4,1,0,0,0,0,0,1,1,14,0.252,0.400,0.650,4.18,0.56,0.006,,4일,0,1.45,1.0
장시환,2018,07-12,@삼성,L 4:8,1,1,6,4,2,0,0,0,2,0,0,0,20,0.260,0.667,1.167,4.36,-2.71,-0.052,,2일,0,1.55,0.2
장시환,2018,07-19,@두산,L 1:7,2,2,6,5,3,0,0,0,1,0,0,2,25,0.272,0.667,1.267,4.81,-2.43,-0.024,,7일,0,1.63,0.2
장시환,2018,10-13,@KIA,W 5:1,0,0,7,7,0,0,0,0,0,0,0,2,25,0.259,0.000,0.000,4.54,1.11,0.082,,7+일,0,1.54,2.0
장시환,2018,10-14,두산,L 1:5,1,1,7,5,2,0,0,0,1,0,1,2,22,0.264,0.571,0.971,4.66,-0.45,-0.015,,1일,0,1.58,1.0
