Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
Àå¿ø»ï,2017,04-04,@LG,L 0:11,9,4,21,21,11,2,0,0,0,0,0,2,66,0.524,0.524,1.143,12.00,-7.34,-0.410,L,7+ÀÏ,1,3.67,3.0
Àå¿ø»ï,2017,04-11,ÇÑÈ­,L 8:11,4,4,22,20,6,0,0,1,2,0,0,5,83,0.415,0.364,0.814,9.00,-1.23,-0.134,,7ÀÏ,1,2.38,5.0
Àå¿ø»ï,2017,04-16,@·Ôµ¥,W 3:0,0,0,21,20,6,0,0,0,1,0,0,5,75,0.377,0.333,0.633,5.14,3.33,0.334,W,5ÀÏ,1,1.86,6.0
Àå¿ø»ï,2017,04-22,NC,L 6:14,6,6,19,17,7,2,0,1,2,0,0,2,69,0.385,0.474,1.180,7.27,-2.75,-0.339,L,6ÀÏ,1,2.02,3.1
Àå¿ø»ï,2017,04-28,SK,L 5:7,5,5,13,11,5,1,0,1,2,0,0,2,47,0.393,0.539,1.357,8.84,-3.89,-0.381,,6ÀÏ,1,2.17,2.0
Àå¿ø»ï,2017,05-28,@³Ø¼¾,W 3:2,0,0,8,7,3,1,0,0,1,0,0,4,31,0.396,0.500,1.071,8.27,0.14,0.024,,7+ÀÏ,0,2.23,1.1
Àå¿ø»ï,2017,05-30,·Ôµ¥,L 0:1,0,0,4,4,0,0,0,0,0,0,0,1,14,0.380,0.000,0.000,7.77,0.81,0.068,,2ÀÏ,0,2.09,1.1
Àå¿ø»ï,2017,05-31,·Ôµ¥,W 11:4,2,2,6,5,2,0,0,1,1,0,0,1,23,0.381,0.500,1.500,8.22,-0.37,0.137,,1ÀÏ,0,2.13,1.0
Àå¿ø»ï,2017,06-03,KIA,W 6:5,0,0,13,11,1,0,0,0,1,0,1,3,57,0.353,0.231,0.322,7.09,2.24,0.362,W,3ÀÏ,0,1.91,3.2
Àå¿ø»ï,2017,06-06,@µÎ»ê,W 12:10,1,1,2,2,1,0,0,1,0,0,0,0,8,0.356,0.500,2.500,7.33,-0.74,-0.035,,3ÀÏ,0,1.93,0.1
Àå¿ø»ï,2017,06-07,@µÎ»ê,L 7:9,0,0,5,5,1,0,0,0,0,0,0,0,15,0.350,0.200,0.400,6.99,1.02,0.048,,1ÀÏ,0,1.87,1.1
Àå¿ø»ï,2017,06-08,@µÎ»ê,L 3:4,0,0,3,2,1,0,0,0,1,0,0,0,6,0.352,0.667,1.167,6.91,-0.74,-0.302,,1ÀÏ,0,1.92,0.1
Àå¿ø»ï,2017,06-11,@ÇÑÈ­,W 7:4,0,0,2,2,0,0,0,0,0,0,0,0,9,0.346,0.000,0.000,6.75,0.44,0.072,,3ÀÏ,0,1.88,0.2
Àå¿ø»ï,2017,06-13,kt,W 4:0,0,0,1,1,0,0,0,0,0,0,0,1,6,0.344,0.000,0.000,6.67,0.51,0.030,,2ÀÏ,0,1.85,0.1
Àå¿ø»ï,2017,06-14,kt,L 5:7,0,0,11,9,1,0,0,0,0,0,1,2,30,0.328,0.182,0.293,6.06,1.68,0.073,,1ÀÏ,0,1.71,3.0
Àå¿ø»ï,2017,06-18,SK,W 7:5,0,0,1,1,1,0,0,0,0,0,0,0,3,0.333,1.000,2.000,6.06,-0.13,-0.011,,4ÀÏ,0,1.74,0.0
Àå¿ø»ï,2017,06-20,@LG,L 3:5,1,1,4,3,1,0,0,0,1,0,0,1,16,0.333,0.500,0.833,6.15,1.23,0.065,,2ÀÏ,0,1.75,1.0
Àå¿ø»ï,2017,06-21,@LG,W 10:3,1,1,8,8,3,0,0,0,0,0,0,4,40,0.336,0.375,0.750,6.11,-0.14,0.030,,1ÀÏ,0,1.75,1.2
Àå¿ø»ï,2017,06-23,ÇÑÈ­,W 5:3,0,0,1,1,1,0,0,0,0,0,0,0,5,0.340,1.000,2.000,6.11,-0.22,-0.031,,2ÀÏ,0,1.78,0.0
Àå¿ø»ï,2017,06-25,ÇÑÈ­,D 7:7,1,1,12,9,2,0,0,0,0,0,1,2,38,0.333,0.273,0.495,5.87,0.67,0.032,,2ÀÏ,0,1.70,3.0
Àå¿ø»ï,2017,06-30,@SK,L 5:7,1,1,6,6,2,0,0,0,0,0,0,1,30,0.333,0.333,0.667,5.90,-0.13,-0.071,L,5ÀÏ,0,1.69,1.1
Àå¿ø»ï,2017,07-02,@SK,L 5:6,0,0,4,4,0,0,0,0,0,0,0,2,14,0.325,0.000,0.000,5.71,1.31,0.046,,2ÀÏ,0,1.63,1.1
Àå¿ø»ï,2017,07-04,·Ôµ¥,W 4:2,1,0,2,2,0,0,0,0,0,0,0,1,6,0.322,0.000,0.000,5.66,0.05,0.002,,2ÀÏ,0,1.62,0.1
Àå¿ø»ï,2017,07-05,·Ôµ¥,W 6:5,0,0,3,3,1,0,0,0,0,0,0,0,10,0.322,0.333,0.667,5.57,0.30,0.029,,1ÀÏ,0,1.62,0.2
Àå¿ø»ï,2017,07-07,³Ø¼¾,L 2:9,2,2,5,5,3,1,0,0,0,0,0,0,9,0.330,0.600,1.400,5.86,-0.78,-0.033,,2ÀÏ,0,1.65,1.0
Àå¿ø»ï,2017,07-11,@kt,W 4:2,0,0,3,3,1,0,0,0,0,0,0,0,19,0.330,0.333,0.667,5.77,0.97,0.127,W,4ÀÏ,0,1.65,0.2
Àå¿ø»ï,2017,07-13,@kt,L 8:9,0,0,4,2,0,0,0,0,2,0,0,0,17,0.326,0.500,0.500,5.68,0.09,0.011,,2ÀÏ,0,1.67,0.2
Àå¿ø»ï,2017,07-19,@·Ôµ¥,W 3:0,0,0,1,1,1,0,0,0,0,0,0,0,2,0.330,1.000,2.000,5.68,-0.13,-0.023,,6ÀÏ,0,1.69,0.0
Àå¿ø»ï,2017,07-20,@·Ôµ¥,D 4:4,1,1,5,2,1,0,0,0,1,0,2,0,20,0.332,0.800,1.300,5.84,-2.10,-0.376,,1ÀÏ,0,1.72,0.1
