Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
장원준,2017,04-04,@kt,W 2:0,0,0,22,20,2,0,0,0,2,0,0,6,100,0.100,0.182,0.282,0.00,3.33,0.358,W,7+일,1,0.67,6.0
장원준,2017,04-11,KIA,W 16:4,4,4,24,23,8,2,0,0,1,0,0,3,107,0.233,0.375,0.810,3.18,-0.97,-0.073,W,7일,1,1.15,5.1
장원준,2017,04-16,@NC,L 0:4,4,4,30,28,11,3,0,0,1,0,1,4,115,0.296,0.433,0.933,4.00,-0.46,-0.139,L,5일,1,1.39,6.2
장원준,2017,04-22,@SK,L 4:8,6,5,25,23,7,0,0,2,1,0,0,5,100,0.298,0.333,0.899,4.94,-2.79,-0.463,L,6일,1,1.39,5.2
장원준,2017,04-29,롯데,W 5:3,1,1,27,20,5,0,0,0,6,1,0,5,107,0.289,0.423,0.673,4.40,1.78,0.139,,7일,1,1.53,5.0
장원준,2017,05-05,LG,L 1:3,2,2,26,22,5,0,1,1,3,0,1,6,112,0.279,0.346,0.801,4.15,1.33,0.034,L,6일,1,1.50,6.0
장원준,2017,05-11,SK,W 7:0,0,0,30,30,4,0,0,0,0,0,0,5,95,0.253,0.133,0.267,3.30,5.00,0.162,W SHO,6일,1,1.28,9.0
장원준,2017,05-17,NC,L 1:2,1,1,22,18,3,0,0,0,3,0,0,4,101,0.245,0.286,0.452,3.14,1.78,0.136,,6일,1,1.27,5.0
장원준,2017,05-31,@한화,L 1:3,3,2,27,22,5,1,0,1,3,0,1,7,102,0.243,0.346,0.755,3.13,0.33,-0.094,L,7+일,1,1.28,6.0
장원준,2017,06-06,삼성,L 10:12,4,2,30,27,8,4,0,0,2,0,1,5,113,0.249,0.367,0.811,3.12,-0.67,-0.051,,6일,1,1.32,6.0
장원준,2017,06-11,@롯데,L 4:7,6,3,31,29,10,1,1,1,1,0,0,5,113,0.260,0.355,0.907,3.24,-2.53,-0.292,L,5일,1,1.37,6.0
장원준,2017,06-17,NC,W 14:4,2,2,21,21,7,2,0,0,0,0,0,1,92,0.265,0.333,0.762,3.27,0.78,0.015,W,6일,1,1.37,5.0
장원준,2017,06-23,롯데,W 9:1,1,1,28,27,7,0,0,0,1,0,0,3,111,0.265,0.286,0.545,3.09,2.89,0.092,W,6일,1,1.35,7.0
장원준,2017,06-29,SK,W 6:3,2,2,32,27,6,1,0,0,3,0,2,6,108,0.261,0.344,0.603,3.05,1.89,0.145,W,6일,1,1.34,7.0
장원준,2017,07-05,kt,W 3:1,0,0,28,23,2,1,0,0,3,0,1,5,117,0.250,0.222,0.353,2.79,4.44,0.498,W,6일,1,1.28,8.0
