Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
ÀåÁöÈÆ,2019,04-24,SK,L 8:9,1,1,5,4,2,1,0,0,1,0,0,2,23,0.500,0.600,1.350,13.50,-0.91,-0.050,,7+ÀÏ,0,4.50,0.2
ÀåÁöÈÆ,2019,04-27,LG,L 0:8,1,1,6,5,2,0,0,0,1,0,0,1,20,0.444,0.500,0.900,10.80,-0.45,0.000,,3ÀÏ,0,3.60,1.0
ÀåÁöÈÆ,2019,04-30,@KIA,L 0:8,0,0,3,3,0,0,0,0,0,0,0,2,11,0.333,0.000,0.000,6.75,0.56,0.000,,3ÀÏ,0,2.25,1.0
ÀåÁöÈÆ,2019,05-02,@KIA,L 1:8,0,0,5,3,0,0,0,0,1,0,1,1,21,0.267,0.400,0.400,4.91,0.56,0.000,,2ÀÏ,0,1.91,1.0
ÀåÁöÈÆ,2019,05-03,@Å°¿ò,L 3:8,2,2,5,5,4,0,0,0,0,0,0,0,16,0.400,0.800,1.600,9.00,-3.53,-0.130,,1ÀÏ,0,2.75,0.1
ÀåÁöÈÆ,2019,05-05,@Å°¿ò,L 2:12,3,3,9,8,5,1,1,0,1,0,0,0,33,0.464,0.667,1.667,12.60,-2.45,-0.001,,2ÀÏ,0,3.40,1.0
ÀåÁöÈÆ,2019,09-01,@µÎ»ê,L 1:4,0,0,3,3,0,0,0,0,0,0,0,1,11,0.419,0.000,0.000,10.50,0.56,0.012,,7+ÀÏ,0,2.83,1.0
ÀåÁöÈÆ,2019,09-04,@·Ôµ¥,W 8:0,0,0,4,2,1,0,0,0,2,0,0,1,19,0.424,0.750,1.250,9.95,-1.10,-0.010,,3ÀÏ,0,3.16,0.1
ÀåÁöÈÆ,2019,09-07,NC,L 2:8,0,0,5,4,0,0,0,0,1,0,0,1,15,0.378,0.200,0.200,8.22,0.67,0.003,,3ÀÏ,0,2.74,1.1
ÀåÁöÈÆ,2019,09-14,@NC,L 1:7,0,0,5,4,1,1,0,0,1,0,0,0,26,0.366,0.400,0.900,7.27,0.56,0.006,,7ÀÏ,0,2.65,1.0
ÀåÁöÈÆ,2019,09-16,ÇÑÈ­,L 1:11,2,2,10,8,2,0,0,0,2,0,0,3,43,0.347,0.400,0.650,7.59,-0.89,0.000,,2ÀÏ,0,2.53,2.0
ÀåÁöÈÆ,2019,09-26,µÎ»ê,L 0:11,2,1,14,13,4,1,0,0,1,0,0,0,55,0.339,0.357,0.742,6.75,-1.92,-0.019,,7+ÀÏ,0,2.40,2.2
ÀåÁöÈÆ,2019,09-29,@KT,L 0:7,0,0,3,3,1,0,0,0,0,0,0,0,6,0.338,0.333,0.667,6.28,0.56,0.003,,3ÀÏ,0,2.30,1.0
