Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
장필준,2019,03-23,@NC,L 0:7,0,0,2,2,0,0,0,0,0,0,0,1,9,0.000,0.000,0.000,0.00,0.44,0.000,,7+일,0,0.00,0.2
장필준,2019,03-24,@NC,W 4:3,0,0,4,4,0,0,0,0,0,0,0,1,13,0.000,0.000,0.000,0.00,0.56,0.141,,1일,0,0.00,1.0
장필준,2019,03-28,@롯데,W 12:7,0,0,3,3,1,0,0,0,0,0,0,0,26,0.111,0.333,0.667,0.00,0.65,0.062,,4일,0,0.43,0.2
장필준,2019,03-29,두산,L 2:3,0,0,5,4,0,0,0,0,1,0,0,1,27,0.077,0.200,0.200,0.00,0.56,0.107,,1일,0,0.60,1.0
장필준,2019,04-03,KIA,W 6:3,0,0,5,5,1,0,0,0,0,0,0,3,27,0.111,0.200,0.400,0.00,0.09,0.094,,5일,0,0.64,1.1
장필준,2019,04-06,@SK,L 1:2,1,1,4,2,2,0,0,0,1,0,0,0,15,0.200,1.000,2.000,1.80,-1.10,-0.251,,3일,0,1.20,0.1
장필준,2019,04-10,@LG,W 6:5,0,0,4,4,0,0,0,0,0,0,0,0,11,0.167,0.000,0.000,1.42,0.81,0.183,W,4일,0,0.95,1.1
장필준,2019,04-13,KT,L 3:5,0,0,3,3,1,0,0,0,0,0,0,0,12,0.185,0.333,0.667,1.23,0.56,0.028,,3일,0,0.95,1.0
장필준,2019,04-14,KT,W 14:12,0,0,3,2,0,0,0,0,1,0,0,2,14,0.172,0.333,0.333,1.13,0.65,0.165,SV,1일,0,1.00,0.2
장필준,2019,04-18,키움,W 5:4,1,0,8,6,1,0,1,0,1,0,0,0,26,0.171,0.250,0.750,0.93,0.21,-0.114,,4일,0,1.03,1.2
