Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
전상현,2019,04-26,@키움,L 4:8,0,0,3,3,0,0,0,0,0,0,0,2,11,0.000,0.000,0.000,0.00,0.56,0.001,,7+일,0,0.00,1.0
전상현,2019,04-27,@키움,W 6:4,0,0,3,2,0,0,0,0,1,1,0,2,10,0.000,0.333,0.333,0.00,0.30,0.056,,1일,0,0.60,0.2
전상현,2019,05-02,삼성,W 8:1,0,0,4,4,1,0,0,0,0,0,0,0,10,0.111,0.250,0.500,0.00,0.56,0.009,,5일,0,0.75,1.0
전상현,2019,05-03,@NC,W 8:4,0,0,5,4,0,0,0,0,1,0,0,2,26,0.077,0.200,0.200,0.00,0.60,0.057,,1일,0,0.75,1.1
전상현,2019,05-05,@NC,L 3:10,0,0,3,3,0,0,0,0,0,0,0,1,7,0.063,0.000,0.000,0.00,0.56,0.004,,2일,0,0.60,1.0
전상현,2019,05-07,@두산,L 3:4,1,1,4,4,1,0,1,0,0,0,0,2,14,0.100,0.250,1.000,1.50,-0.37,-0.133,,2일,0,0.67,1.0
전상현,2019,05-08,@두산,L 0:1,0,0,3,3,1,1,0,0,0,0,0,0,8,0.130,0.333,1.000,1.35,0.21,0.008,,1일,0,0.75,0.2
전상현,2019,05-12,SK,L 3:4,1,1,13,13,2,0,0,0,0,0,0,0,50,0.139,0.154,0.308,1.74,1.96,0.182,L,4일,0,0.68,3.2
전상현,2019,05-15,KT,L 4:7,2,2,6,6,3,1,0,1,0,0,0,1,18,0.190,0.500,1.667,3.18,-1.45,-0.245,L,3일,0,0.88,1.0
전상현,2019,05-17,@한화,W 5:2,0,0,3,3,0,0,0,0,0,0,0,2,14,0.178,0.000,0.000,2.92,0.56,0.051,,2일,0,0.81,1.0
전상현,2019,05-19,@한화,W 5:0,0,0,3,3,0,0,0,0,0,0,0,2,12,0.167,0.000,0.000,2.70,0.56,0.008,,2일,0,0.75,1.0
전상현,2019,05-21,롯데,W 10:6,0,0,5,4,1,0,0,0,1,0,0,3,24,0.173,0.400,0.650,2.51,0.56,0.043,,2일,0,0.84,1.0
전상현,2019,05-22,롯데,W 6:5,1,1,7,6,1,1,0,0,0,0,0,4,30,0.172,0.143,0.476,2.76,0.11,-0.004,,1일,0,0.80,2.0
전상현,2019,05-28,@한화,L 0:2,0,0,4,4,1,1,0,0,0,0,0,0,8,0.177,0.250,0.750,2.60,0.56,0.014,,6일,0,0.81,1.0
전상현,2019,05-30,@한화,W 3:2,0,0,3,3,1,0,0,0,0,0,0,0,14,0.185,0.333,0.667,2.45,0.56,0.141,,2일,0,0.82,1.0
전상현,2019,05-31,키움,W 3:2,0,0,4,3,0,0,0,0,1,0,0,1,19,0.176,0.250,0.250,2.33,0.56,0.120,,1일,0,0.83,1.0
전상현,2019,06-05,두산,L 4:5,0,0,4,4,1,0,0,0,0,0,0,1,21,0.181,0.250,0.500,2.21,-0.05,-0.128,,5일,0,0.84,1.0
전상현,2019,06-07,@NC,L 1:2,1,1,4,4,2,0,0,1,0,0,0,1,10,0.197,0.500,1.750,2.53,-0.45,-0.332,L,2일,0,0.89,1.0
전상현,2019,06-09,@NC,L 3:4,0,0,1,1,0,0,0,0,0,0,0,0,4,0.195,0.000,0.000,2.49,0.12,0.007,,2일,0,0.88,0.1
전상현,2019,06-12,삼성,W 7:3,1,1,7,6,2,1,0,0,1,0,0,2,27,0.205,0.429,0.929,2.70,0.80,0.036,,3일,0,0.94,1.2
전상현,2019,06-18,SK,W 4:2,0,0,4,3,0,0,0,0,0,0,1,1,16,0.198,0.250,0.250,2.59,0.56,0.074,,6일,0,0.90,1.0
전상현,2019,06-20,SK,W 8:5,3,3,6,5,3,1,0,0,1,0,0,0,19,0.220,0.667,1.467,3.60,-2.79,-0.402,,2일,0,1.04,0.2
전상현,2019,06-21,@LG,L 8:9,1,1,6,4,2,0,0,0,2,1,0,1,18,0.232,0.667,1.167,3.86,-0.45,-0.071,L,1일,0,1.17,0.2
전상현,2019,06-28,@KT,L 1:9,0,0,4,4,1,0,0,0,0,0,0,2,19,0.232,0.250,0.500,3.71,0.56,0.000,,7일,0,1.16,1.0
전상현,2019,06-29,@KT,L 3:5,1,1,5,5,2,0,0,1,0,0,0,0,21,0.240,0.400,1.400,3.86,-0.17,-0.088,,1일,0,1.18,1.1
전상현,2019,07-02,NC,W 5:3,0,0,5,4,1,0,0,0,1,0,0,3,20,0.241,0.400,0.650,3.72,0.56,0.052,W,3일,0,1.21,1.0
전상현,2019,07-05,LG,W 6:1,0,0,5,2,0,0,0,0,2,0,1,0,20,0.236,0.600,0.600,3.64,-0.26,-0.025,,3일,0,1.25,0.2
전상현,2019,07-07,LG,L 9:10,2,2,3,2,1,0,0,0,1,0,0,1,13,0.241,0.667,1.167,4.20,-0.69,-0.103,,2일,0,1.30,0.1
전상현,2019,07-09,@삼성,L 2:3,0,0,1,1,0,0,0,0,0,0,0,0,2,0.239,0.000,0.000,4.15,0.25,0.043,,2일,0,1.29,0.1
전상현,2019,07-11,@삼성,L 2:4,0,0,1,1,0,0,0,0,0,0,0,1,3,0.237,0.000,0.000,4.11,0.12,0.003,,2일,0,1.27,0.1
전상현,2019,07-14,한화,W 10:7,2,2,6,4,1,0,0,0,2,0,0,1,27,0.237,0.500,0.750,4.55,-0.77,-0.070,,3일,0,1.33,1.0
