Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
전유수,2019,03-26,@NC,L 8:9,0,0,3,3,0,0,0,0,0,0,0,1,15,0.000,0.000,0.000,0.00,0.56,0.014,,7+일,0,0.00,1.0
전유수,2019,03-30,KIA,W 6:2,1,1,5,5,2,1,0,0,0,0,0,2,24,0.250,0.400,1.000,4.50,-0.45,0.005,,4일,0,1.00,1.0
전유수,2019,04-04,@두산,L 4:5,0,0,2,2,1,0,0,0,0,0,0,0,10,0.300,0.500,1.000,3.38,-0.03,-0.008,,5일,0,1.13,0.2
전유수,2019,04-09,@키움,L 3:7,0,0,3,3,0,0,0,0,0,0,0,1,12,0.231,0.000,0.000,2.45,0.56,0.003,,5일,0,0.82,1.0
전유수,2019,04-10,@키움,L 2:4,0,0,9,7,1,0,0,0,2,1,0,1,34,0.200,0.333,0.476,1.59,1.11,0.020,,1일,0,1.06,2.0
전유수,2019,04-14,@삼성,L 12:14,4,4,6,4,2,0,0,0,2,0,0,1,18,0.250,0.667,1.167,7.11,-2.14,-0.046,,4일,0,1.58,0.2
전유수,2019,04-17,한화,L 5:8,2,1,6,5,2,1,0,0,1,0,0,0,23,0.276,0.500,1.100,7.04,-0.96,-0.095,,3일,0,1.70,1.1
전유수,2019,04-19,@롯데,W 6:5,0,0,4,3,0,0,0,0,1,0,0,0,12,0.250,0.250,0.250,6.23,0.56,0.021,,2일,0,1.62,1.0
전유수,2019,04-21,@롯데,W 6:3,1,1,2,1,1,0,0,0,0,0,0,0,7,0.273,1.000,2.000,7.00,-0.17,-0.045,,2일,0,1.67,0.1
전유수,2019,04-24,NC,L 2:10,3,0,3,3,1,1,0,0,0,0,0,0,11,0.278,0.333,1.000,7.00,-2.50,-0.130,,3일,0,1.78,0.0
전유수,2019,04-30,@LG,L 9:10,0,0,3,1,0,0,0,0,2,0,0,0,13,0.270,0.667,0.667,6.75,-0.84,-0.292,,6일,0,1.93,0.1
전유수,2019,05-03,@한화,W 5:4,2,1,3,2,1,0,0,0,1,0,0,0,10,0.282,0.667,1.167,7.45,-0.42,-0.089,,3일,0,2.07,0.1
전유수,2019,05-04,@한화,L 9:10,0,0,1,1,0,0,0,0,0,0,0,0,5,0.275,0.000,0.000,7.20,0.47,0.083,,1일,0,2.00,0.1
전유수,2019,05-05,@한화,L 4:6,1,1,4,4,2,2,0,0,0,0,0,1,18,0.295,0.500,1.500,7.59,-1.53,-0.131,,1일,0,2.06,0.2
전유수,2019,05-10,키움,W 7:6,0,0,3,3,0,0,0,0,0,0,0,1,9,0.277,0.000,0.000,6.94,0.56,0.028,W,5일,0,1.89,1.0
전유수,2019,05-11,키움,L 2:6,2,1,5,5,3,0,0,0,0,0,0,1,17,0.308,0.600,1.200,7.30,-2.43,-0.414,,1일,0,2.03,0.2
전유수,2019,05-23,두산,W 3:2,0,0,4,3,1,0,0,0,0,0,1,2,18,0.309,0.500,0.833,6.92,-0.03,-0.047,,7+일,0,2.00,0.2
전유수,2019,05-25,@KIA,L 3:10,0,0,5,4,1,0,0,0,1,0,0,0,23,0.305,0.400,0.650,6.43,0.56,0.003,,2일,0,2.00,1.0
전유수,2019,05-29,@SK,W 8:6,0,0,4,2,0,0,0,0,1,0,1,1,13,0.295,0.500,0.500,6.14,0.23,0.013,,4일,0,1.98,0.2
