Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
정성종,2018,05-17,@NC,W 7:0,0,0,6,5,1,1,0,0,1,0,0,1,20,0.200,0.333,0.733,0.00,0.90,0.003,,7+일,0,1.50,1.1
정성종,2018,05-19,두산,W 15:2,0,0,4,3,0,0,0,0,0,0,1,0,20,0.125,0.250,0.250,0.00,0.56,0.000,,2일,0,0.86,1.0
정성종,2018,05-22,@삼성,L 4:10,0,0,3,2,0,0,0,0,0,0,0,0,15,0.100,0.000,0.000,0.00,-0.35,-0.004,,3일,0,0.67,0.2
정성종,2018,05-24,@삼성,L 2:9,1,1,6,6,3,0,0,0,0,0,0,1,23,0.250,0.500,1.000,2.25,-0.45,-0.001,,2일,0,1.25,1.0
정성종,2018,05-25,@넥센,L 2:13,3,3,8,7,3,1,0,1,1,0,0,3,31,0.304,0.500,1.500,6.75,-3.98,-0.006,,1일,0,1.69,1.1
정성종,2018,09-12,두산,L 9:13,1,1,4,3,1,0,0,0,1,0,0,1,20,0.308,0.500,0.833,7.11,0.16,-0.001,,7+일,0,1.74,1.0
정성종,2018,09-25,NC,W 8:7,0,0,15,14,3,0,0,0,1,0,0,3,54,0.275,0.267,0.481,4.50,1.96,0.015,,7+일,0,1.50,3.2
정성종,2018,10-02,@SK,W 8:6,1,1,7,3,0,0,0,0,3,0,0,0,24,0.256,0.500,0.500,4.63,0.12,-0.011,,7일,0,1.54,1.2
정성종,2018,10-10,KT,L 1:10,3,3,20,19,3,1,0,0,1,0,0,3,77,0.226,0.200,0.411,4.86,1.02,0.052,,7+일,0,1.32,5.0
정성종,2018,10-14,두산,L 1:5,4,4,12,12,5,0,0,1,0,0,0,0,36,0.257,0.417,1.083,6.16,-2.77,-0.513,L,4일,0,1.42,2.1
