Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
Á¤¼ö¹Î,2018,04-03,»ï¼º,W 4:3,0,0,8,8,1,0,0,0,0,0,0,0,29,0.125,0.125,0.250,0.00,1.84,0.248,W,7+ÀÏ,0,0.38,2.2
Á¤¼ö¹Î,2018,04-04,»ï¼º,W 4:1,0,0,5,2,0,0,0,0,2,0,0,2,21,0.100,0.500,0.500,0.00,0.56,0.120,,1ÀÏ,0,0.82,1.0
Á¤¼ö¹Î,2018,04-07,@µÎ»ê,L 3:6,2,2,4,2,2,0,0,0,1,0,0,0,16,0.250,1.000,2.000,4.50,-1.91,-0.095,,3ÀÏ,0,1.50,0.1
Á¤¼ö¹Î,2018,04-08,@µÎ»ê,L 10:11,2,2,4,3,2,0,0,0,1,0,0,0,16,0.333,0.750,1.417,8.31,-0.77,-0.121,,1ÀÏ,0,2.08,0.1
Á¤¼ö¹Î,2018,04-12,KT,L 2:7,3,3,24,21,6,1,0,2,2,0,1,5,83,0.306,0.375,0.994,6.75,-0.23,-0.086,L,4ÀÏ,1,1.82,5.0
Á¤¼ö¹Î,2018,04-18,@³Ø¼¾,W 1:0,0,0,27,26,2,0,0,0,1,0,0,8,104,0.210,0.111,0.188,3.63,4.44,0.584,W,6ÀÏ,1,1.15,8.0
Á¤¼ö¹Î,2018,04-24,@»ï¼º,L 2:7,7,7,19,12,5,1,0,1,6,0,0,2,83,0.243,0.611,1.361,6.41,-5.58,-0.453,L,6ÀÏ,1,1.58,2.1
Á¤¼ö¹Î,2018,04-29,µÎ»ê,L 1:7,5,5,21,20,7,1,0,2,1,0,0,2,78,0.266,0.381,1.081,7.13,-2.80,-0.245,L,5ÀÏ,1,1.63,4.1
Á¤¼ö¹Î,2018,05-04,@KIA,W 6:5,4,4,25,23,8,1,1,1,1,0,0,2,100,0.282,0.360,0.969,7.06,-0.97,-0.220,,5ÀÏ,1,1.64,5.1
Á¤¼ö¹Î,2018,05-10,SK,L 2:6,4,4,22,17,5,0,0,3,5,0,0,3,98,0.284,0.455,1.278,7.29,-1.78,-0.249,L,6ÀÏ,1,1.74,4.0
Á¤¼ö¹Î,2018,05-17,·Ôµ¥,L 0:7,2,2,17,15,5,0,0,0,2,0,0,5,70,0.289,0.412,0.745,7.05,0.37,0.001,,7ÀÏ,0,1.76,3.2
Á¤¼ö¹Î,2018,05-23,@LG,L 2:12,5,2,15,11,7,1,0,0,0,0,1,0,54,0.313,0.533,1.261,7.15,-3.89,-0.401,L,6ÀÏ,1,1.85,2.0
Á¤¼ö¹Î,2018,05-27,KIA,L 1:12,0,0,5,2,0,0,0,0,2,0,0,1,23,0.309,0.500,0.500,6.98,0.56,0.009,,4ÀÏ,0,1.85,1.0
Á¤¼ö¹Î,2018,09-05,»ï¼º,L 3:5,0,0,13,10,1,0,0,0,2,0,0,1,50,0.297,0.250,0.350,6.39,2.64,0.119,,7+ÀÏ,0,1.76,3.2
Á¤¼ö¹Î,2018,09-09,·Ôµ¥,W 11:3,0,0,6,6,2,0,0,0,0,0,0,0,22,0.298,0.333,0.667,6.20,1.37,0.020,,4ÀÏ,0,1.76,1.1
Á¤¼ö¹Î,2018,09-11,KIA,W 10:7,0,0,4,4,1,0,0,0,0,0,0,0,15,0.297,0.250,0.500,6.07,0.16,0.019,,2ÀÏ,0,1.74,1.0
Á¤¼ö¹Î,2018,09-14,³Ø¼¾,W 7:3,0,0,4,4,1,0,0,0,0,0,0,2,17,0.296,0.250,0.500,5.94,0.56,0.029,,3ÀÏ,0,1.72,1.0
Á¤¼ö¹Î,2018,09-15,@µÎ»ê,W 13:7,2,1,5,3,1,0,0,0,1,0,1,0,19,0.296,0.600,0.933,6.08,-2.42,-0.037,,1ÀÏ,0,1.75,0.1
Á¤¼ö¹Î,2018,09-18,ÇÑÈ­,W 10:3,0,0,7,6,1,0,0,0,1,0,0,2,31,0.292,0.286,0.452,5.84,1.11,0.015,,3ÀÏ,0,1.72,2.0
Á¤¼ö¹Î,2018,09-21,@KIA,L 4:6,1,1,1,1,1,0,0,0,0,0,0,0,5,0.296,1.000,2.000,6.02,-0.40,-0.077,,3ÀÏ,0,1.74,0.0
Á¤¼ö¹Î,2018,09-22,µÎ»ê,L 10:13,3,3,6,4,3,0,0,1,1,0,0,0,22,0.305,0.667,2.167,6.48,-2.43,-0.410,,1ÀÏ,0,1.80,0.2
Á¤¼ö¹Î,2018,09-26,@·Ôµ¥,L 7:10,3,3,7,7,4,2,1,0,0,0,0,0,36,0.314,0.571,1.714,6.93,-2.91,-0.025,,4ÀÏ,0,1.86,0.2
Á¤¼ö¹Î,2018,09-28,@SK,L 2:6,0,0,21,20,3,1,0,0,1,0,0,2,69,0.300,0.191,0.391,6.23,3.07,0.034,,2ÀÏ,0,1.74,5.2
Á¤¼ö¹Î,2018,10-06,³Ø¼¾,W 6:5,0,0,4,3,1,0,0,0,1,0,0,0,15,0.300,0.500,0.833,6.12,0.95,0.092,,7+ÀÏ,0,1.74,1.0
Á¤¼ö¹Î,2018,10-13,@ÇÑÈ­,L 8:10,0,0,4,2,0,0,0,0,2,0,0,1,20,0.297,0.500,0.500,6.05,-0.48,-0.021,,7ÀÏ,0,1.76,0.2
