Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
정영일,2020,05-21,@키움,L 8:9,0,0,3,3,0,0,0,0,0,0,0,1,12,0.000,0.000,0.000,0.00,0.56,0.141,,7+일,0,0.00,1.0
정영일,2020,05-23,KIA,L 3:8,2,2,6,5,2,1,0,0,0,0,0,2,23,0.250,0.400,1.000,9.00,-1.96,-0.145,,2일,0,1.00,1.0
정영일,2020,05-24,KIA,W 4:3,0,0,5,4,1,0,0,0,1,0,0,0,14,0.250,0.400,0.650,6.00,0.56,0.137,W,1일,0,1.33,1.0
정영일,2020,05-27,@두산,L 2:4,0,0,3,2,0,0,0,0,1,0,0,0,14,0.214,0.333,0.333,4.50,0.56,0.014,,3일,0,1.25,1.0
정영일,2020,05-29,한화,W 8:6,0,0,1,1,0,0,0,0,0,0,0,1,5,0.200,0.000,0.000,4.15,0.47,0.073,SV,2일,0,1.15,0.1
정영일,2020,05-30,한화,W 9:3,0,0,3,3,0,0,0,0,0,0,0,1,13,0.167,0.000,0.000,3.38,0.56,0.002,,1일,0,0.94,1.0
정영일,2020,06-02,@NC,W 8:2,0,0,3,3,0,0,0,0,0,0,0,2,11,0.143,0.000,0.000,2.84,0.56,0.006,,3일,0,0.79,1.0
정영일,2020,06-06,삼성,W 6:4,2,2,3,3,2,0,0,1,0,0,0,0,14,0.208,0.667,2.333,5.40,-1.74,-0.021,,4일,0,1.05,0.1
정영일,2020,06-09,@LG,W 5:3,0,0,4,2,1,0,0,0,1,0,0,0,15,0.231,0.667,1.167,4.70,0.56,0.075,,3일,0,1.17,1.0
정영일,2020,06-11,@LG,L 3:4,1,1,2,2,1,0,0,1,0,0,0,0,10,0.250,0.500,2.500,5.63,-0.53,-0.139,L,2일,0,1.25,0.1
정영일,2020,06-17,KT,L 4:6,1,1,5,4,2,0,0,1,1,0,0,0,25,0.281,0.600,1.850,6.23,-0.98,-0.196,,6일,0,1.50,0.2
정영일,2020,06-20,@키움,L 3:9,2,2,6,5,2,0,0,2,0,0,1,0,26,0.297,0.500,2.100,7.45,-1.45,-0.140,,3일,0,1.55,1.0
정영일,2020,07-14,@두산,W 12:7,1,1,6,5,2,0,0,0,0,0,1,1,18,0.310,0.500,0.900,7.59,-0.45,0.001,,7+일,0,1.59,1.0
정영일,2020,07-16,@두산,L 2:4,0,0,4,4,1,0,0,0,0,0,0,0,17,0.304,0.250,0.500,6.94,0.56,0.012,,2일,0,1.54,1.0
정영일,2020,07-17,키움,W 12:9,0,0,5,4,0,0,0,0,1,0,0,2,31,0.280,0.200,0.200,6.23,1.37,0.107,,1일,0,1.46,1.1
정영일,2020,07-21,롯데,W 8:7,0,0,3,3,0,0,0,0,0,0,0,0,9,0.264,0.000,0.000,5.79,0.56,0.028,,4일,0,1.36,1.0
정영일,2020,07-26,@한화,W 7:4,0,0,4,4,1,0,0,0,0,0,0,2,17,0.263,0.250,0.500,5.40,0.56,0.029,W,5일,0,1.33,1.0
정영일,2020,07-27,@한화,D 5:5,2,2,4,4,2,1,0,0,0,0,0,1,14,0.279,0.500,1.250,6.32,-0.79,-0.111,,1일,0,1.40,0.2
정영일,2020,07-28,LG,L 7:24,1,1,3,3,1,0,0,1,0,0,0,1,7,0.281,0.333,1.667,6.61,-2.35,0.000,,1일,0,1.41,0.2
정영일,2020,08-18,한화,W 9:3,0,0,4,3,0,0,0,0,0,0,1,1,18,0.269,0.250,0.250,6.23,1.57,0.037,,7+일,0,1.33,1.0
정영일,2020,08-21,삼성,W 8:6,0,0,2,2,1,0,0,0,0,0,0,0,8,0.275,0.500,1.000,6.11,0.25,0.035,SV,3일,0,1.36,0.1
정영일,2020,08-23,두산,L 1:8,1,1,5,4,1,0,0,0,1,0,0,0,20,0.274,0.400,0.650,6.27,-0.45,-0.006,,2일,0,1.39,1.0
정영일,2020,08-26,@롯데,L 1:3,0,0,3,3,0,0,0,0,0,0,0,1,12,0.263,0.000,0.000,5.95,0.56,0.088,,3일,0,1.32,1.0
정영일,2020,08-28,KIA,L 8:11,1,1,3,2,2,0,0,0,1,0,0,0,20,0.282,1.000,2.000,6.41,-2.40,-0.057,,2일,0,1.47,0.0
정영일,2020,09-01,LG,L 5:13,1,1,4,3,2,1,0,0,1,0,0,0,13,0.296,0.750,1.750,6.75,-1.82,-0.224,L,4일,0,1.60,0.1
정영일,2020,09-13,롯데,W 3:1,0,0,4,4,1,0,0,0,0,0,0,0,11,0.294,0.250,0.500,6.43,0.56,0.074,,7+일,0,1.57,1.0
정영일,2020,09-17,NC,L 0:3,0,0,4,2,1,1,0,0,2,1,0,0,9,0.299,0.750,1.750,6.23,-0.43,-0.194,,4일,0,1.66,0.2
정영일,2020,09-19,KT,L 0:5,3,0,6,5,3,0,0,0,0,0,0,1,18,0.315,0.500,1.100,6.04,-1.91,-0.059,,2일,0,1.75,0.2
정영일,2020,09-22,@LG,L 2:7,2,2,6,5,2,1,0,0,1,0,0,0,28,0.320,0.500,1.100,6.56,-1.45,-0.021,,3일,0,1.80,1.0
