Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
정우영,2020,05-05,두산,W 8:2,0,0,3,3,0,0,0,0,0,0,0,1,11,0.000,0.000,0.000,0.00,0.56,0.074,,7+일,0,0.00,1.0
정우영,2020,05-10,@NC,W 10:8,0,0,7,5,0,0,0,0,2,0,0,1,35,0.000,0.286,0.286,0.00,0.48,-0.009,W,5일,0,0.75,1.2
정우영,2020,05-14,SK,W 3:2,0,0,4,4,0,0,0,0,0,0,0,1,14,0.000,0.000,0.000,0.00,0.81,0.135,,4일,0,0.50,1.1
정우영,2020,05-16,키움,W 3:1,1,1,7,6,2,0,0,0,1,0,0,1,19,0.111,0.429,0.762,1.69,0.02,0.073,SV,2일,0,0.94,1.1
정우영,2020,05-21,@삼성,W 2:0,0,0,8,8,1,0,0,0,0,0,0,2,26,0.115,0.125,0.250,1.17,1.23,0.185,,5일,0,0.78,2.1
정우영,2020,05-24,KT,W 9:7,0,0,6,6,2,1,0,0,0,0,0,0,18,0.156,0.333,0.833,1.00,-0.91,-0.166,,3일,0,0.89,1.1
정우영,2020,05-26,@한화,W 3:0,0,0,4,3,0,0,0,0,1,0,0,0,17,0.143,0.250,0.250,0.84,1.53,0.245,,2일,0,0.84,1.2
정우영,2020,05-28,@한화,W 3:0,0,0,3,3,0,0,0,0,0,0,0,1,11,0.132,0.000,0.000,0.77,0.56,0.055,,2일,0,0.77,1.0
정우영,2020,05-29,@KIA,W 6:2,0,0,3,3,0,0,0,0,0,0,0,0,9,0.122,0.000,0.000,0.71,0.56,0.028,,1일,0,0.71,1.0
정우영,2020,06-04,삼성,W 11:0,0,0,3,3,0,0,0,0,0,0,0,0,5,0.114,0.000,0.000,0.68,0.21,0.000,,6일,0,0.68,0.2
정우영,2020,06-06,@키움,L 4:5,1,1,6,5,2,0,0,1,1,0,0,0,20,0.143,0.500,1.500,1.23,-0.91,0.004,,2일,0,0.82,1.1
정우영,2020,06-07,@키움,W 8:1,0,0,3,3,0,0,0,0,0,0,0,2,8,0.135,0.000,0.000,1.15,0.56,0.002,,1일,0,0.77,1.0
정우영,2020,06-09,SK,L 3:5,0,0,7,6,2,1,0,0,1,1,0,1,17,0.155,0.429,0.929,1.06,-0.10,-0.088,,2일,0,0.88,1.1
정우영,2020,06-11,SK,W 3:1,0,0,6,6,0,0,0,0,0,0,0,1,21,0.141,0.000,0.000,0.96,0.85,0.111,SV,2일,0,0.80,1.2
정우영,2020,06-12,롯데,W 3:2,0,0,5,4,1,0,0,0,0,0,1,1,19,0.147,0.400,0.650,0.92,0.56,0.137,,1일,0,0.81,1.0
정우영,2020,06-14,롯데,W 10:6,0,0,5,5,1,0,0,0,0,0,0,1,17,0.151,0.200,0.400,0.87,0.56,0.014,,2일,0,0.82,1.0
정우영,2020,06-16,@한화,W 9:5,0,0,1,1,0,0,0,0,0,0,0,1,5,0.149,0.000,0.000,0.86,0.82,0.047,SV,2일,0,0.81,0.1
정우영,2020,06-18,@한화,W 9:7,3,3,8,6,2,1,0,0,0,0,2,0,32,0.163,0.500,1.000,2.01,-2.63,0.067,SV,2일,0,0.85,1.1
정우영,2020,06-25,키움,L 5:8,4,4,5,1,1,0,0,1,3,1,0,0,16,0.173,1.000,5.000,3.57,-3.74,-0.801,L,7일,0,1.01,0.1
정우영,2020,06-28,@SK,W 4:0,0,0,4,4,1,1,0,0,0,0,0,1,16,0.176,0.250,0.750,3.42,0.56,0.018,,3일,0,1.01,1.0
정우영,2020,06-30,KT,W 4:3,0,0,6,4,1,0,0,0,0,0,1,0,21,0.180,0.400,0.650,3.24,1.19,0.257,,2일,0,1.00,1.1
정우영,2020,07-02,KT,L 3:4,0,0,4,4,1,0,0,0,0,0,0,2,16,0.183,0.250,0.500,3.12,0.56,0.137,,2일,0,1.00,1.0
정우영,2020,07-04,@삼성,L 6:7,0,0,6,6,1,0,0,0,0,0,0,1,19,0.182,0.167,0.333,2.93,0.85,0.217,,2일,0,0.98,1.2
정우영,2020,07-05,@삼성,W 7:3,0,0,3,3,1,0,0,0,0,0,0,0,11,0.186,0.333,0.667,2.83,0.56,0.018,,1일,0,0.98,1.0
정우영,2020,07-08,@두산,W 8:5,2,2,7,6,3,0,0,0,1,0,0,1,22,0.204,0.571,1.071,3.34,-1.45,0.008,,3일,0,1.08,1.0
정우영,2020,07-11,NC,D 6:6,0,0,6,6,0,0,0,0,0,0,0,2,29,0.193,0.000,0.000,3.16,0.86,0.210,,3일,0,1.02,1.2
정우영,2020,07-18,한화,W 3:1,1,1,8,7,3,0,0,0,1,0,0,0,33,0.207,0.500,0.929,3.27,0.13,0.115,SV,7일,0,1.09,1.2
정우영,2020,07-21,@KT,L 9:10,1,1,7,7,2,0,0,0,0,0,0,1,20,0.211,0.286,0.571,3.38,-0.15,-0.168,,3일,0,1.10,1.2
정우영,2020,07-26,@두산,W 4:3,0,0,5,3,0,0,0,0,1,1,0,1,13,0.206,0.250,0.250,3.25,1.83,0.164,W,5일,0,1.08,1.1
정우영,2020,07-29,@SK,W 11:6,0,0,7,7,0,0,0,0,0,0,0,2,20,0.196,0.000,0.000,3.05,2.39,0.242,,3일,0,1.02,2.1
정우영,2020,08-01,한화,W 9:6,0,0,6,6,0,0,0,0,0,0,0,3,22,0.188,0.000,0.000,2.90,1.11,0.145,,3일,0,0.97,2.0
정우영,2020,08-05,@KIA,W 6:4,0,0,4,3,0,0,0,0,1,0,0,3,23,0.184,0.250,0.250,2.83,0.95,0.239,,4일,0,0.97,1.0
정우영,2020,08-07,@키움,W 5:2,0,0,2,2,0,0,0,0,0,0,0,1,9,0.181,0.000,0.000,2.79,0.57,0.055,,2일,0,0.95,0.2
정우영,2020,08-09,@키움,L 1:2,0,0,6,6,1,0,0,0,0,0,0,1,24,0.181,0.167,0.333,2.66,1.11,0.074,,2일,0,0.93,2.0
정우영,2020,08-12,KIA,W 8:0,0,0,5,5,1,0,0,0,0,0,0,1,21,0.181,0.200,0.400,2.58,1.02,0.034,,3일,0,0.93,1.1
정우영,2020,08-13,KIA,W 4:2,0,0,3,3,1,0,0,0,0,0,0,0,10,0.184,0.333,0.667,2.54,0.17,0.028,,1일,0,0.93,0.2
정우영,2020,08-15,@NC,W 13:4,0,0,2,2,0,0,0,0,0,0,0,1,7,0.182,0.000,0.000,2.51,0.60,0.003,,2일,0,0.92,0.2
정우영,2020,08-18,KIA,W 6:5,0,0,4,3,1,0,0,0,0,0,0,0,11,0.185,0.333,0.667,2.45,0.56,0.137,W,3일,0,0.92,1.0
정우영,2020,08-20,@키움,L 5:6,2,2,6,4,1,0,0,0,1,0,1,2,23,0.186,0.500,0.750,2.77,-0.73,-0.197,L,2일,0,0.95,1.0
정우영,2020,08-25,@삼성,L 3:4,0,0,1,1,0,0,0,0,0,0,0,0,5,0.185,0.000,0.000,2.76,0.39,0.026,,5일,0,0.94,0.1
정우영,2020,08-26,@삼성,W 8:5,0,0,4,4,2,0,0,0,0,0,0,1,16,0.192,0.500,1.000,2.70,0.56,0.051,,1일,0,0.96,1.0
정우영,2020,08-27,KT,W 2:0,0,0,7,4,0,0,0,0,1,0,2,1,31,0.188,0.429,0.429,2.63,0.09,-0.027,,1일,0,0.95,1.1
정우영,2020,09-01,@SK,W 13:5,0,0,4,4,0,0,0,0,0,0,0,0,10,0.184,0.000,0.000,2.56,1.37,0.106,,5일,0,0.93,1.1
정우영,2020,09-04,NC,D 5:5,0,0,2,1,0,0,0,0,1,0,0,1,15,0.183,0.500,0.500,2.55,-0.28,-0.048,,3일,0,0.94,0.1
정우영,2020,09-08,@KIA,L 2:3,0,0,4,4,0,0,0,0,0,0,0,1,12,0.179,0.000,0.000,2.48,1.02,0.067,,4일,0,0.92,1.1
정우영,2020,09-10,키움,W 6:1,0,0,5,4,0,0,0,0,1,0,0,0,13,0.175,0.200,0.200,2.43,0.81,0.102,,2일,0,0.92,1.1
정우영,2020,09-15,@한화,L 5:6,2,2,7,5,2,0,0,0,1,0,1,0,19,0.181,0.571,0.971,2.68,-2.45,-0.343,,5일,0,0.95,1.1
