Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
Á¤ÂùÇå,2020,05-07,µÎ»ê,L 3:9,5,3,19,18,7,2,0,1,0,0,0,3,63,0.389,0.368,1.035,6.75,-2.78,-0.403,L,7+ÀÏ,1,1.75,4.0
Á¤ÂùÇå,2020,05-16,Å°¿ò,W 5:3,3,3,25,22,7,1,0,0,3,0,0,5,107,0.350,0.400,0.764,5.40,0.33,-0.017,,7+ÀÏ,1,1.70,6.0
Á¤ÂùÇå,2020,05-27,@ÇÑÈ­,W 15:4,3,3,22,21,5,0,0,2,1,0,0,6,78,0.311,0.273,0.797,5.06,0.33,0.031,W,7+ÀÏ,1,1.44,6.0
Á¤ÂùÇå,2020,06-04,»ï¼º,W 11:0,0,0,26,24,3,1,0,0,2,0,0,11,94,0.259,0.192,0.359,3.52,3.89,0.170,W,7+ÀÏ,1,1.22,7.0
Á¤ÂùÇå,2020,06-16,@ÇÑÈ­,W 9:5,2,2,27,26,6,1,0,0,1,0,0,4,94,0.252,0.259,0.529,3.34,3.35,0.121,W,7+ÀÏ,1,1.18,6.2
Á¤ÂùÇå,2020,06-27,@SK,W 3:0,0,0,32,30,3,0,0,0,2,0,0,6,115,0.220,0.156,0.256,2.56,5.00,0.583,W SHO,7+ÀÏ,1,1.03,9.0
Á¤ÂùÇå,2020,07-05,@»ï¼º,W 7:3,2,2,26,25,7,3,0,1,1,0,0,7,111,0.229,0.308,0.828,2.62,1.33,0.013,,7+ÀÏ,1,1.07,6.0
Á¤ÂùÇå,2020,07-16,@·Ôµ¥,L 10:15,10,5,28,26,9,1,0,1,1,0,1,6,92,0.245,0.393,0.893,3.22,-5.30,-0.401,,7+ÀÏ,1,1.15,5.2
Á¤ÂùÇå,2020,07-29,@SK,W 11:6,5,5,27,24,10,1,0,3,3,0,0,3,96,0.264,0.482,1.315,3.74,-2.23,-0.102,W,7+ÀÏ,1,1.28,5.0
Á¤ÂùÇå,2020,08-11,KIA,L 4:8,2,2,27,22,5,1,0,0,4,0,1,2,101,0.261,0.370,0.643,3.67,1.33,0.083,L,7+ÀÏ,1,1.30,6.0
Á¤ÂùÇå,2020,08-24,ÇÑÈ­,L 3:6,3,3,24,23,9,1,0,0,0,0,0,5,88,0.272,0.391,0.826,3.80,0.38,-0.049,L,7+ÀÏ,1,1.34,5.0
Á¤ÂùÇå,2020,09-01,@SK,W 13:5,4,4,26,22,8,0,0,0,3,0,0,5,107,0.279,0.423,0.787,4.04,-1.23,-0.208,W,7+ÀÏ,1,1.40,5.0
Á¤ÂùÇå,2020,09-08,@KIA,L 2:3,1,1,24,22,5,3,0,0,2,0,0,3,91,0.275,0.292,0.655,3.84,2.33,0.295,,7ÀÏ,1,1.38,6.0
Á¤ÂùÇå,2020,09-18,·Ôµ¥,L 3:5,2,1,25,23,4,0,0,0,2,0,0,6,88,0.268,0.240,0.414,3.66,1.90,0.186,,7+ÀÏ,1,1.35,6.1
Á¤ÂùÇå,2020,09-30,·Ôµ¥,W 5:3,3,3,25,22,5,0,0,0,2,0,0,3,103,0.266,0.280,0.507,3.71,0.33,-0.027,,7+ÀÏ,1,1.34,6.0
Á¤ÂùÇå,2020,10-08,»ï¼º,W 1:0,0,0,20,19,3,1,0,0,0,0,0,6,85,0.260,0.158,0.368,3.48,3.33,0.355,,7+ÀÏ,1,1.29,6.0
Á¤ÂùÇå,2020,10-15,@·Ôµ¥,W 6:2,1,1,25,24,8,3,0,0,0,0,1,2,85,0.265,0.360,0.818,3.36,1.93,0.237,W,7ÀÏ,1,1.29,6.0
Á¤ÂùÇå,2020,10-24,@NC,D 3:3,3,3,22,20,8,2,1,1,1,0,0,1,81,0.271,0.409,1.159,3.48,-0.52,-0.145,,7+ÀÏ,1,1.32,4.1
Á¤ÂùÇå,2020,10-30,@SK,L 2:3,2,2,20,16,4,1,0,1,3,0,1,1,78,0.270,0.400,0.900,3.51,-0.20,-0.060,L,6ÀÏ,1,1.33,4.1
Á¤ÂùÇå,2020,11-05,µÎ»ê,L 7:9,0,0,16,15,4,2,0,0,1,0,0,2,57,0.267,0.313,0.713,0.00,1.76,0.086,,6ÀÏ,0,1.36,3.2
