Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
조무근,2017,03-31,@SK,W 3:2,0,0,1,1,0,0,0,0,0,0,0,0,3,0.000,0.000,0.000,0.00,0.12,0.032,,7+일,0,0.00,0.1
조무근,2017,04-04,두산,L 0:2,0,0,1,1,0,0,0,0,0,0,0,0,4,0.000,0.000,0.000,0.00,0.25,0.008,,4일,0,0.00,0.1
조무근,2017,04-06,두산,W 5:1,0,0,2,2,0,0,0,0,0,0,0,1,4,0.000,0.000,0.000,0.00,0.44,0.013,,2일,0,0.00,0.2
조무근,2017,04-08,삼성,W 1:0,0,0,2,2,0,0,0,0,0,0,0,1,5,0.000,0.000,0.000,0.00,0.57,0.127,,2일,0,0.00,0.2
조무근,2017,04-13,@넥센,W 7:6,0,0,2,2,0,0,0,0,0,0,0,0,13,0.000,0.000,0.000,0.00,-1.03,-0.046,,5일,0,0.00,0.2
조무근,2017,04-19,KIA,W 3:1,0,0,3,2,1,0,0,0,1,0,0,0,7,0.100,0.667,1.167,0.00,-0.69,-0.103,,6일,0,0.67,0.1
조무근,2017,04-21,한화,L 2:7,3,3,8,8,3,1,0,1,0,0,0,0,28,0.222,0.375,1.250,5.79,-2.72,-0.209,,2일,0,1.07,1.2
조무근,2017,04-23,한화,L 1:14,4,3,5,5,3,1,0,0,0,0,0,1,18,0.304,0.600,1.400,10.80,-3.02,-0.004,,2일,0,1.60,0.1
조무근,2017,07-12,삼성,L 3:11,0,0,7,6,1,0,0,0,0,0,0,2,23,0.276,0.143,0.310,7.71,0.97,0.000,,7+일,0,1.29,2.0
조무근,2017,07-21,@넥센,L 0:2,1,1,6,5,2,2,0,0,0,0,1,0,18,0.294,0.500,1.300,7.88,-0.45,-0.058,,7+일,0,1.38,1.0
조무근,2017,07-25,두산,L 5:6,2,2,6,6,3,1,0,0,0,0,0,0,20,0.325,0.500,1.167,9.00,-1.45,-0.121,,4일,0,1.56,1.0
조무근,2017,07-26,두산,L 3:7,1,1,5,5,2,1,0,0,0,0,0,0,12,0.333,0.400,1.000,9.00,-0.45,-0.015,,1일,0,1.60,1.0
조무근,2017,07-30,NC,L 3:8,0,0,6,6,2,0,0,0,0,0,0,0,19,0.333,0.333,0.667,7.94,-0.81,-0.045,,4일,0,1.59,1.1
조무근,2017,08-03,@KIA,L 3:9,1,1,6,6,2,0,0,1,0,0,0,1,17,0.333,0.333,1.167,7.82,-0.91,-0.014,,4일,0,1.58,1.1
조무근,2017,10-01,KIA,W 20:2,1,1,5,5,2,0,1,0,0,0,0,3,17,0.339,0.400,1.200,7.90,-0.45,0.000,,7+일,0,1.61,1.0
조무근,2017,10-03,KIA,L 2:10,0,0,5,3,0,0,0,0,2,0,0,0,22,0.323,0.400,0.400,7.36,0.56,0.006,,2일,0,1.64,1.0
