Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
조상우,2017,04-18,@SK,L 4:7,0,0,7,7,1,0,0,0,0,0,0,2,27,0.143,0.143,0.286,0.00,1.11,0.013,,7+일,0,0.50,2.0
조상우,2017,04-23,롯데,W 6:5,1,1,19,17,4,1,0,0,2,0,0,4,79,0.208,0.316,0.610,1.29,1.78,0.175,W,5일,1,1.00,5.0
조상우,2017,04-29,@한화,W 7:3,1,1,19,18,4,0,0,0,1,0,0,4,84,0.214,0.263,0.485,1.50,1.78,0.179,W,6일,1,1.00,5.0
조상우,2017,05-05,SK,W 5:3,3,3,25,24,8,1,0,0,1,0,0,6,93,0.258,0.360,0.735,2.60,-0.24,-0.103,,6일,1,1.21,5.1
조상우,2017,05-13,@삼성,W 5:4,4,4,23,21,6,3,0,2,2,0,0,5,90,0.264,0.348,1.062,3.63,-1.23,-0.203,W,7+일,1,1.30,5.0
조상우,2017,05-19,@kt,W 4:3,2,2,26,25,6,3,0,0,1,0,0,7,97,0.259,0.269,0.629,3.49,1.33,0.047,W,6일,1,1.27,6.0
조상우,2017,05-25,NC,L 3:13,8,7,24,20,9,1,0,1,2,0,1,4,96,0.288,0.500,1.150,5.01,-5.78,-0.436,L,6일,1,1.45,4.0
조상우,2017,05-31,@LG,L 2:5,5,5,28,23,11,4,0,0,2,0,0,4,101,0.316,0.500,1.152,5.45,-2.21,-0.208,L,6일,1,1.58,5.2
조상우,2017,06-20,@한화,L 5:6,1,1,6,6,3,0,0,0,0,0,0,1,19,0.323,0.500,1.000,5.54,-0.45,-0.160,L,7+일,0,1.62,1.0
조상우,2017,06-22,@한화,L 12:13,0,0,7,4,0,0,0,0,3,0,0,3,35,0.315,0.429,0.429,5.36,1.02,0.058,,2일,0,1.64,1.1
조상우,2017,06-25,LG,W 4:2,0,0,6,6,0,0,0,0,0,0,0,3,21,0.304,0.000,0.000,5.10,1.11,0.162,W,3일,0,1.56,2.0
조상우,2017,06-30,@kt,W 9:5,0,0,4,4,1,0,0,0,0,0,0,1,19,0.303,0.250,0.500,4.98,0.56,0.014,,5일,0,1.55,1.0
조상우,2017,07-04,한화,W 7:5,0,0,4,3,0,0,0,0,1,0,0,1,19,0.298,0.250,0.250,4.87,0.56,0.047,,4일,0,1.53,1.0
