Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
진명호,2020,05-06,@KT,W 9:4,1,1,4,4,1,0,0,1,0,0,0,1,14,0.250,0.250,1.250,9.00,-0.45,0.009,,7+일,0,1.00,1.0
진명호,2020,05-07,@KT,W 7:3,0,0,3,3,0,0,0,0,0,0,0,1,8,0.143,0.000,0.000,4.50,0.56,0.089,,1일,0,0.50,1.0
진명호,2020,05-10,SK,W 4:0,0,0,3,3,0,0,0,0,0,0,0,0,5,0.100,0.000,0.000,3.00,0.56,0.014,,3일,0,0.33,1.0
진명호,2020,05-13,두산,W 10:9,3,3,6,4,2,0,0,1,2,0,0,1,29,0.214,0.667,1.917,9.00,-2.45,-0.459,,3일,0,1.25,1.0
진명호,2020,05-15,@한화,L 1:2,0,0,2,2,0,0,0,0,0,0,0,1,15,0.188,0.000,0.000,7.71,0.47,0.018,,2일,0,1.07,0.2
진명호,2020,05-16,@한화,W 5:1,0,0,2,2,0,0,0,0,0,0,0,0,9,0.167,0.000,0.000,6.75,0.97,0.188,,1일,0,0.94,0.2
진명호,2020,05-22,키움,W 9:7,2,2,4,0,0,0,0,0,4,0,0,0,19,0.167,1.000,0.000,10.13,-2.86,-0.358,,6일,0,1.69,0.0
진명호,2020,05-23,키움,L 4:12,0,0,3,3,0,0,0,0,0,0,0,2,12,0.143,0.000,0.000,8.53,0.56,0.000,,1일,0,1.42,1.0
진명호,2020,05-27,삼성,L 1:11,0,0,4,3,0,0,0,0,1,0,0,0,15,0.125,0.250,0.250,7.71,0.57,0.028,,4일,0,1.43,0.2
진명호,2020,05-29,@두산,L 2:4,0,0,3,3,0,0,0,0,0,0,0,2,11,0.111,0.000,0.000,6.75,0.56,0.014,,2일,0,1.25,1.0
진명호,2020,05-30,@두산,L 4:5,0,0,2,1,0,0,0,0,1,0,0,1,9,0.107,0.500,0.500,6.48,-0.02,-0.001,,1일,0,1.32,0.1
진명호,2020,05-31,@두산,W 8:3,2,2,2,0,0,0,0,0,2,0,0,0,11,0.107,1.000,0.000,8.64,-1.02,-0.201,,1일,0,1.56,0.0
진명호,2020,06-02,@KIA,L 2:7,2,2,3,1,0,0,0,0,2,0,0,0,13,0.103,0.667,0.667,10.38,-0.24,-0.007,,2일,0,1.73,0.1
진명호,2020,06-20,@KT,W 8:0,0,0,3,3,0,0,0,0,0,0,0,3,12,0.094,0.000,0.000,9.31,0.56,0.006,,7+일,0,1.55,1.0
진명호,2020,06-21,@KT,L 2:3,0,0,3,3,0,0,0,0,0,0,0,0,10,0.086,0.000,0.000,8.44,0.56,0.012,,1일,0,1.41,1.0
진명호,2020,06-27,삼성,L 1:6,0,0,2,2,0,0,0,0,0,0,0,1,6,0.081,0.000,0.000,7.94,0.73,0.003,,6일,0,1.32,0.2
진명호,2020,06-30,@NC,W 10:8,1,1,5,5,3,1,0,0,0,0,0,1,13,0.143,0.600,1.400,8.25,-1.43,-0.176,,3일,0,1.50,0.2
진명호,2020,07-02,@NC,L 7:9,2,2,6,5,3,0,0,0,0,0,0,0,23,0.191,0.600,1.200,9.00,-1.45,-0.303,L,2일,0,1.62,1.0
진명호,2020,07-07,@한화,L 6:7,1,1,1,0,0,0,0,0,1,0,0,0,4,0.191,1.000,0.000,9.69,-0.40,-0.134,,5일,0,1.69,0.0
진명호,2020,07-10,두산,L 5:10,0,0,5,3,0,0,0,0,2,0,0,2,31,0.180,0.400,0.400,9.00,0.56,0.001,,3일,0,1.71,1.0
진명호,2020,07-15,LG,L 3:9,1,1,5,5,2,2,0,0,0,0,0,1,19,0.200,0.400,1.200,9.00,-0.45,-0.006,,5일,0,1.73,1.0
진명호,2020,07-17,@삼성,L 10:15,2,2,6,4,2,0,0,0,1,0,0,0,26,0.220,0.500,1.000,9.56,-1.45,-0.021,,2일,0,1.81,1.0
진명호,2020,09-06,LG,L 1:7,2,2,3,3,2,1,0,0,0,0,0,0,8,0.242,0.667,1.667,10.47,-0.91,-0.025,,7+일,0,1.90,0.1
진명호,2020,09-08,@NC,L 2:14,0,0,4,4,0,0,0,0,0,0,0,2,15,0.227,0.000,0.000,9.68,0.81,0.000,,2일,0,1.75,1.1
진명호,2020,09-11,삼성,W 12:4,0,0,3,3,0,0,0,0,0,0,0,2,18,0.217,0.000,0.000,9.16,0.56,0.003,,3일,0,1.66,1.0
진명호,2020,09-17,@LG,L 1:9,2,2,6,5,1,0,0,1,1,0,0,0,23,0.216,0.333,1.133,9.61,-2.43,-0.008,,6일,0,1.68,1.0
진명호,2020,09-22,KT,W 8:0,0,0,3,3,0,0,0,0,0,0,0,2,9,0.208,0.000,0.000,9.15,0.56,0.000,,5일,0,1.60,1.0
진명호,2020,09-23,KT,L 5:10,0,0,6,6,1,0,0,0,0,0,0,3,26,0.205,0.167,0.333,8.46,0.85,0.025,,1일,0,1.52,1.2
진명호,2020,09-26,@KIA,W 16:3,0,0,5,3,0,0,0,0,1,0,1,1,19,0.198,0.400,0.400,8.10,0.56,0.001,,3일,0,1.50,1.0
진명호,2020,10-03,한화,W 10:0,0,0,4,3,0,0,0,0,0,0,1,2,11,0.191,0.250,0.250,7.77,0.56,0.000,,7일,0,1.44,1.0
진명호,2020,10-13,LG,W 17:2,0,0,3,3,1,0,0,0,0,0,0,0,11,0.196,0.333,0.667,7.46,0.56,0.000,,7+일,0,1.42,1.0
진명호,2020,10-18,@NC,W 9:2,0,0,3,3,1,0,0,0,0,0,0,1,17,0.200,0.333,0.667,7.18,0.56,0.001,,5일,0,1.41,1.0
진명호,2020,10-20,두산,L 1:6,0,0,5,4,1,0,0,0,1,0,0,1,21,0.202,0.400,0.650,6.91,0.56,0.001,,2일,0,1.43,1.0
진명호,2020,10-21,@SK,L 3:11,2,2,7,6,3,0,0,0,1,0,0,0,22,0.219,0.571,1.071,7.31,-1.45,-0.005,,1일,0,1.52,1.0
진명호,2020,10-25,@KT,L 5:10,1,1,6,5,2,0,1,0,1,0,0,1,20,0.227,0.500,1.300,7.36,-0.45,-0.001,,4일,0,1.57,1.0
진명호,2020,10-28,NC,L 1:7,0,0,4,4,1,1,0,0,0,0,0,0,9,0.228,0.250,0.750,7.12,0.56,0.002,,3일,0,1.55,1.0
진명호,2020,10-29,NC,L 4:11,1,1,7,6,3,0,0,0,1,0,0,0,19,0.242,0.571,1.071,7.18,-0.45,-0.001,,1일,0,1.63,1.0
