Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
진해수,2020,05-05,두산,W 8:2,0,0,4,3,1,0,0,0,1,0,0,0,18,0.333,0.500,0.833,0.00,0.56,0.070,,7+일,0,2.00,1.0
진해수,2020,05-10,@NC,W 10:8,0,0,1,1,0,0,0,0,0,0,0,0,5,0.250,0.000,0.000,0.00,0.63,0.066,,5일,0,1.50,0.1
진해수,2020,05-12,SK,W 9:5,0,0,3,3,1,1,0,0,0,0,0,0,12,0.286,0.333,1.000,0.00,0.57,0.024,,2일,0,1.50,0.2
진해수,2020,05-14,SK,W 3:2,0,0,1,0,0,0,0,0,1,0,0,0,6,0.286,1.000,0.000,0.00,-0.69,-0.170,,2일,0,2.00,0.0
진해수,2020,05-16,키움,W 3:1,0,0,1,1,1,0,0,0,0,0,0,0,5,0.375,1.000,2.000,0.00,-0.22,-0.022,,2일,0,2.50,0.0
진해수,2020,05-22,KT,W 6:5,1,1,5,4,1,0,0,0,0,0,1,2,16,0.333,0.400,0.650,3.00,-0.45,-0.035,,6일,0,2.00,1.0
진해수,2020,05-24,KT,W 9:7,1,1,2,2,1,0,0,0,0,0,0,1,11,0.357,0.500,1.000,5.40,0.19,0.022,,2일,0,2.10,0.1
진해수,2020,05-26,@한화,W 3:0,0,0,3,2,1,0,0,0,1,0,0,0,15,0.375,0.667,1.167,4.91,-0.42,-0.075,,2일,0,2.45,0.1
진해수,2020,05-28,@한화,W 3:0,0,0,3,3,0,0,0,0,0,0,0,2,14,0.316,0.000,0.000,3.86,0.56,0.051,,2일,0,1.93,1.0
진해수,2020,05-31,@KIA,W 13:5,0,0,3,3,0,0,0,0,0,0,0,1,12,0.273,0.000,0.000,3.18,0.56,0.002,,3일,0,1.59,1.0
진해수,2020,06-04,삼성,W 11:0,0,0,1,1,0,0,0,0,0,0,0,0,5,0.261,0.000,0.000,3.00,0.34,0.000,,4일,0,1.50,0.1
진해수,2020,06-06,@키움,L 4:5,0,0,1,1,0,0,0,0,0,0,0,1,4,0.250,0.000,0.000,2.84,0.12,0.032,,2일,0,1.42,0.1
진해수,2020,06-09,SK,L 3:5,1,1,3,3,1,1,0,0,0,0,0,0,14,0.259,0.333,1.000,3.86,0.21,0.029,,3일,0,1.43,0.2
진해수,2020,06-11,SK,W 4:3,0,0,3,3,0,0,0,0,0,0,0,2,14,0.226,0.000,0.000,3.24,0.56,0.120,,0일,0,1.20,1.0
진해수,2020,06-11,SK,W 3:1,0,0,1,1,0,0,0,0,0,0,0,0,1,0.250,0.000,0.000,3.68,0.26,0.037,,2일,0,1.36,0.1
진해수,2020,06-14,롯데,W 10:6,0,0,5,5,2,0,0,0,0,0,0,1,16,0.250,0.400,0.800,2.89,-0.43,0.015,,3일,0,1.29,1.0
진해수,2020,06-16,@한화,W 9:5,0,0,4,4,1,0,0,0,0,0,0,2,15,0.250,0.250,0.500,2.61,0.56,0.014,,2일,0,1.26,1.0
진해수,2020,06-18,@한화,W 9:7,1,0,3,2,0,0,0,0,1,0,0,2,16,0.238,0.333,0.333,2.45,0.33,0.070,,2일,0,1.27,0.2
진해수,2020,06-20,두산,L 2:8,0,0,3,3,0,0,0,0,0,0,0,0,10,0.222,0.000,0.000,2.25,0.56,0.015,,2일,0,1.17,1.0
진해수,2020,06-21,두산,L 1:3,0,0,6,5,2,0,0,0,1,0,0,1,30,0.240,0.500,0.900,2.08,-0.29,-0.045,,1일,0,1.31,1.0
진해수,2020,06-25,키움,L 5:8,0,0,4,2,1,0,0,0,0,0,1,1,7,0.250,0.500,1.000,1.98,-0.56,-0.045,,4일,0,1.32,0.2
진해수,2020,06-28,@SK,W 4:0,0,0,3,3,1,0,0,0,0,0,0,0,11,0.255,0.333,0.667,1.88,0.30,0.030,,3일,0,1.33,0.2
진해수,2020,06-30,KT,W 4:3,1,1,5,4,2,0,0,0,1,0,0,1,31,0.271,0.600,1.100,2.40,-0.91,-0.183,,2일,0,1.47,0.2
진해수,2020,07-02,KT,L 3:4,1,1,5,5,2,1,0,0,0,0,0,1,17,0.281,0.400,1.000,2.81,-0.45,-0.141,,2일,0,1.50,1.0
진해수,2020,07-04,@삼성,L 6:7,2,2,3,1,1,0,0,0,1,0,0,0,12,0.292,1.000,2.000,3.86,-1.02,-0.435,L,2일,0,1.59,0.1
진해수,2020,07-05,@삼성,W 7:3,0,0,4,4,1,0,0,0,0,0,0,0,17,0.290,0.250,0.500,3.63,0.56,0.043,W,1일,0,1.56,1.0
진해수,2020,07-08,@두산,W 8:5,0,0,6,6,2,0,0,0,0,0,0,1,22,0.293,0.333,0.667,3.32,1.53,0.162,,3일,0,1.53,1.2
진해수,2020,07-11,NC,D 6:6,0,0,4,4,1,0,0,0,0,0,0,1,14,0.291,0.250,0.500,3.10,0.81,0.202,,3일,0,1.48,1.1
진해수,2020,07-17,한화,W 8:0,0,0,3,3,0,0,0,0,0,0,0,3,18,0.280,0.000,0.000,2.95,0.56,0.003,,6일,0,1.41,1.0
진해수,2020,07-18,한화,W 3:1,0,0,2,1,0,0,0,0,1,0,0,1,10,0.277,0.500,0.500,2.91,-0.02,-0.008,,1일,0,1.43,0.1
진해수,2020,07-19,한화,W 6:2,1,1,4,4,1,0,0,0,0,0,0,2,17,0.276,0.250,0.500,3.18,0.28,0.045,,1일,0,1.41,1.0
진해수,2020,07-21,@KT,L 9:10,1,1,2,2,1,0,0,1,0,0,0,0,9,0.281,0.500,2.500,3.52,-0.74,-0.189,,2일,0,1.43,0.1
진해수,2020,07-26,@두산,W 4:3,0,0,4,3,0,0,0,0,1,0,0,0,17,0.272,0.250,0.250,3.38,0.56,0.086,,5일,0,1.42,1.0
진해수,2020,07-29,@SK,W 11:6,0,0,2,2,2,0,0,0,0,0,0,0,10,0.287,1.000,2.000,3.38,-0.95,-0.030,,3일,0,1.50,0.0
진해수,2020,07-30,@SK,W 9:1,0,0,2,2,0,0,0,0,0,0,0,0,7,0.281,0.000,0.000,3.28,0.60,0.050,,1일,0,1.46,0.2
진해수,2020,07-31,한화,L 1:2,1,1,3,2,1,0,0,0,1,0,0,0,11,0.286,0.667,1.167,3.60,-0.69,-0.051,,1일,0,1.52,0.1
진해수,2020,08-04,@KIA,W 15:5,0,0,3,3,0,0,0,0,0,0,0,1,12,0.277,0.000,0.000,3.46,0.56,0.055,,4일,0,1.46,1.0
진해수,2020,08-05,@KIA,W 6:4,0,0,2,2,1,0,0,0,0,0,0,1,8,0.282,0.500,1.000,3.42,-0.28,-0.074,,1일,0,1.48,0.1
진해수,2020,08-07,@키움,W 5:2,0,0,2,2,1,0,0,0,0,0,0,0,7,0.286,0.500,1.000,3.38,-0.02,-0.004,,2일,0,1.50,0.1
진해수,2020,08-12,KIA,W 8:0,0,0,4,3,1,0,0,0,0,0,1,2,19,0.287,0.500,0.833,3.29,0.09,0.002,,5일,0,1.50,0.2
진해수,2020,08-14,@NC,W 10:4,0,0,1,1,0,0,0,0,0,0,0,0,2,0.284,0.000,0.000,3.25,0.26,0.038,,2일,0,1.48,0.1
진해수,2020,08-15,@NC,W 13:4,0,0,2,2,1,0,0,0,0,0,0,1,8,0.288,0.500,1.000,3.21,-0.05,0.000,,1일,0,1.50,0.1
진해수,2020,08-18,KIA,W 6:5,0,0,4,4,2,0,0,0,0,0,0,0,16,0.296,0.500,1.000,3.14,0.30,0.016,,3일,0,1.53,0.2
진해수,2020,08-19,KIA,W 10:1,0,0,3,3,1,0,0,0,0,0,0,1,19,0.297,0.333,0.667,3.07,0.30,0.008,,1일,0,1.53,0.2
진해수,2020,08-21,@키움,W 7:3,0,0,1,1,0,0,0,0,0,0,0,1,5,0.294,0.000,0.000,3.03,0.47,0.012,,2일,0,1.52,0.1
진해수,2020,08-24,한화,L 3:6,1,1,4,1,1,0,0,0,1,0,0,0,14,0.300,0.667,1.667,3.30,-1.70,-0.150,,3일,0,1.57,0.1
진해수,2020,08-25,@삼성,L 3:4,0,0,2,2,0,0,0,0,0,0,0,0,7,0.295,0.000,0.000,3.23,0.57,0.024,,1일,0,1.53,0.2
진해수,2020,08-28,KT,W 6:5,0,0,3,3,0,0,0,0,0,0,0,2,16,0.288,0.000,0.000,3.13,0.56,0.052,,3일,0,1.48,1.0
진해수,2020,08-29,두산,D 5:5,2,2,4,3,2,0,0,0,1,0,0,1,15,0.297,0.750,1.417,3.66,-1.01,-0.154,,1일,0,1.56,0.1
진해수,2020,08-30,두산,W 4:1,0,0,2,1,1,0,0,0,0,0,1,0,4,0.302,1.000,2.000,3.66,-1.29,-0.092,,1일,0,1.59,0.0
진해수,2020,09-03,NC,W 6:5,0,0,3,2,0,0,0,0,1,0,0,1,14,0.298,0.333,0.333,3.58,0.65,-0.001,W,4일,0,1.59,0.2
진해수,2020,09-04,NC,D 5:5,0,0,2,2,0,0,0,0,0,0,0,1,6,0.293,0.000,0.000,3.51,0.44,0.104,,1일,0,1.56,0.2
진해수,2020,09-08,@KIA,L 2:3,2,0,6,5,2,1,0,0,1,1,0,1,21,0.297,0.500,1.100,3.44,-1.91,-0.425,L,4일,0,1.62,0.2
진해수,2020,09-10,키움,W 6:1,0,0,1,1,0,0,0,0,0,0,0,0,5,0.295,0.000,0.000,3.41,0.18,0.004,,2일,0,1.60,0.1
진해수,2020,09-13,삼성,L 0:11,1,1,4,3,2,0,0,0,1,0,0,1,15,0.303,0.750,1.417,3.63,-2.46,-0.075,,3일,0,1.67,0.1
진해수,2020,09-15,@한화,L 5:6,0,0,4,4,0,0,0,0,0,0,0,2,18,0.295,0.000,0.000,3.50,1.01,0.209,,2일,0,1.61,1.1
진해수,2020,09-18,롯데,L 3:5,0,0,1,1,0,0,0,0,0,0,0,1,5,0.293,0.000,0.000,3.47,0.47,0.024,,3일,0,1.60,0.1
진해수,2020,09-19,@두산,W 9:6,0,0,5,5,0,0,0,0,0,0,0,1,12,0.283,0.000,0.000,3.32,1.28,0.212,W,1일,0,1.53,1.2
진해수,2020,09-20,@두산,L 5:6,3,3,9,6,1,0,0,0,3,0,0,2,39,0.278,0.444,0.611,3.83,0.27,-0.034,,1일,0,1.55,2.0
진해수,2020,09-22,SK,W 7:2,0,0,3,3,0,0,0,0,0,0,0,1,11,0.273,0.000,0.000,3.76,0.30,0.025,,2일,0,1.52,0.2
진해수,2020,09-24,@NC,L 8:12,1,1,3,3,1,1,0,0,0,0,0,1,12,0.274,0.333,1.000,3.92,-0.34,-0.064,,2일,0,1.52,0.2
진해수,2020,09-26,@KT,W 3:1,0,0,2,2,1,0,0,0,0,0,0,0,9,0.277,0.500,1.000,3.89,0.04,0.000,,2일,0,1.54,0.1
진해수,2020,09-30,롯데,W 5:3,0,0,4,4,2,0,0,0,0,0,0,0,14,0.282,0.500,1.000,3.83,0.09,0.008,,4일,0,1.56,0.2
진해수,2020,10-02,@KT,L 2:5,1,1,2,2,1,0,0,0,0,0,0,0,7,0.285,0.500,1.000,4.01,-0.29,-0.080,,2일,0,1.57,0.1
진해수,2020,10-04,@KT,W 13:8,2,2,3,2,1,0,0,1,1,0,0,1,19,0.287,0.667,2.667,4.40,-1.19,-0.142,,2일,0,1.60,0.1
진해수,2020,10-06,삼성,L 2:3,0,0,3,3,1,0,0,0,0,0,0,0,12,0.288,0.333,0.667,4.36,-0.91,-0.144,,2일,0,1.62,0.1
진해수,2020,10-08,삼성,W 1:0,0,0,2,2,0,0,0,0,0,0,0,2,8,0.285,0.000,0.000,4.30,0.44,0.104,,2일,0,1.59,0.2
진해수,2020,10-10,NC,W 9:5,1,1,3,3,1,0,0,1,0,0,0,1,14,0.281,0.333,1.667,4.34,-0.28,0.023,,0일,0,1.55,0.2
진해수,2020,10-10,NC,W 5:0,0,0,3,3,0,0,0,0,0,0,0,1,14,0.280,0.000,0.000,4.20,0.56,0.088,W,2일,0,1.56,1.0
진해수,2020,10-15,@롯데,W 6:2,0,0,3,3,0,0,0,0,0,0,0,2,17,0.277,0.000,0.000,4.24,0.95,0.066,,5일,0,1.52,1.0
진해수,2020,10-17,KIA,W 11:8,1,1,3,3,1,0,0,0,0,0,0,2,19,0.277,0.333,0.667,4.37,0.80,0.024,,2일,0,1.52,0.2
진해수,2020,10-20,@KT,W 7:6,0,0,1,1,0,0,0,0,0,0,0,0,3,0.276,0.000,0.000,4.34,0.25,0.039,,3일,0,1.51,0.1
진해수,2020,10-23,@KIA,W 8:4,0,0,2,1,0,0,0,0,1,0,0,0,8,0.275,0.500,0.500,4.31,0.16,0.022,,3일,0,1.52,0.1
진해수,2020,10-24,@NC,D 3:3,0,0,4,3,1,1,0,0,1,1,0,0,14,0.276,0.500,1.167,4.25,0.09,0.004,,1일,0,1.54,0.2
진해수,2020,10-28,한화,L 6:7,0,0,3,3,0,0,0,0,0,0,0,2,13,0.271,0.000,0.000,4.14,1.21,0.194,,4일,0,1.50,1.1
진해수,2020,10-30,@SK,L 2:3,1,1,2,0,0,0,0,0,2,0,0,0,11,0.271,1.000,0.000,4.32,-0.67,-0.048,,2일,0,1.54,0.0
진해수,2020,11-02,키움,W 4:3,0,0,2,1,0,0,0,0,0,0,1,0,7,0.000,0.500,0.500,0.00,0.42,0.090,,3일,0,0.00,0.1
진해수,2020,11-04,@두산,L 0:4,0,0,5,5,1,0,0,0,0,0,0,1,19,0.200,0.200,0.400,0.00,2.21,0.086,,2일,0,0.60,1.2
진해수,2020,11-05,두산,L 7:9,4,4,5,4,4,0,0,1,0,0,0,0,17,0.556,0.800,2.550,18.00,-4.87,-0.195,,1일,0,2.50,0.1
