Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
차우찬,2019,03-28,@SK,L 1:3,1,1,17,15,1,1,0,0,1,0,0,5,75,0.067,0.118,0.251,1.80,1.78,0.172,,7+일,1,0.40,5.0
차우찬,2019,04-03,@한화,W 7:0,0,0,21,17,4,1,0,0,4,0,0,7,87,0.156,0.381,0.675,0.90,2.96,0.224,W,6일,1,1.00,5.0
차우찬,2019,04-12,두산,W 3:0,0,0,27,25,7,1,0,0,2,0,0,7,101,0.211,0.333,0.653,0.53,3.89,0.343,W,7+일,1,1.12,7.0
차우찬,2019,04-18,@NC,W 6:1,1,1,28,27,8,0,0,0,1,0,0,8,108,0.238,0.321,0.618,0.75,2.89,0.320,W,6일,1,1.17,7.0
차우찬,2019,04-24,KIA,W 10:3,1,1,26,23,3,2,0,0,3,0,0,6,98,0.215,0.231,0.448,0.87,2.89,0.144,W,6일,1,1.10,7.0
차우찬,2019,04-30,KT,W 10:9,3,3,23,22,7,3,0,1,1,0,0,4,94,0.233,0.348,0.939,1.50,-0.42,0.006,,6일,1,1.17,5.0
차우찬,2019,05-05,@두산,L 2:11,6,5,20,17,8,3,0,0,2,0,0,3,74,0.260,0.500,1.147,2.54,-4.34,-0.312,L,5일,1,1.33,3.0
차우찬,2019,05-11,한화,W 6:4,3,2,24,20,5,1,1,0,3,0,0,3,107,0.259,0.333,0.733,2.62,1.08,0.054,W,6일,1,1.34,5.2
차우찬,2019,05-17,NC,L 2:13,7,7,23,19,7,2,0,1,1,0,2,0,78,0.270,0.455,1.086,3.67,-4.52,-0.349,L,6일,1,1.39,4.1
차우찬,2019,05-25,@롯데,W 6:5,5,5,29,24,8,1,0,0,4,0,0,4,117,0.278,0.414,0.789,4.09,-1.67,-0.252,,7+일,1,1.45,6.0
차우찬,2019,05-31,NC,W 3:2,2,2,29,27,6,2,0,0,2,0,0,5,106,0.271,0.276,0.572,3.92,1.89,0.179,W,6일,1,1.42,7.0
차우찬,2019,06-06,KT,W 8:7,6,2,32,30,10,2,0,1,2,0,0,3,110,0.278,0.375,0.875,3.80,-2.37,-0.524,,6일,1,1.46,6.2
차우찬,2019,06-12,롯데,W 4:3,1,1,28,23,4,0,0,0,3,0,0,4,101,0.270,0.259,0.433,3.57,2.89,0.289,,6일,1,1.41,7.0
차우찬,2019,06-18,@삼성,L 5:12,6,5,26,24,7,1,0,3,2,0,0,4,90,0.272,0.346,1.055,3.86,-2.67,-0.393,L,6일,1,1.42,6.0
차우찬,2019,06-23,KIA,L 0:7,5,5,28,22,8,1,0,0,5,0,0,4,105,0.278,0.464,0.873,4.12,-1.01,-0.137,L,5일,1,1.48,5.2
차우찬,2019,06-30,@NC,L 1:9,7,7,24,21,9,1,0,2,1,0,1,3,91,0.287,0.458,1.220,4.60,-4.34,-0.234,L,7일,1,1.51,4.2
차우찬,2019,07-06,@KIA,L 0:7,7,7,22,18,6,0,0,2,3,0,1,1,83,0.289,0.455,1.121,5.06,-4.78,-0.258,L,6일,1,1.54,4.0
차우찬,2019,07-12,삼성,L 3:6,3,3,23,22,8,0,0,2,1,0,0,5,97,0.293,0.391,1.028,5.08,-0.23,-0.067,,6일,1,1.55,5.0
