Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
채병용,2018,06-16,롯데,L 3:9,0,0,3,3,0,0,0,0,0,0,0,1,9,0.000,0.000,0.000,0.00,0.56,0.001,,7+일,0,0.00,1.0
채병용,2018,06-17,롯데,L 7:13,4,4,13,13,5,0,0,2,0,0,0,2,38,0.313,0.385,1.231,9.00,-2.70,-0.039,,1일,0,1.25,3.0
채병용,2018,06-22,@KT,W 13:9,0,0,1,1,0,0,0,0,0,0,0,0,2,0.294,0.000,0.000,8.31,0.47,0.037,W,5일,0,1.15,0.1
채병용,2018,06-23,@KT,W 7:4,0,0,6,6,2,0,0,0,0,0,0,0,19,0.304,0.333,0.667,6.35,0.09,0.059,,1일,0,1.24,1.1
채병용,2018,07-03,@넥센,W 9:3,0,0,4,3,0,0,0,0,0,0,1,1,12,0.269,0.250,0.250,5.40,0.56,0.007,,7+일,0,1.05,1.0
채병용,2018,07-04,@넥센,L 6:7,0,0,4,3,0,0,0,0,1,0,0,2,16,0.241,0.250,0.250,4.70,1.57,0.036,,1일,0,1.04,1.0
채병용,2018,07-06,한화,W 6:0,0,0,3,3,0,0,0,0,0,0,0,2,15,0.219,0.000,0.000,4.15,0.56,0.002,,2일,0,0.92,1.0
채병용,2018,07-08,한화,L 2:5,1,1,5,4,2,0,0,0,1,0,0,0,16,0.250,0.600,1.100,4.66,-0.45,-0.033,,2일,0,1.14,1.0
채병용,2018,07-12,@LG,W 7:4,0,0,3,2,0,0,0,0,1,0,0,0,12,0.237,0.333,0.333,4.35,0.97,0.111,,4일,0,1.16,0.2
채병용,2018,07-18,NC,L 3:4,0,0,2,2,0,0,0,0,0,0,0,0,7,0.225,0.000,0.000,4.09,0.57,0.057,,6일,0,1.09,0.2
채병용,2018,07-21,@롯데,W 4:3,0,0,3,2,0,0,0,0,0,0,0,0,13,0.214,0.000,0.000,3.75,0.57,0.326,SV,3일,0,1.00,1.0
채병용,2018,07-25,두산,W 11:5,0,0,6,5,0,0,0,0,1,0,0,2,23,0.191,0.167,0.167,3.29,2.21,0.090,W,4일,0,0.95,1.2
채병용,2018,07-28,@NC,W 7:3,0,0,4,3,0,0,0,0,1,0,0,0,13,0.180,0.250,0.250,3.07,0.56,0.055,,3일,0,0.95,1.0
채병용,2018,07-29,@NC,L 3:4,1,1,4,4,1,0,0,1,0,0,0,2,14,0.185,0.250,1.250,3.45,-0.45,-0.160,L,1일,0,0.96,1.0
채병용,2018,08-01,넥센,W 14:8,1,1,3,3,3,0,0,0,0,0,0,0,8,0.228,1.000,2.000,4.02,-2.02,-0.073,,3일,0,1.15,0.0
채병용,2018,08-04,@LG,W 9:2,0,0,7,7,1,1,0,0,0,0,0,1,22,0.219,0.143,0.429,3.57,2.13,0.017,,3일,0,1.08,2.0
채병용,2018,08-07,삼성,L 8:10,0,0,8,7,1,0,0,0,1,0,0,0,31,0.211,0.250,0.393,3.20,1.11,0.108,,3일,0,1.07,2.0
채병용,2018,08-09,@NC,L 3:6,1,1,7,7,3,1,0,1,0,0,0,1,26,0.231,0.429,1.429,3.38,-0.87,-0.050,,2일,0,1.13,1.2
채병용,2018,08-11,KIA,L 4:18,0,0,5,5,2,0,0,0,0,0,0,0,22,0.241,0.400,0.800,3.22,0.56,0.003,,2일,0,1.16,1.0
채병용,2018,08-12,KIA,L 8:21,2,2,10,10,4,1,0,0,0,0,0,0,31,0.258,0.400,0.900,3.70,-0.89,0.000,,1일,0,1.23,2.0
채병용,2018,08-15,@두산,W 12:2,0,0,3,3,0,0,0,0,0,0,0,0,17,0.250,0.000,0.000,3.55,0.56,0.003,,3일,0,1.18,1.0
채병용,2018,09-04,넥센,L 3:7,1,1,6,6,2,0,0,1,0,0,0,1,15,0.255,0.333,1.167,3.67,-0.15,-0.015,,7+일,0,1.19,1.2
채병용,2018,09-06,@롯데,L 0:10,1,1,3,2,1,1,0,0,1,0,0,0,15,0.260,0.667,1.667,3.95,-1.46,-0.072,,2일,0,1.24,0.1
채병용,2018,09-20,한화,L 2:8,1,1,4,3,1,0,0,1,1,0,0,0,13,0.262,0.500,1.833,4.23,-1.75,-0.077,,7+일,0,1.30,0.1
채병용,2018,09-22,@넥센,L 2:8,0,0,2,2,0,0,0,0,0,0,0,0,7,0.257,0.000,0.000,4.13,0.57,0.001,,2일,0,1.27,0.2
채병용,2018,09-25,LG,D :,1,1,2,2,2,1,0,1,0,0,0,0,6,0.270,1.000,4.000,4.45,-2.48,-0.440,,3일,0,1.34,0.0
채병용,2018,09-28,NC,W 6:2,2,2,2,2,2,0,0,1,0,0,0,0,3,0.283,1.000,3.500,5.08,-2.00,-0.012,,3일,0,1.41,0.0
채병용,2018,10-04,KIA,L 3:7,0,0,4,4,1,0,0,0,0,0,0,0,16,0.282,0.250,0.500,4.91,0.56,0.004,,6일,0,1.40,1.0
채병용,2018,10-10,@두산,W 12:5,0,0,1,1,0,0,0,0,0,0,0,0,1,0.280,0.000,0.000,4.80,1.24,0.003,,6일,0,1.37,0.2
