Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
최동환,2019,03-30,롯데,L 1:7,0,0,6,6,0,0,0,0,0,0,0,1,20,0.000,0.000,0.000,0.00,1.11,0.001,,7+일,0,0.00,2.0
최동환,2019,04-02,@한화,L 2:6,0,0,3,3,0,0,0,0,0,0,0,1,14,0.000,0.000,0.000,0.00,0.56,0.003,,3일,0,0.00,1.0
최동환,2019,04-03,@한화,W 7:0,0,0,4,3,0,0,0,0,0,0,1,1,11,0.000,0.250,0.250,0.00,0.56,0.001,,1일,0,0.00,1.0
최동환,2019,04-05,@KT,W 13:0,0,0,5,5,1,0,0,0,0,0,0,2,22,0.059,0.200,0.400,0.00,0.56,0.000,,2일,0,0.20,1.0
최동환,2019,04-14,두산,L 0:8,1,0,1,0,0,0,0,0,1,0,0,0,6,0.059,1.000,0.000,0.00,-2.33,-0.057,,7+일,0,0.40,0.0
최동환,2019,04-19,키움,L 3:13,0,0,4,3,0,0,0,0,1,0,0,1,19,0.050,0.250,0.250,0.00,0.56,0.000,,5일,0,0.50,1.0
최동환,2019,04-23,KIA,W 9:2,0,0,4,4,1,1,0,0,0,0,0,1,14,0.083,0.250,0.750,0.00,0.56,0.001,,4일,0,0.57,1.0
최동환,2019,04-30,KT,W 10:9,1,1,6,5,1,0,0,1,1,0,0,0,24,0.103,0.333,1.133,1.08,-0.46,-0.300,,7일,0,0.72,1.1
최동환,2019,05-02,KT,W 5:4,0,0,10,10,1,0,0,0,0,0,0,3,29,0.103,0.100,0.200,0.79,1.67,0.269,W,2일,0,0.62,3.0
최동환,2019,05-05,@두산,L 2:11,0,0,7,7,1,0,0,0,0,0,0,1,26,0.109,0.143,0.286,0.68,1.11,0.010,,3일,0,0.60,2.0
최동환,2019,05-07,@키움,W 12:10,2,2,9,8,3,2,0,1,1,0,0,0,27,0.148,0.444,1.444,1.80,-0.47,-0.135,,2일,0,0.80,1.2
최동환,2019,05-17,NC,L 2:13,4,4,11,10,5,2,0,0,1,0,0,2,43,0.203,0.546,1.246,3.78,-3.15,-0.026,,7+일,0,1.08,1.2
최동환,2019,06-04,KT,W 8:4,2,2,6,6,3,1,0,1,0,0,0,0,14,0.229,0.500,1.667,4.58,-1.45,0.003,,7+일,0,1.19,1.0
최동환,2019,07-31,키움,L 0:8,2,2,12,11,4,1,0,0,1,0,0,0,38,0.247,0.417,0.871,4.95,-0.50,-0.001,,7+일,0,1.30,2.1
최동환,2019,08-22,NC,L 2:5,0,0,3,3,0,0,0,0,0,0,0,0,10,0.238,0.000,0.000,4.71,0.56,0.008,,7+일,0,1.24,1.0
최동환,2019,08-24,KT,W 12:8,3,3,5,2,1,0,0,1,2,0,1,0,20,0.244,0.800,2.800,5.91,-3.02,-0.007,,2일,0,1.36,0.1
최동환,2019,09-11,@한화,L 5:9,1,1,6,5,2,0,0,0,1,0,0,0,16,0.253,0.500,0.900,6.04,-0.45,-0.005,,7+일,0,1.43,1.0
최동환,2019,09-27,NC,L 0:3,1,1,5,3,2,0,0,0,1,0,1,0,19,0.266,0.800,1.467,6.26,-0.91,-0.063,,7+일,0,1.52,0.2
