Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
弥己绕,2018,03-25,@NC,L 1:7,0,0,5,4,0,0,0,0,1,0,0,0,16,0.000,0.200,0.200,0.00,1.02,0.006,,7+老,0,0.75,1.1
弥己绕,2018,03-28,@池季,W 9:3,0,0,5,4,0,0,0,0,1,0,0,2,17,0.000,0.200,0.200,0.00,0.88,0.059,,3老,0,0.75,1.1
弥己绕,2018,04-01,KIA,W 6:5,0,0,1,1,1,0,0,0,0,0,0,0,4,0.111,1.000,2.000,0.00,-0.29,-0.029,,4老,0,1.13,0.0
弥己绕,2018,04-03,@滴魂,L 4:5,0,0,1,1,1,1,0,0,0,0,0,0,2,0.200,1.000,3.000,0.00,-1.50,-0.292,,2老,0,1.50,0.0
弥己绕,2018,04-07,@吩单,L 2:7,0,0,5,4,2,1,0,0,0,0,0,0,17,0.286,0.500,1.250,0.00,0.56,0.005,,4老,0,1.64,1.0
弥己绕,2018,04-13,KT,W 3:1,0,0,3,3,1,0,0,0,0,0,0,1,6,0.294,0.333,0.667,0.00,0.30,0.039,,6老,0,1.62,0.2
弥己绕,2018,04-15,KT,W 11:8,0,0,4,3,1,1,0,0,1,0,0,1,15,0.300,0.500,1.167,0.00,0.56,0.005,,2老,0,1.69,1.0
弥己绕,2018,04-17,@KIA,L 4:5,0,0,5,4,0,0,0,0,1,0,0,1,26,0.250,0.200,0.200,0.00,1.35,0.099,,2老,0,1.43,1.2
弥己绕,2018,04-18,@KIA,L 3:4,0,0,4,4,1,0,0,0,0,0,0,1,15,0.250,0.250,0.500,0.00,0.56,0.088,,1老,0,1.38,1.0
弥己绕,2018,04-21,@NC,W 6:3,1,1,2,2,1,0,0,1,0,0,0,1,13,0.267,0.500,2.500,1.08,-0.88,-0.036,,3老,0,1.44,0.1
弥己绕,2018,04-26,池季,W 11:1,0,0,2,2,0,0,0,0,0,0,0,1,8,0.250,0.000,0.000,0.96,2.42,0.003,,5老,0,1.29,1.0
弥己绕,2018,04-28,伙己,W 6:4,0,0,2,0,0,0,0,0,2,0,0,0,11,0.250,1.000,0.000,0.96,-1.68,-0.143,,2老,0,1.50,0.0
弥己绕,2018,04-29,伙己,L 7:8,0,0,2,2,0,0,0,0,0,0,0,1,8,0.235,0.000,0.000,0.90,0.30,0.060,,1老,0,1.40,0.2
弥己绕,2018,05-01,@茄拳,L 5:6,0,0,4,3,1,0,0,0,0,0,1,1,16,0.243,0.500,0.833,0.84,0.09,0.002,,2老,0,1.41,0.2
弥己绕,2018,05-04,滴魂,L 8:11,2,2,3,2,1,0,0,1,1,0,0,0,11,0.256,0.667,2.667,2.45,-1.02,-0.129,,3老,0,1.55,0.1
弥己绕,2018,05-06,滴魂,L 5:13,0,0,3,3,0,0,0,0,0,0,0,2,15,0.238,0.000,0.000,2.25,0.56,0.000,,2老,0,1.42,1.0
弥己绕,2018,05-11,@SK,W 14:9,0,0,2,2,0,0,0,0,0,0,0,0,6,0.227,0.000,0.000,2.13,0.44,0.059,,5老,0,1.34,0.2
弥己绕,2018,05-16,@伙己,W 8:7,0,0,1,1,1,0,0,0,0,0,0,0,5,0.244,1.000,2.000,2.13,-0.22,-0.039,,5老,0,1.42,0.0
弥己绕,2018,05-18,茄拳,L 3:4,0,0,3,2,0,0,0,0,1,0,0,0,10,0.234,0.333,0.333,2.03,0.21,0.026,,2老,0,1.43,0.2
弥己绕,2018,05-22,NC,W 6:1,0,0,4,4,1,0,0,0,0,0,0,0,15,0.235,0.250,0.500,1.88,0.56,0.070,,4老,0,1.40,1.0
弥己绕,2018,05-25,@KT,L 7:13,1,1,3,3,1,0,0,1,0,0,0,1,7,0.241,0.333,1.667,2.40,-1.43,-0.094,,3老,0,1.40,0.2
弥己绕,2018,05-29,@吩单,W 5:3,0,0,2,2,0,0,0,0,0,0,0,0,5,0.232,0.000,0.000,2.30,0.60,0.044,,4老,0,1.34,0.2
弥己绕,2018,05-31,@吩单,W 11:10,1,1,4,3,2,1,0,0,1,1,0,0,10,0.254,0.750,1.750,2.81,-1.75,-0.283,,2老,0,1.50,0.1
弥己绕,2018,06-06,茄拳,L 1:5,2,2,4,4,2,0,0,1,0,0,0,1,12,0.270,0.500,1.750,3.78,-2.28,-0.130,,6老,0,1.56,0.2
