Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
최영환,2019,05-03,SK,L 7:11,0,0,4,4,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000,0.00,0.56,0.004,,7+일,0,0.00,1.0
최영환,2019,05-07,@KT,L 2:7,2,2,7,7,2,0,0,0,0,0,0,2,27,0.182,0.286,0.571,6.00,0.11,-0.003,,4일,0,0.67,2.0
최영환,2019,05-09,@KT,W 13:6,1,1,9,7,2,1,0,0,1,0,1,2,40,0.222,0.444,0.873,5.79,-0.15,0.001,,2일,0,1.07,1.2
최영환,2019,05-12,@삼성,W 10:9,2,2,10,7,2,0,0,0,3,0,0,2,45,0.240,0.500,0.786,7.11,-0.89,-0.079,,3일,0,1.58,1.2
최영환,2019,05-17,@키움,L 0:7,1,0,7,7,1,1,0,0,0,0,0,2,24,0.219,0.143,0.429,5.40,0.11,0.000,,5일,0,1.32,2.0
최영환,2019,05-23,@KIA,L 1:3,0,0,5,5,1,0,0,0,0,0,0,2,26,0.216,0.200,0.400,4.50,0.99,0.084,,6일,0,1.20,1.2
최영환,2019,05-26,LG,L 2:11,1,1,7,6,1,1,0,0,1,0,0,2,27,0.209,0.286,0.619,4.63,-0.98,-0.001,,3일,0,1.20,1.2
최영환,2019,07-02,@SK,L 1:10,3,3,11,9,3,2,0,0,2,0,0,3,48,0.231,0.455,1.010,5.93,-1.89,-0.009,,7+일,0,1.39,2.0
최영환,2019,09-01,@KIA,L 2:4,0,0,1,1,1,0,0,0,0,0,0,0,5,0.245,1.000,2.000,5.79,0.47,0.012,,7+일,0,1.43,0.1
최영환,2019,09-04,삼성,L 0:8,0,0,6,6,0,0,0,0,0,0,0,3,23,0.220,0.000,0.000,5.06,2.13,0.005,,3일,0,1.25,2.0
최영환,2019,09-07,@한화,L 1:5,1,1,5,4,2,0,0,0,0,0,0,1,20,0.238,0.400,0.900,5.29,-0.45,-0.022,,3일,0,1.29,1.0
최영환,2019,09-13,SK,W 1:0,0,0,1,0,0,0,0,0,1,0,0,0,7,0.238,1.000,0.000,5.29,-0.40,-0.087,,6일,0,1.35,0.0
최영환,2019,09-14,@한화,L 2:5,1,1,5,3,1,1,0,0,1,0,0,0,10,0.242,0.500,1.167,5.50,-0.45,-0.027,,1일,0,1.39,1.0
최영환,2019,09-20,KT,L 0:7,1,1,4,4,1,0,0,1,0,0,0,1,19,0.243,0.250,1.250,5.68,-0.45,-0.059,,6일,0,1.37,1.0
최영환,2019,09-25,두산,L 0:7,2,2,6,5,4,2,0,0,0,0,0,0,21,0.280,0.667,1.867,6.41,-3.03,-0.100,,5일,0,1.53,0.2
