Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
최원태,2017,04-04,@롯데,L 2:5,5,5,24,24,8,1,0,2,0,0,0,5,84,0.333,0.333,0.958,7.50,-1.67,-0.289,L,7+일,1,1.33,6.0
최원태,2017,04-09,@두산,W 13:2,2,2,27,24,3,0,0,1,3,0,0,5,88,0.229,0.222,0.472,4.85,1.89,0.061,W,5일,1,1.08,7.0
최원태,2017,04-15,@KIA,L 2:5,5,5,30,30,11,1,0,1,0,0,0,1,89,0.282,0.367,0.867,5.40,-1.12,-0.229,L,6일,1,1.25,7.0
최원태,2017,04-21,롯데,W 4:1,0,0,23,22,2,0,0,0,1,0,0,6,87,0.240,0.130,0.221,4.00,3.89,0.439,W,6일,1,1.04,7.0
최원태,2017,04-27,두산,W 7:3,3,3,31,30,7,0,0,2,1,0,0,7,109,0.238,0.258,0.691,3.86,1.44,0.073,W,6일,1,1.03,8.0
최원태,2017,05-03,KIA,L 1:2,2,2,28,24,4,2,1,0,3,0,0,6,102,0.227,0.259,0.593,3.64,1.89,0.102,L,6일,1,1.02,7.0
최원태,2017,05-10,@NC,L 0:3,3,3,25,25,7,2,0,0,0,0,0,8,109,0.235,0.280,0.640,3.75,0.33,-0.066,L,7일,1,1.04,6.0
최원태,2017,05-16,한화,W 2:1,1,0,27,26,4,0,0,0,0,0,0,8,94,0.224,0.154,0.308,3.21,3.44,0.427,W,6일,1,0.96,8.0
최원태,2017,05-21,@kt,L 4:13,9,9,21,17,9,2,1,1,2,0,1,1,71,0.248,0.600,1.541,4.45,-7.80,-0.447,L,5일,1,1.11,2.2
최원태,2017,05-27,삼성,W 7:4,4,4,26,25,7,1,1,1,1,0,0,3,97,0.251,0.308,0.828,4.59,-0.67,-0.168,,6일,1,1.13,6.0
최원태,2017,06-02,두산,L 4:15,9,9,21,18,9,3,0,1,3,0,0,3,80,0.268,0.571,1.405,5.59,-7.34,-0.425,L,6일,1,1.26,3.0
최원태,2017,06-08,@SK,W 6:2,2,2,24,21,5,1,0,0,1,0,2,8,99,0.266,0.333,0.619,5.38,1.33,0.160,W,6일,1,1.24,6.0
최원태,2017,06-14,NC,W 8:4,3,3,24,21,7,0,0,1,0,0,2,5,85,0.270,0.375,0.851,5.38,-0.23,-0.037,W,6일,1,1.25,5.0
최원태,2017,06-20,@한화,L 5:6,5,5,26,23,6,1,0,1,1,0,2,2,89,0.270,0.346,0.781,5.53,-1.67,-0.096,,6일,1,1.24,6.0
최원태,2017,07-06,한화,W 13:6,4,4,26,25,9,0,0,3,1,0,0,7,92,0.276,0.385,1.105,5.56,-0.67,0.039,W,7+일,1,1.27,6.0
최원태,2017,07-12,@두산,L 3:4,1,1,22,21,6,1,0,0,1,0,0,3,87,0.277,0.318,0.652,5.33,1.99,0.203,,6일,1,1.27,5.2
최원태,2017,07-21,kt,W 2:0,0,0,28,27,6,0,0,0,1,0,0,7,107,0.273,0.250,0.472,4.96,3.89,0.464,W,7+일,1,1.25,7.0
최원태,2017,07-27,@LG,L 3:4,2,2,25,22,7,0,0,0,1,0,1,6,111,0.275,0.375,0.693,4.87,1.08,0.097,,6일,1,1.26,5.2
최원태,2017,08-02,SK,W 5:4,4,4,23,19,9,1,0,2,4,0,0,2,100,0.284,0.565,1.407,5.02,-1.78,-0.221,,6일,1,1.33,4.0
최원태,2017,08-08,@KIA,W 5:3,2,2,26,24,8,3,0,0,1,0,1,0,90,0.286,0.385,0.843,4.92,1.33,0.186,W,6일,1,1.34,6.0
최원태,2017,08-13,한화,W 9:1,1,1,27,26,5,0,0,1,1,0,0,6,91,0.281,0.222,0.530,4.71,2.89,0.218,W,5일,1,1.31,7.0
최원태,2017,08-19,NC,W 4:3,2,2,26,23,5,2,0,0,3,0,0,9,98,0.279,0.308,0.612,4.62,2.91,0.204,W,6일,1,1.31,6.1
최원태,2017,08-25,@두산,L 3:4,1,1,24,19,5,0,0,0,3,0,2,7,104,0.278,0.417,0.680,4.52,1.78,0.192,,6일,1,1.32,5.0
최원태,2017,08-31,@LG,W 5:3,3,2,29,24,5,1,0,2,1,0,1,7,104,0.275,0.259,0.759,4.43,0.89,-0.074,,6일,1,1.30,7.0
최원태,2017,09-06,@kt,L 4:5,3,3,24,23,7,2,0,0,1,0,0,4,83,0.276,0.333,0.725,4.46,-0.09,-0.106,L,6일,1,1.31,5.0
