Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
ÃÖÁö±¤,2020,05-06,NC,L 3:4,0,0,5,3,0,0,0,0,2,0,0,0,22,0.000,0.400,0.400,0.00,0.56,0.028,,7+ÀÏ,0,2.00,1.0
ÃÖÁö±¤,2020,05-08,KIA,W 5:0,0,0,6,5,2,0,0,0,1,0,0,1,19,0.250,0.500,0.900,0.00,0.56,0.012,,2ÀÏ,0,2.50,1.0
ÃÖÁö±¤,2020,05-09,KIA,W 14:2,0,0,3,3,1,0,0,0,0,0,0,0,14,0.273,0.333,0.667,0.00,0.56,0.042,,1ÀÏ,0,2.00,1.0
ÃÖÁö±¤,2020,05-12,@Å°¿ò,L 2:3,0,0,1,1,0,0,0,0,0,0,0,0,6,0.250,0.000,0.000,0.00,0.57,0.024,,3ÀÏ,0,1.64,0.2
ÃÖÁö±¤,2020,05-13,@Å°¿ò,W 5:0,0,0,4,3,0,0,0,0,1,0,0,3,20,0.200,0.250,0.250,0.00,0.56,0.028,,1ÀÏ,0,1.50,1.0
ÃÖÁö±¤,2020,05-17,@KT,L 2:9,0,0,3,3,0,0,0,0,0,0,0,0,14,0.167,0.000,0.000,0.00,0.56,0.001,,4ÀÏ,0,1.24,1.0
ÃÖÁö±¤,2020,05-20,LG,W 3:1,0,0,6,5,1,0,0,0,1,0,0,3,26,0.174,0.333,0.533,0.00,0.81,0.107,,3ÀÏ,0,1.29,1.1
ÃÖÁö±¤,2020,05-24,µÎ»ê,W 13:0,0,0,4,4,1,0,0,0,0,0,0,2,18,0.185,0.250,0.500,0.00,0.56,0.006,,4ÀÏ,0,1.25,1.0
ÃÖÁö±¤,2020,05-28,@·Ôµ¥,W 3:1,0,0,3,3,0,0,0,0,0,0,0,1,13,0.167,0.000,0.000,0.00,0.56,0.055,,4ÀÏ,0,1.11,1.0
ÃÖÁö±¤,2020,05-29,NC,W 5:4,0,0,4,3,0,0,0,0,1,0,0,1,19,0.152,0.250,0.250,0.00,0.56,0.052,,1ÀÏ,0,1.10,1.0
ÃÖÁö±¤,2020,06-02,@LG,W 2:0,0,0,3,3,0,0,0,0,0,0,0,2,13,0.139,0.000,0.000,0.00,0.56,0.089,,4ÀÏ,0,1.00,1.0
ÃÖÁö±¤,2020,06-05,@SK,L 1:4,2,2,6,3,1,1,0,0,2,1,0,2,22,0.154,0.600,1.267,1.50,-1.45,-0.098,,3ÀÏ,0,1.17,1.0
ÃÖÁö±¤,2020,06-07,@SK,W 3:0,0,0,4,4,1,0,0,0,0,0,0,3,17,0.163,0.250,0.500,1.38,0.56,0.051,,2ÀÏ,0,1.15,1.0
ÃÖÁö±¤,2020,06-10,Å°¿ò,W 4:1,0,0,3,3,0,0,0,0,0,0,0,0,15,0.152,0.000,0.000,1.29,0.56,0.046,,3ÀÏ,0,1.07,1.0
ÃÖÁö±¤,2020,06-11,Å°¿ò,W 6:3,0,0,3,3,0,0,0,0,0,0,0,3,15,0.143,0.000,0.000,1.20,0.56,0.046,,1ÀÏ,0,1.00,1.0
ÃÖÁö±¤,2020,06-13,KT,W 5:3,0,0,2,1,0,0,0,0,1,0,0,0,7,0.140,0.500,0.500,1.17,0.25,0.033,,2ÀÏ,0,1.04,0.1
