Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
奶府,2020,05-10,@NC,W 10:8,6,5,14,14,8,1,0,0,0,0,0,1,54,0.571,0.571,1.214,22.50,-4.89,-0.370,,7+老,1,4.00,2.0
奶府,2020,05-16,虐框,W 3:1,0,0,23,21,3,1,0,0,2,0,0,5,81,0.314,0.217,0.408,5.63,3.33,0.360,W,6老,1,1.63,6.0
奶府,2020,05-22,KT,W 6:5,4,4,26,25,7,1,0,0,1,0,0,4,87,0.300,0.308,0.628,5.79,-0.67,-0.194,,6老,1,1.50,6.0
奶府,2020,05-28,@茄拳,W 3:0,0,0,25,22,4,1,0,0,3,0,0,10,97,0.268,0.280,0.507,4.05,3.33,0.317,W,6老,1,1.40,6.0
奶府,2020,06-03,伙己,L 6:12,8,8,24,20,7,3,0,1,3,0,1,3,80,0.284,0.458,1.108,6.12,-5.23,-0.559,L,6老,1,1.52,5.0
奶府,2020,06-09,SK,L 3:5,1,1,26,24,4,1,0,1,2,0,0,4,98,0.262,0.231,0.564,5.06,2.89,0.302,,6老,1,1.38,7.0
奶府,2020,06-14,吩单,W 10:6,4,4,26,26,11,2,0,1,0,0,0,1,94,0.289,0.423,1.039,5.21,-0.67,-0.110,W,5老,1,1.45,6.0
奶府,2020,06-20,滴魂,L 2:8,3,3,27,25,6,2,0,1,1,0,1,7,108,0.282,0.296,0.736,5.00,0.89,-0.075,L,6老,1,1.38,7.0
奶府,2020,06-26,@SK,L 0:7,5,4,25,22,5,0,0,1,3,0,0,2,81,0.276,0.320,0.684,5.12,-1.67,-0.137,L,6老,1,1.37,6.0
奶府,2020,07-02,KT,L 3:4,2,2,25,23,8,0,0,2,1,0,1,4,106,0.284,0.400,1.009,4.89,1.33,0.084,,6老,1,1.39,6.0
奶府,2020,07-08,@滴魂,W 8:5,3,3,27,27,9,1,0,0,0,0,0,7,102,0.289,0.333,0.704,4.86,0.33,0.083,W,6老,1,1.40,6.0
奶府,2020,07-14,@吩单,L 0:5,2,2,29,24,7,1,0,0,3,0,0,5,92,0.289,0.357,0.691,4.63,1.89,0.040,L,6老,1,1.40,7.0
奶府,2020,07-19,茄拳,W 6:2,1,1,26,25,6,2,0,0,0,0,1,11,96,0.285,0.269,0.589,4.36,2.59,0.310,,5老,1,1.36,6.1
奶府,2020,07-25,@滴魂,L 3:7,5,5,23,20,6,2,0,1,2,0,0,3,102,0.286,0.348,0.898,4.65,-2.23,-0.327,L,6老,1,1.38,5.0
奶府,2020,07-31,茄拳,L 1:2,1,1,28,27,8,1,0,0,0,0,0,3,94,0.287,0.286,0.619,4.38,2.89,0.250,L,6老,1,1.36,7.0
奶府,2020,08-07,@虐框,W 5:2,2,2,29,25,5,2,0,0,2,0,1,6,100,0.281,0.276,0.556,4.25,1.89,0.208,W,7老,1,1.33,7.0
奶府,2020,08-13,KIA,W 4:2,2,1,26,25,4,1,0,1,1,0,0,5,94,0.273,0.192,0.512,4.05,1.89,0.208,W,6老,1,1.29,7.0
奶府,2020,08-19,KIA,W 10:1,1,1,25,23,6,0,0,0,2,0,0,6,100,0.273,0.320,0.581,3.90,2.33,0.150,W,6老,1,1.29,6.0
奶府,2020,08-25,@伙己,L 3:4,4,4,24,24,6,1,0,2,0,0,0,3,84,0.271,0.250,0.792,4.01,-0.67,-0.204,L,6老,1,1.28,6.0
奶府,2020,08-30,滴魂,W 4:1,0,0,20,20,4,1,0,0,0,0,0,2,87,0.268,0.200,0.450,3.81,3.33,0.327,W,5老,1,1.25,6.0
奶府,2020,09-10,虐框,W 6:1,1,1,25,22,5,1,0,1,2,0,0,7,102,0.267,0.292,0.701,3.70,2.33,0.242,W,7+老,1,1.24,6.0
奶府,2020,09-16,@茄拳,W 11:5,1,1,25,22,5,0,1,0,2,0,1,7,98,0.265,0.320,0.638,3.60,2.33,0.018,W,6老,1,1.24,6.0
奶府,2020,09-22,SK,W 7:2,2,2,22,21,3,0,0,1,1,0,0,5,98,0.260,0.182,0.468,3.58,1.33,0.041,W,6老,1,1.21,6.0
奶府,2020,09-27,@KT,L 4:5,3,3,29,22,5,1,0,1,5,0,1,1,94,0.259,0.393,0.802,3.59,0.89,0.129,,5老,1,1.22,7.0
奶府,2020,10-03,@KT,W 7:2,2,2,27,26,7,1,0,1,1,0,0,7,104,0.259,0.296,0.719,3.54,1.89,0.082,W,6老,1,1.22,7.0
奶府,2020,10-09,NC,W 4:0,0,0,32,28,2,0,0,0,1,0,3,6,112,0.250,0.188,0.259,3.35,5.00,0.349,W SHO,6老,1,1.17,9.0
奶府,2020,10-16,KIA,W 9:0,0,0,21,21,2,1,0,0,0,0,0,7,89,0.245,0.095,0.238,3.23,3.33,0.169,W,7老,1,1.14,6.0
奶府,2020,10-23,@KIA,W 8:4,4,4,26,23,7,1,0,1,2,0,1,2,87,0.247,0.385,0.863,3.32,-0.67,-0.053,W,7老,1,1.15,6.0
奶府,2020,11-02,虐框,W 4:3,2,2,25,24,3,1,0,1,1,0,0,10,97,0.125,0.160,0.452,2.57,1.89,0.093,,7+老,1,0.57,7.0
