Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
쿠에바스,2020,05-06,롯데,L 4:9,6,6,23,20,6,1,0,1,0,0,1,5,81,0.300,0.304,0.804,10.80,-3.23,-0.312,L,7+일,1,1.20,5.0
쿠에바스,2020,05-13,@NC,L 4:5,1,1,25,20,4,1,0,1,2,0,2,4,105,0.250,0.333,0.733,5.73,2.33,0.159,,7일,1,1.09,6.0
쿠에바스,2020,05-19,한화,W 13:11,4,4,27,24,5,1,0,0,1,0,2,7,102,0.234,0.296,0.546,5.71,0.91,0.067,W,6일,1,1.04,6.1
쿠에바스,2020,05-24,@LG,L 7:9,4,4,31,27,7,1,0,0,3,0,1,5,105,0.242,0.355,0.651,5.55,-0.12,0.017,,5일,1,1.15,7.0
쿠에바스,2020,05-30,@키움,L 3:14,5,5,23,21,8,1,0,2,2,0,0,2,93,0.268,0.435,1.149,6.28,-1.95,-0.301,L,6일,1,1.33,4.1
쿠에바스,2020,06-21,롯데,W 3:2,0,0,25,25,5,0,0,0,0,0,0,5,85,0.255,0.200,0.400,5.05,3.89,0.377,W,7+일,1,1.21,7.0
쿠에바스,2020,06-27,@한화,W 7:2,2,2,25,22,5,0,0,0,3,0,0,4,102,0.252,0.320,0.547,4.75,1.33,0.173,W,6일,1,1.22,6.0
쿠에바스,2020,07-04,키움,L 6:10,5,5,25,23,7,2,0,1,1,0,0,3,93,0.258,0.320,0.842,5.06,-1.84,-0.244,,7일,1,1.23,6.1
쿠에바스,2020,07-10,삼성,W 8:3,1,1,26,22,5,1,1,0,4,0,0,6,115,0.255,0.346,0.710,4.67,2.33,0.191,W,6일,1,1.26,6.0
쿠에바스,2020,07-16,한화,W 4:1,1,1,25,25,5,0,0,0,0,0,0,7,97,0.249,0.200,0.400,4.28,2.89,0.273,W,6일,1,1.20,7.0
쿠에바스,2020,07-24,NC,L 2:3,1,1,25,23,3,1,0,1,1,0,0,9,106,0.238,0.167,0.471,3.97,2.89,0.305,,7+일,1,1.13,7.0
쿠에바스,2020,07-31,SK,W 11:1,0,0,13,9,1,0,0,0,4,0,0,2,70,0.234,0.385,0.496,3.82,0.85,0.070,,7일,1,1.16,2.2
쿠에바스,2020,08-06,@키움,L 2:3,3,3,25,20,6,2,0,1,3,0,0,2,102,0.238,0.375,0.925,3.89,-0.14,-0.125,L,6일,1,1.19,5.2
쿠에바스,2020,08-12,SK,L 2:11,5,5,14,12,3,1,0,1,2,0,0,1,56,0.239,0.357,0.941,4.31,-3.34,-0.356,L,6일,1,1.21,3.0
쿠에바스,2020,08-18,@삼성,W 6:3,2,1,26,21,4,2,0,0,3,0,1,3,103,0.236,0.308,0.593,4.11,1.33,0.053,,6일,1,1.21,6.0
쿠에바스,2020,08-24,NC,W 8:1,0,0,25,23,5,0,0,0,1,0,1,2,87,0.234,0.280,0.497,3.84,3.33,0.352,W,6일,1,1.19,6.0
쿠에바스,2020,08-30,@KIA,L 5:7,6,3,29,27,9,2,0,1,2,0,0,1,92,0.242,0.379,0.898,3.88,-2.67,-0.456,L,6일,1,1.23,6.0
쿠에바스,2020,09-05,@키움,W 8:1,1,1,31,31,5,1,0,0,0,0,0,7,118,0.235,0.161,0.355,3.65,3.36,0.217,W,6일,1,1.18,8.2
쿠에바스,2020,09-11,@NC,L 1:9,8,8,26,24,10,4,0,2,2,0,0,4,107,0.246,0.462,1.295,4.15,-4.76,-0.320,L,6일,1,1.24,4.2
쿠에바스,2020,09-17,두산,W 3:0,0,0,30,30,6,0,0,0,0,0,0,4,98,0.243,0.200,0.400,3.87,4.44,0.370,W,6일,1,1.21,8.0
쿠에바스,2020,09-23,@롯데,W 10:5,3,3,24,21,8,0,0,1,3,0,0,3,98,0.249,0.458,0.982,3.93,-1.66,-0.122,W,6일,1,1.25,5.0
쿠에바스,2020,09-29,@삼성,W 4:1,1,1,32,32,9,0,0,0,0,0,0,7,109,0.251,0.281,0.563,3.76,3.44,0.366,W,6일,1,1.24,8.0
쿠에바스,2020,10-04,LG,L 8:13,6,5,27,21,6,3,0,1,2,0,1,4,99,0.252,0.346,0.918,3.92,-2.67,-0.394,,5일,1,1.24,6.0
쿠에바스,2020,10-10,두산,L 8:13,6,6,17,13,4,1,0,2,4,0,0,1,51,0.254,0.471,1.317,4.21,-3.51,-0.395,L,6일,1,1.27,3.1
쿠에바스,2020,10-15,키움,L 0:4,4,1,26,24,5,0,0,0,1,0,0,7,99,0.252,0.240,0.448,4.10,-0.67,-0.149,L,5일,1,1.26,6.0
쿠에바스,2020,10-22,@두산,W 17:5,2,2,13,11,4,0,0,0,2,0,0,1,46,0.254,0.462,0.825,4.14,-0.34,-0.087,,7일,1,1.27,3.0
쿠에바스,2020,10-28,@KIA,L 3:4,3,3,30,29,7,1,0,1,0,0,0,4,99,0.253,0.233,0.613,4.10,1.44,-0.016,,6일,1,1.25,8.0
쿠에바스,2020,11-09,두산,L 2:3,2,2,4,2,1,0,0,0,0,0,1,0,11,0.500,0.667,1.167,27.00,0.02,-0.001,,7+일,0,1.50,0.2
쿠에바스,2020,11-12,@두산,W 5:2,1,1,28,26,3,0,0,1,0,0,0,2,103,0.143,0.115,0.346,3.12,3.44,0.449,W,3일,1,0.46,8.0
