Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
≈ËΩº,2019,03-26,ªÔº∫,W 7:2,0,0,21,19,2,1,0,0,2,0,0,5,82,0.105,0.191,0.348,0.00,2.94,0.263,W,7+¿œ,1,0.71,5.2
≈ËΩº,2019,03-31,@LG,L 5:6,1,1,26,25,4,0,0,0,0,0,1,4,97,0.136,0.192,0.352,0.71,2.89,0.279,,5¿œ,1,0.63,7.0
≈ËΩº,2019,04-06,«—»≠,W 9:7,6,6,24,21,7,1,0,1,2,0,0,9,98,0.200,0.375,0.899,3.57,-3.23,-0.361,,6¿œ,1,0.96,5.0
≈ËΩº,2019,04-12,@NC,L 1:2,1,1,26,24,4,0,0,1,2,0,0,9,112,0.191,0.231,0.522,2.92,2.89,0.322,,6¿œ,1,0.93,7.0
≈ËΩº,2019,04-19,KT,L 5:6,5,5,27,24,7,2,0,0,2,0,0,5,113,0.212,0.346,0.721,3.82,-1.67,-0.239,,7¿œ,1,1.04,6.0
≈ËΩº,2019,04-26,@µŒªÍ,L 8:11,6,4,21,17,5,1,1,0,2,0,1,6,90,0.223,0.381,0.852,4.41,-3.78,-0.315,L,7¿œ,1,1.13,4.0
≈ËΩº,2019,05-02,NC,L 6:7,2,2,24,21,5,0,0,0,2,0,1,4,100,0.225,0.333,0.571,4.31,0.78,0.041,,6¿œ,1,1.16,5.0
≈ËΩº,2019,05-08,@KT,L 4:5,5,5,25,19,5,2,0,0,6,0,0,4,109,0.229,0.440,0.808,4.87,-2.57,-0.357,L,6¿œ,1,1.29,4.2
≈ËΩº,2019,05-14,LG,W 4:0,0,0,31,29,3,0,0,0,2,0,0,8,107,0.211,0.161,0.265,4.05,5.00,0.349,W SHO,6¿œ,1,1.16,9.0
≈ËΩº,2019,05-19,@≈∞øÚ,L 3:9,7,7,15,14,9,1,0,1,1,0,0,1,55,0.239,0.667,1.595,5.04,-5.89,-0.453,L,5¿œ,1,1.30,2.0
≈ËΩº,2019,05-25,LG,L 5:6,2,2,27,23,3,0,0,1,2,0,2,5,97,0.229,0.259,0.520,4.74,2.14,0.214,,6¿œ,1,1.23,7.1
