Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
한기주,2018,03-24,@두산,W 6:3,0,0,3,3,0,0,0,0,0,0,0,0,9,0.000,0.000,0.000,0.00,0.56,0.141,,7+일,0,0.00,1.0
한기주,2018,03-28,@KIA,W 6:0,0,0,4,4,1,1,0,0,0,0,0,0,18,0.143,0.250,0.750,0.00,0.56,0.007,,4일,0,0.50,1.0
한기주,2018,03-30,넥센,L 8:10,0,0,6,5,2,0,0,0,1,0,0,1,26,0.250,0.500,0.900,0.00,0.56,0.107,,2일,0,1.33,1.0
한기주,2018,04-01,넥센,W 6:5,0,0,4,4,0,0,0,0,0,0,0,0,16,0.188,0.000,0.000,0.00,0.56,0.074,,2일,0,1.00,1.0
한기주,2018,04-03,@NC,L 3:4,1,1,1,1,1,0,0,1,0,0,0,0,6,0.235,1.000,5.000,2.25,-1.00,-0.363,L,2일,0,1.25,0.0
한기주,2018,04-07,@SK,L 3:4,0,0,3,3,0,0,0,0,0,0,0,1,11,0.200,0.000,0.000,1.80,0.56,0.137,,4일,0,1.00,1.0
한기주,2018,04-11,두산,L 6:7,0,0,3,3,1,0,0,0,0,0,0,0,12,0.217,0.333,0.667,1.50,0.56,0.017,,4일,0,1.00,1.0
한기주,2018,04-13,@한화,W 4:2,0,0,4,3,0,0,0,0,1,0,0,1,24,0.192,0.250,0.250,1.29,0.56,0.108,,2일,0,1.00,1.0
한기주,2018,04-15,@한화,L 4:7,0,0,4,3,1,0,0,0,0,0,1,0,11,0.207,0.500,0.833,1.13,0.56,0.012,,2일,0,1.00,1.0
한기주,2018,04-17,@롯데,W 11:6,3,0,6,4,2,0,0,1,2,0,0,1,27,0.242,0.667,1.917,1.04,-2.70,-0.074,,2일,0,1.38,0.2
한기주,2018,04-18,@롯데,L 7:9,3,3,4,4,3,0,0,1,0,0,0,0,16,0.297,0.750,2.250,4.00,-2.74,-0.800,L,1일,0,1.67,0.1
한기주,2018,04-22,KT,L 4:6,0,0,3,3,0,0,0,0,0,0,0,1,16,0.275,0.000,0.000,3.60,0.56,0.017,,4일,0,1.50,1.0
한기주,2018,04-25,NC,L 2:9,2,2,4,3,2,0,0,0,0,0,1,1,17,0.302,0.750,1.417,5.06,0.09,0.008,,3일,0,1.59,0.2
한기주,2018,04-26,NC,L 2:5,0,0,4,3,0,0,0,0,0,0,1,2,21,0.283,0.250,0.250,4.63,0.56,0.008,,1일,0,1.46,1.0
한기주,2018,05-01,SK,L 3:12,1,1,10,9,3,2,0,0,0,0,1,0,40,0.291,0.400,0.956,4.61,0.11,0.000,,5일,0,1.46,2.0
한기주,2018,05-05,한화,W 8:3,0,0,3,3,0,0,0,0,0,0,0,2,18,0.276,0.000,0.000,4.30,0.56,0.012,,4일,0,1.36,1.0
한기주,2018,05-10,@KT,L 4:5,0,0,2,2,1,0,0,0,0,0,0,0,9,0.283,0.500,1.000,4.20,-0.02,0.003,,5일,0,1.40,0.1
한기주,2018,05-13,KIA,L 7:8,2,2,9,9,4,1,0,1,0,0,0,2,32,0.304,0.444,1.333,4.76,-0.89,-0.050,,3일,0,1.47,2.0
한기주,2018,05-16,LG,L 7:8,1,1,7,5,2,1,0,0,1,0,0,0,22,0.311,0.429,1.029,4.91,-0.46,-0.029,,3일,0,1.53,1.1
한기주,2018,05-19,@넥센,L 3:6,2,2,10,10,3,1,0,1,0,0,0,3,42,0.310,0.300,1.000,5.23,-0.35,-0.168,L,3일,0,1.50,2.1
한기주,2018,05-26,@두산,L 1:6,1,1,9,9,3,1,0,0,0,0,0,1,31,0.312,0.333,0.778,5.16,0.11,-0.014,,7일,0,1.50,2.0
한기주,2018,05-29,KT,L 4:14,2,2,15,14,4,2,0,0,1,0,0,1,54,0.308,0.333,0.762,5.19,0.05,-0.017,,3일,0,1.50,3.1
한기주,2018,06-03,@NC,W 8:7,0,0,5,4,1,0,0,0,1,0,0,0,18,0.306,0.400,0.650,5.00,0.56,0.045,W,5일,0,1.52,1.0
한기주,2018,06-06,@SK,L 2:7,0,0,7,7,1,0,0,0,0,0,0,3,23,0.297,0.143,0.286,4.66,1.11,0.008,,3일,0,1.45,2.0
한기주,2018,06-08,LG,L 5:9,0,0,8,7,1,0,0,0,1,0,0,4,40,0.288,0.250,0.393,4.31,1.45,0.035,,2일,0,1.40,2.1
한기주,2018,06-15,@넥센,L 2:9,5,5,10,7,4,0,0,0,3,0,0,1,46,0.303,0.700,1.271,5.57,-4.45,-0.347,L,7일,1,1.58,1.0
한기주,2018,06-19,SK,D 6:6,1,1,4,4,1,0,0,1,0,0,0,1,12,0.301,0.250,1.250,5.67,-0.45,-0.074,,4일,0,1.56,1.0
한기주,2018,06-22,두산,W 16:14,3,3,6,6,3,0,0,1,0,0,0,1,23,0.310,0.500,1.500,6.29,-2.45,-0.002,,3일,0,1.60,1.0
한기주,2018,06-24,두산,L 7:12,2,2,7,6,3,2,0,1,0,0,1,0,15,0.318,0.571,1.905,6.62,-1.45,-0.011,,2일,0,1.64,1.0
한기주,2018,06-26,@한화,W 13:2,1,1,4,4,2,1,0,0,0,0,0,0,10,0.322,0.500,1.250,6.69,-0.45,0.000,,2일,0,1.65,1.0
