Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
한현희,2020,05-09,한화,W 5:3,3,3,26,23,8,2,0,1,1,0,1,4,100,0.348,0.400,0.965,4.50,0.33,-0.080,W,7+일,1,1.50,6.0
한현희,2020,05-16,@LG,L 3:5,2,2,23,20,6,1,0,0,2,0,1,7,87,0.326,0.391,0.741,4.09,0.78,0.091,,7일,1,1.55,5.0
한현희,2020,05-21,SK,W 9:8,5,5,24,21,8,0,0,1,2,0,0,2,80,0.344,0.435,0.959,5.63,-2.23,-0.267,,5일,1,1.69,5.0
한현희,2020,05-27,@NC,L 3:10,6,5,23,18,7,0,0,0,4,0,1,2,86,0.354,0.522,0.911,6.64,-2.20,-0.282,L,6일,1,1.87,4.1
한현희,2020,06-02,@한화,W 15:3,3,2,27,27,7,0,0,0,0,0,0,5,95,0.330,0.259,0.519,5.60,-0.12,0.064,W,6일,1,1.65,7.0
한현희,2020,06-07,LG,L 1:8,1,1,23,21,4,0,0,0,1,0,1,3,98,0.308,0.261,0.451,4.96,2.76,0.277,L,5일,1,1.53,5.1
한현희,2020,06-13,@NC,W 18:5,4,4,28,25,9,0,0,0,0,0,3,5,90,0.316,0.429,0.789,5.12,-0.67,0.070,W,6일,1,1.53,6.0
한현희,2020,06-19,SK,W 2:1,1,1,29,28,7,0,0,0,1,0,0,5,98,0.306,0.276,0.526,4.47,3.19,0.222,,6일,1,1.45,7.2
한현희,2020,06-25,@LG,W 8:5,2,2,23,22,5,1,0,0,1,0,0,5,85,0.298,0.261,0.534,4.38,0.78,-0.018,,6일,1,1.42,5.0
한현희,2020,07-01,두산,L 5:14,10,10,17,15,11,2,0,0,2,0,0,0,60,0.327,0.765,1.631,5.94,-9.36,-0.464,L,6일,1,1.62,1.2
한현희,2020,07-13,@KIA,L 3:13,7,7,16,14,8,3,1,1,2,0,0,1,65,0.342,0.625,1.768,6.87,-5.89,-0.476,L,7+일,1,1.75,2.0
한현희,2020,07-18,@SK,W 4:1,1,1,25,24,4,0,0,1,1,0,0,7,99,0.326,0.200,0.492,6.28,2.42,0.255,W,5일,1,1.64,6.2
한현희,2020,07-25,롯데,L 3:6,5,5,28,25,6,1,0,0,1,0,2,10,101,0.318,0.321,0.601,6.32,0.25,-0.024,L,7일,1,1.58,6.2
한현희,2020,07-31,@삼성,W 10:3,2,2,23,19,4,1,0,0,2,1,2,3,91,0.311,0.348,0.611,6.14,0.78,0.002,W,6일,1,1.55,5.0
한현희,2020,08-06,KT,W 3:2,2,2,26,26,4,1,0,1,0,0,0,5,86,0.299,0.154,0.462,5.83,1.89,0.206,W,6일,1,1.47,7.0
한현희,2020,08-12,한화,W 3:2,2,2,24,20,3,1,0,1,2,0,2,3,105,0.290,0.292,0.642,5.63,1.33,0.028,,6일,1,1.42,6.0
한현희,2020,08-18,@NC,L 1:5,5,5,19,17,6,3,0,1,0,0,1,3,75,0.293,0.389,1.095,5.86,-1.95,-0.238,L,6일,1,1.42,4.1
한현희,2020,08-23,KIA,L 7:8,4,4,20,18,3,0,0,2,1,0,0,4,86,0.287,0.211,0.711,5.91,0.36,0.027,,5일,1,1.39,5.1
한현희,2020,08-29,삼성,L 4:5,1,1,28,26,4,0,0,0,2,0,0,9,108,0.279,0.214,0.368,5.59,2.89,0.285,,6일,1,1.35,7.0
한현희,2020,09-04,@한화,L 1:7,4,4,18,16,5,0,0,0,1,0,0,4,78,0.280,0.353,0.665,5.70,-0.95,-0.179,L,6일,1,1.35,4.1
한현희,2020,09-10,@LG,L 1:6,2,2,24,20,4,0,0,0,4,0,0,3,97,0.276,0.333,0.533,5.59,1.76,0.165,L,6일,1,1.36,5.1
한현희,2020,09-16,롯데,L 2:8,0,0,23,22,4,1,0,0,1,0,0,6,95,0.272,0.217,0.445,5.31,3.33,0.352,,6일,1,1.33,6.0
한현희,2020,09-22,@KIA,W 2:0,0,0,24,23,3,0,0,0,1,0,0,6,91,0.265,0.167,0.297,5.01,3.89,0.435,W,6일,1,1.29,7.0
한현희,2020,09-27,@두산,W 7:3,0,0,22,19,3,0,0,0,3,0,0,6,98,0.261,0.273,0.431,4.81,2.36,0.220,,5일,1,1.28,5.1
한현희,2020,10-03,@SK,L 3:9,5,5,24,22,8,3,0,1,2,1,0,1,91,0.266,0.417,1.053,4.98,-3.04,-0.293,L,6일,1,1.31,4.2
한현희,2020,11-02,@LG,L 3:4,0,0,4,2,0,0,0,0,2,0,0,1,18,0.000,0.500,0.500,0.00,0.09,0.018,,7+일,0,3.00,0.2
