Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
ÇÔ´öÁÖ,2020,05-06,@LG,W 5:2,0,0,6,6,1,0,0,0,0,0,0,1,28,0.167,0.167,0.333,0.00,1.13,0.110,,7+ÀÏ,0,0.60,1.2
ÇÔ´öÁÖ,2020,05-10,KT,W 13:12,1,1,2,2,2,0,0,0,0,0,0,0,14,0.375,1.000,2.000,5.40,-1.35,-0.079,,4ÀÏ,0,1.80,0.0
ÇÔ´öÁÖ,2020,05-12,@·Ôµ¥,W 11:6,0,0,3,3,0,0,0,0,0,0,0,1,9,0.273,0.000,0.000,3.38,0.56,0.014,,2ÀÏ,0,1.13,1.0
ÇÔ´öÁÖ,2020,05-13,@·Ôµ¥,L 9:10,2,2,6,4,1,1,0,0,2,0,0,1,29,0.267,0.500,1.000,6.75,-0.26,-0.177,,1ÀÏ,0,1.50,1.1
ÇÔ´öÁÖ,2020,05-17,@KIA,W 6:4,0,0,3,2,0,0,0,0,1,0,0,0,10,0.235,0.333,0.333,6.23,-0.53,0.042,SV,4ÀÏ,0,1.62,0.1
ÇÔ´öÁÖ,2020,05-20,NC,W 2:1,0,0,3,3,0,0,0,0,0,0,0,1,13,0.200,0.000,0.000,5.06,0.56,0.137,W,3ÀÏ,0,1.31,1.0
ÇÔ´öÁÖ,2020,05-22,@»ï¼º,W 12:7,0,0,5,4,0,0,0,0,0,0,0,1,16,0.167,0.000,0.000,3.86,1.02,0.123,SV,2ÀÏ,0,1.00,1.2
ÇÔ´öÁÖ,2020,05-23,@»ï¼º,W 10:6,0,0,5,5,2,1,0,0,0,0,0,1,19,0.207,0.400,1.000,3.38,0.56,0.018,,1ÀÏ,0,1.13,1.0
ÇÔ´öÁÖ,2020,05-27,SK,W 4:2,0,0,7,6,1,0,0,0,0,0,0,1,23,0.200,0.143,0.310,2.70,1.13,0.200,SV,4ÀÏ,0,1.00,2.0
ÇÔ´öÁÖ,2020,05-29,·Ôµ¥,W 4:2,0,0,3,3,0,0,0,0,0,0,0,0,10,0.184,0.000,0.000,2.45,0.56,0.074,SV,2ÀÏ,0,0.91,1.0
ÇÔ´öÁÖ,2020,05-30,·Ôµ¥,W 5:4,0,0,7,7,2,0,0,0,0,0,0,1,27,0.200,0.286,0.571,2.13,0.13,-0.162,,1ÀÏ,0,0.95,1.2
ÇÔ´öÁÖ,2020,06-02,@KT,W 11:8,0,0,2,2,0,0,0,0,0,0,0,2,15,0.191,0.000,0.000,2.08,-0.19,-0.003,SV,3ÀÏ,0,0.92,0.1
ÇÔ´öÁÖ,2020,06-05,KIA,W 5:1,0,0,5,5,0,0,0,0,0,0,0,4,20,0.173,0.000,0.000,1.84,2.21,0.118,SV,3ÀÏ,0,0.82,1.2
ÇÔ´öÁÖ,2020,06-07,KIA,W 3:2,0,0,2,1,0,0,0,0,1,0,0,0,8,0.170,0.500,0.500,1.76,0.57,0.127,,2ÀÏ,0,0.85,0.2
ÇÔ´öÁÖ,2020,06-12,@ÇÑÈ­,W 5:2,2,1,5,4,2,0,0,0,1,0,0,0,24,0.193,0.600,1.100,2.25,-1.70,-0.007,,5ÀÏ,0,1.00,0.2
ÇÔ´öÁÖ,2020,06-13,@ÇÑÈ­,L 6:7,0,0,4,3,1,0,0,0,1,1,0,0,11,0.200,0.500,0.833,2.16,-0.59,-0.289,,1ÀÏ,0,1.08,0.2
ÇÔ´öÁÖ,2020,06-18,»ï¼º,W 7:3,0,0,3,3,0,0,0,0,0,0,0,0,10,0.190,0.000,0.000,2.04,0.56,0.014,,5ÀÏ,0,1.02,1.0
ÇÔ´öÁÖ,2020,06-20,@LG,W 8:2,2,2,8,8,3,1,0,0,0,0,0,2,40,0.211,0.375,0.875,2.75,-0.49,0.101,SV,2ÀÏ,0,1.07,2.0
ÇÔ´öÁÖ,2020,06-27,NC,W 12:3,0,0,3,2,0,0,0,0,1,0,0,2,15,0.205,0.333,0.333,2.66,1.24,0.250,W,7ÀÏ,0,1.08,0.2
ÇÔ´öÁÖ,2020,07-03,ÇÑÈ­,W 2:1,0,0,6,5,1,0,0,0,1,1,0,1,26,0.205,0.333,0.533,2.49,1.19,0.196,W,6ÀÏ,0,1.11,1.1
ÇÔ´öÁÖ,2020,07-05,ÇÑÈ­,W 7:4,0,0,3,3,0,0,0,0,0,0,0,3,12,0.198,0.000,0.000,2.38,0.56,0.033,SV,2ÀÏ,0,1.06,1.0
