Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
全扒锐,2020,05-05,虐框,L 2:11,3,3,13,12,3,0,0,2,1,0,0,1,46,0.250,0.308,1.058,8.10,-1.08,0.000,,7+老,0,1.20,3.1
全扒锐,2020,05-17,滴魂,L 4:6,0,0,5,4,0,0,0,0,1,0,0,2,19,0.188,0.200,0.200,5.40,1.13,0.005,,7+老,0,1.00,1.2
全扒锐,2020,05-23,@SK,W 8:3,0,0,3,3,0,0,0,0,0,0,0,2,12,0.158,0.000,0.000,4.50,0.56,0.008,,6老,0,0.83,1.0
全扒锐,2020,05-24,@SK,L 3:4,0,0,1,1,1,0,0,0,0,0,0,0,6,0.200,1.000,2.000,4.50,-1.00,-0.388,,1老,0,1.00,0.0
全扒锐,2020,05-27,@KT,L 0:5,1,1,9,8,2,1,0,0,0,0,0,1,39,0.214,0.250,0.625,4.50,0.11,-0.005,,3老,0,1.00,2.0
全扒锐,2020,05-29,LG,L 2:6,0,0,4,4,1,0,0,0,0,0,0,2,15,0.219,0.250,0.500,4.00,0.56,0.055,,2老,0,1.00,1.0
全扒锐,2020,05-30,LG,W 10:6,0,0,1,1,0,0,0,0,0,0,0,0,6,0.212,0.000,0.000,3.86,0.25,0.004,,1老,0,0.96,0.1
全扒锐,2020,05-31,LG,L 5:13,3,3,5,5,3,1,2,0,0,0,0,0,21,0.263,0.600,2.200,6.30,-1.83,-0.194,,1老,0,1.20,0.2
全扒锐,2020,06-03,吩单,W 11:2,1,1,4,4,1,0,0,1,0,0,0,0,12,0.262,0.250,1.250,6.55,-0.45,0.000,,3老,0,1.18,1.0
全扒锐,2020,06-05,@滴魂,L 1:5,0,0,3,3,0,0,0,0,0,0,0,1,11,0.244,0.000,0.000,6.00,0.56,0.003,,2老,0,1.08,1.0
全扒锐,2020,06-10,@NC,W 9:1,0,0,3,3,0,0,0,0,0,0,0,0,9,0.229,0.000,0.000,5.54,0.56,0.001,,5老,0,1.00,1.0
全扒锐,2020,06-12,@茄拳,W 5:2,0,0,4,3,0,0,0,0,1,0,0,0,17,0.216,0.250,0.250,5.14,0.56,0.028,,2老,0,1.00,1.0
全扒锐,2020,06-13,@茄拳,L 6:7,1,1,12,12,3,0,0,0,0,0,0,2,49,0.222,0.250,0.500,4.76,0.67,0.059,,1老,0,1.00,3.0
