Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
全己刮,2020,06-05,@茄拳,W 13:2,0,0,3,2,0,0,0,0,1,0,0,0,18,0.000,0.333,0.333,0.00,0.56,0.000,,7+老,0,1.00,1.0
全己刮,2020,08-06,@茄拳,W 4:1,0,0,2,2,0,0,0,0,0,0,0,0,5,0.000,0.000,0.000,0.00,0.57,0.055,,7+老,0,0.60,0.2
全己刮,2020,08-08,@KIA,L 2:3,0,0,3,3,0,0,0,0,0,0,0,1,14,0.000,0.000,0.000,0.00,0.56,0.031,,2老,0,0.38,1.0
全己刮,2020,08-13,@吩单,W 9:2,0,0,3,3,1,0,0,0,0,0,0,0,10,0.100,0.333,0.667,0.00,0.56,0.004,,5老,0,0.55,1.0
全己刮,2020,08-14,LG,L 4:10,0,0,5,5,1,0,0,0,0,0,0,1,25,0.133,0.200,0.400,0.00,1.53,0.218,,1老,0,0.56,1.2
全己刮,2020,08-16,LG,L 5:6,0,0,3,3,0,0,0,0,0,0,0,0,11,0.111,0.000,0.000,0.00,0.56,0.055,,2老,0,0.47,1.0
全己刮,2020,08-18,虐框,W 5:1,0,0,3,3,0,0,0,0,0,0,0,1,11,0.095,0.000,0.000,0.00,0.95,0.056,,2老,0,0.41,1.0
全己刮,2020,08-21,@KIA,W 10:4,0,0,3,3,2,0,0,0,0,0,0,0,7,0.167,0.667,1.333,0.00,0.25,0.022,,3老,0,0.65,0.1
全己刮,2020,08-24,@KT,L 1:8,1,1,4,4,3,1,0,0,0,0,0,0,17,0.250,0.750,1.750,1.13,-2.55,-0.018,,3老,0,1.00,0.1
全己刮,2020,08-26,茄拳,W 9:5,0,0,3,3,0,0,0,0,0,0,0,0,10,0.226,0.000,0.000,1.00,0.95,0.024,,2老,0,0.89,1.0
全己刮,2020,08-27,滴魂,W 8:2,0,0,3,2,1,1,0,0,1,0,0,0,11,0.242,0.667,1.667,0.96,-0.42,-0.010,,1老,0,1.07,0.1
全己刮,2020,08-30,SK,W 7:4,0,0,2,2,0,0,0,0,0,0,0,2,11,0.229,0.000,0.000,0.90,0.73,0.132,,3老,0,1.00,0.2
全己刮,2020,09-03,@LG,L 5:6,0,0,4,3,1,0,0,0,0,0,0,0,12,0.237,0.333,0.667,0.82,0.56,0.108,,4老,0,1.00,1.0
全己刮,2020,09-04,@LG,D 5:5,0,0,3,2,0,0,0,0,1,1,0,1,9,0.225,0.333,0.333,0.77,0.97,0.157,,1老,0,1.03,0.2
全己刮,2020,09-10,KT,W 13:8,1,1,4,3,1,0,0,1,0,0,1,1,14,0.233,0.500,1.833,1.42,-0.45,-0.043,,6老,0,1.03,1.0
全己刮,2020,09-12,KIA,L 3:11,0,0,5,3,1,1,0,0,2,0,0,0,25,0.239,0.600,1.267,1.35,-0.26,-0.010,,2老,0,1.20,0.2
全己刮,2020,09-18,@SK,W 9:5,0,0,3,3,1,0,0,0,0,0,0,0,13,0.245,0.333,0.667,1.26,0.56,0.074,,6老,0,1.19,1.0
全己刮,2020,09-20,@吩单,W 6:2,0,0,4,4,1,0,0,0,0,0,0,0,14,0.245,0.250,0.500,1.17,0.56,0.047,,2老,0,1.17,1.0
全己刮,2020,09-23,伙己,W 8:7,0,0,2,2,0,0,0,0,0,0,0,0,8,0.236,0.000,0.000,1.13,0.30,0.010,,3老,0,1.13,0.2
全己刮,2020,09-25,LG,W 7:1,0,0,4,4,1,0,0,0,0,0,0,0,13,0.237,0.250,0.500,1.06,0.56,0.017,,2老,0,1.12,1.0
全己刮,2020,10-01,SK,W 10:2,0,0,3,3,0,0,0,0,0,0,0,0,13,0.226,0.000,0.000,1.00,0.56,0.009,,6老,0,1.06,1.0
全己刮,2020,10-07,@虐框,W 4:3,0,0,4,4,1,1,0,0,0,0,0,1,19,0.227,0.250,0.750,0.95,0.56,0.088,,6老,0,1.05,1.0
全己刮,2020,10-10,@LG,L 5:9,1,1,4,4,1,0,0,1,0,0,0,1,15,0.229,0.250,1.250,1.35,-0.45,-0.034,,3老,0,1.05,1.0
全己刮,2020,10-11,@LG,L 3:7,0,0,4,4,0,0,0,0,0,0,0,2,17,0.216,0.000,0.000,1.27,1.37,0.200,,1老,0,0.98,1.1
全己刮,2020,10-14,KIA,W 8:3,1,0,6,6,2,0,0,0,0,0,0,1,18,0.225,0.333,0.667,1.21,-0.45,0.002,,3老,0,1.03,1.0
全己刮,2020,10-16,吩单,W 6:5,0,0,6,6,2,0,0,0,0,0,0,1,26,0.233,0.333,0.667,1.14,0.02,0.040,W,2老,0,1.06,1.1
全己刮,2020,10-17,吩单,W 4:3,0,0,4,2,0,0,0,0,1,0,1,0,11,0.227,0.500,0.500,1.11,0.23,0.039,,1老,0,1.07,0.2
全己刮,2020,10-24,LG,D 3:3,0,0,1,1,0,0,0,0,0,0,0,0,5,0.225,0.000,0.000,1.11,-0.29,-0.036,,7老,0,1.07,0.0
全己刮,2020,10-29,@吩单,W 11:4,0,0,3,3,0,0,0,0,0,0,0,1,7,0.217,0.000,0.000,1.08,0.65,0.007,,5老,0,1.04,0.2
全己刮,2020,10-30,@伙己,D 4:4,0,0,3,3,0,0,0,0,0,0,0,0,12,0.211,0.000,0.000,1.04,0.56,0.137,,1老,0,1.00,1.0
全己刮,2020,11-17,滴魂,W 5:3,0,0,1,1,1,0,0,0,0,0,0,0,8,1.000,1.000,2.000,0.00,-0.28,-0.061,,7+老,0,99.99,0.0
全己刮,2020,11-20,@滴魂,L 6:7,0,0,6,4,0,0,0,0,2,0,0,1,24,0.200,0.333,0.333,0.00,0.81,0.106,,3老,0,2.25,1.1
