Name,Year,Date,Opposite,Score,Run,Earnedrun,Plateappear,Atbats,Hit,Double,Triple,HR,BB,Intentional_BB,HBP,SO,Pitches,AVG,OBP,OPS,ERA,RE24,WPA,Decision,Interval,Started,WHIP,Innings
ÈÄ·©ÄÚÇÁ,2018,03-27,·Ôµ¥,W 5:0,0,0,21,20,2,0,0,0,1,0,0,9,83,0.100,0.143,0.243,0.00,3.33,0.284,W,7+ÀÏ,1,0.50,6.0
ÈÄ·©ÄÚÇÁ,2018,04-01,@KT,L 4:9,3,3,23,19,5,0,0,2,4,0,0,4,105,0.179,0.391,0.970,2.45,-0.23,-0.034,,5ÀÏ,1,1.09,5.0
ÈÄ·©ÄÚÇÁ,2018,04-10,@»ï¼º,W 8:1,0,0,21,20,2,2,0,0,1,0,0,7,82,0.153,0.143,0.343,1.59,3.33,0.243,W,7+ÀÏ,1,0.88,6.0
ÈÄ·©ÄÚÇÁ,2018,04-15,@³Ø¼¾,W 3:2,0,0,24,19,1,0,0,0,4,0,1,6,107,0.128,0.250,0.303,1.17,3.33,0.386,W,5ÀÏ,1,0.87,6.0
ÈÄ·©ÄÚÇÁ,2018,04-21,KIA,W 10:5,2,2,23,20,4,1,0,1,3,0,0,3,103,0.143,0.304,0.704,1.55,1.33,0.184,W,6ÀÏ,1,0.93,6.0
ÈÄ·©ÄÚÇÁ,2018,04-27,@NC,W 6:2,2,2,22,18,4,0,0,0,3,0,0,7,101,0.155,0.333,0.556,1.85,0.78,0.055,W,6ÀÏ,1,1.00,5.0
ÈÄ·©ÄÚÇÁ,2018,05-03,KT,L 2:3,1,1,24,17,2,0,0,0,4,0,2,4,107,0.150,0.333,0.451,1.80,2.33,0.247,,6ÀÏ,1,1.00,6.0
ÈÄ·©ÄÚÇÁ,2018,05-09,@KIA,W 13:7,5,5,25,20,6,0,0,0,4,0,1,5,100,0.170,0.440,0.740,2.60,-2.23,-0.194,W,6ÀÏ,1,1.11,5.0
ÈÄ·©ÄÚÇÁ,2018,05-15,SK,W 6:4,3,3,24,19,3,1,0,1,3,0,2,4,92,0.169,0.333,0.702,2.82,0.33,-0.049,,6ÀÏ,1,1.10,6.0
ÈÄ·©ÄÚÇÁ,2018,05-22,@ÇÑÈ­,L 7:8,6,6,20,18,8,0,0,2,2,0,0,2,93,0.195,0.500,1.278,3.62,-4.41,-0.379,,7ÀÏ,1,1.21,3.2
ÈÄ·©ÄÚÇÁ,2018,05-27,»ï¼º,W 8:2,0,0,18,17,2,1,0,0,1,0,0,6,101,0.188,0.167,0.343,3.32,2.78,0.173,W,5ÀÏ,1,1.16,5.0
ÈÄ·©ÄÚÇÁ,2018,06-02,@KIA,W 10:0,0,0,22,19,4,1,0,0,2,0,1,2,96,0.190,0.318,0.581,3.02,3.33,0.254,W,6ÀÏ,1,1.14,6.0
ÈÄ·©ÄÚÇÁ,2018,06-08,NC,W 6:1,1,1,25,21,5,1,0,0,1,0,2,8,109,0.194,0.333,0.619,2.89,2.33,0.233,W,6ÀÏ,1,1.13,6.0
ÈÄ·©ÄÚÇÁ,2018,06-15,@ÇÑÈ­,W 13:4,0,0,23,20,1,0,0,0,3,0,0,4,85,0.184,0.174,0.224,2.67,3.33,0.161,W,7ÀÏ,1,1.09,6.0
ÈÄ·©ÄÚÇÁ,2018,06-21,³Ø¼¾,W 9:3,1,1,23,21,3,0,0,1,2,1,0,7,96,0.181,0.217,0.503,2.58,2.33,0.207,W,6ÀÏ,1,1.08,6.0
ÈÄ·©ÄÚÇÁ,2018,06-27,@NC,W 6:3,3,3,24,22,4,1,0,1,2,0,0,5,107,0.181,0.250,0.614,2.71,0.33,0.034,W,6ÀÏ,1,1.07,6.0
ÈÄ·©ÄÚÇÁ,2018,07-04,@·Ôµ¥,W 7:4,2,2,25,22,4,0,0,1,2,0,1,6,107,0.181,0.280,0.598,2.70,1.89,0.137,W,7ÀÏ,1,1.06,7.0
